"cty","Name","Teenage_Birth_Rate_women_only_rP_gF_pall"
"cty37005","Alleghany County, NC",0.2097
"cty18017","Cass County, IN",0.2097
"cty18167","Vigo County, IN",0.2097
"cty21221","Trigg County, KY",0.2095
"cty51720","Norton city, VA",0.2095
"cty26027","Cass County, MI",0.2094
"cty21123","Larue County, KY",0.2093
"cty47043","Dickson County, TN",0.2092
"cty05053","Grant County, AR",0.2091
"cty49041","Sevier County, UT",0.209
"cty16009","Benewah County, ID",0.2089
"cty17201","Winnebago County, IL",0.2089
"cty72089","Luquillo Municipio, PR",0.2086
"cty40145","Wagoner County, OK",0.2085
"cty48453","Travis County, TX",0.2085
"cty12097","Osceola County, FL",0.2085
"cty39061","Hamilton County, OH",0.2084
"cty26145","Saginaw County, MI",0.2084
"cty21139","Livingston County, KY",0.2084
"cty29055","Crawford County, MO",0.2084
"cty48417","Shackelford County, TX",0.2082
"cty48297","Live Oak County, TX",0.2082
"cty26025","Calhoun County, MI",0.2081
"cty18141","St. Joseph County, IN",0.208
"cty18151","Steuben County, IN",0.2078
"cty47019","Carter County, TN",0.2078
"cty48199","Hardin County, TX",0.2077
"cty29177","Ray County, MO",0.2076
"cty46109","Roberts County, SD",0.2075
"cty47127","Moore County, TN",0.2074
"cty34001","Atlantic County, NJ",0.2073
"cty29061","Daviess County, MO",0.2073
"cty29121","Macon County, MO",0.2073
"cty16077","Power County, ID",0.2073
"cty12071","Lee County, FL",0.2072
"cty13097","Douglas County, GA",0.2072
"cty13177","Lee County, GA",0.2072
"cty21211","Shelby County, KY",0.207
"cty21207","Russell County, KY",0.207
"cty72145","Vega Baja Municipio, PR",0.207
"cty08017","Cheyenne County, CO",0.2069
"cty49013","Duchesne County, UT",0.2068
"cty21163","Meade County, KY",0.2067
"cty39143","Sandusky County, OH",0.2067
"cty48035","Bosque County, TX",0.2064
"cty48271","Kinney County, TX",0.2064
"cty41013","Crook County, OR",0.2062
"cty31157","Scotts Bluff County, NE",0.206
"cty18045","Fountain County, IN",0.2059
"cty18031","Decatur County, IN",0.2057
"cty48103","Crane County, TX",0.2057
"cty29049","Clinton County, MO",0.2056
"cty51187","Warren County, VA",0.2056
"cty21217","Taylor County, KY",0.2054
"cty21069","Fleming County, KY",0.2054
"cty18023","Clinton County, IN",0.2053
"cty21059","Daviess County, KY",0.2052
"cty04013","Maricopa County, AZ",0.2051
"cty41059","Umatilla County, OR",0.2051
"cty26117","Montcalm County, MI",0.2049
"cty18103","Miami County, IN",0.2049
"cty29213","Taney County, MO",0.2049
"cty29173","Ralls County, MO",0.2046
"cty18147","Spencer County, IN",0.2046
"cty40153","Woodward County, OK",0.2045
"cty18077","Jefferson County, IN",0.2044
"cty51109","Louisa County, VA",0.2044
"cty21227","Warren County, KY",0.2043
"cty16033","Clark County, ID",0.2041
"cty16031","Cassia County, ID",0.204
"cty32001","Churchill County, NV",0.2038
"cty26049","Genesee County, MI",0.2037
"cty40087","McClain County, OK",0.2037
"cty47133","Overton County, TN",0.2037
"cty32011","Eureka County, NV",0.2037
"cty29127","Marion County, MO",0.2037
"cty53041","Lewis County, WA",0.2036
"cty56003","Big Horn County, WY",0.2036
"cty17135","Montgomery County, IL",0.2035
"cty40143","Tulsa County, OK",0.2034
"cty56007","Carbon County, WY",0.2034
"cty54019","Fayette County, WV",0.2034
"cty37119","Mecklenburg County, NC",0.2032
"cty21189","Owsley County, KY",0.2032
"cty47015","Cannon County, TN",0.2031
"cty29117","Livingston County, MO",0.2031
"cty13187","Lumpkin County, GA",0.2031
"cty48143","Erath County, TX",0.203
"cty51620","Franklin city, VA",0.2029
"cty18099","Marshall County, IN",0.2029
"cty22089","St. Charles Parish, LA",0.2029
"cty39053","Gallia County, OH",0.2028
"cty08075","Logan County, CO",0.2028
"cty56045","Weston County, WY",0.2026
"cty51113","Madison County, VA",0.2026
"cty18109","Morgan County, IN",0.2025
"cty21215","Spencer County, KY",0.2024
"cty37067","Forsyth County, NC",0.2021
"cty18003","Allen County, IN",0.2021
"cty18025","Crawford County, IN",0.2021
"cty08003","Alamosa County, CO",0.2019
"cty19179","Wapello County, IA",0.2017
"cty18121","Parke County, IN",0.2017
"cty51111","Lunenburg County, VA",0.2017
"cty37035","Catawba County, NC",0.2016
"cty40131","Rogers County, OK",0.2016
"cty48175","Goliad County, TX",0.2015
"cty54059","Mingo County, WV",0.2015
"cty34013","Essex County, NJ",0.2014
"cty16075","Payette County, ID",0.2013
"cty08077","Mesa County, CO",0.2011
"cty06065","Riverside County, CA",0.2011
"cty12086","Miami-Dade County, FL",0.201
"cty05005","Baxter County, AR",0.201
"cty49033","Rich County, UT",0.2009
"cty13151","Henry County, GA",0.2008
"cty21131","Leslie County, KY",0.2008
"cty18169","Wabash County, IN",0.2008
"cty20049","Elk County, KS",0.2006
"cty17071","Henderson County, IL",0.2005
"cty29113","Lincoln County, MO",0.2005
"cty48071","Chambers County, TX",0.2003
"cty17167","Sangamon County, IL",0.2003
"cty18153","Sullivan County, IN",0.2003
"cty56013","Fremont County, WY",0.2002
"cty06077","San Joaquin County, CA",0.2
"cty17161","Rock Island County, IL",0.2
"cty47171","Unicoi County, TN",0.1998
"cty17177","Stephenson County, IL",0.1996
"cty37081","Guilford County, NC",0.1993
"cty21049","Clark County, KY",0.1992
"cty21175","Morgan County, KY",0.1992
"cty48095","Concho County, TX",0.1991
"cty47103","Lincoln County, TN",0.1991
"cty08085","Montrose County, CO",0.199
"cty24047","Worcester County, MD",0.1989
"cty17191","Wayne County, IL",0.1988
"cty18049","Fulton County, IN",0.1988
"cty54109","Wyoming County, WV",0.1988
"cty21133","Letcher County, KY",0.1987
"cty54045","Logan County, WV",0.1986
"cty18181","White County, IN",0.1985
"cty40067","Jefferson County, OK",0.1984
"cty08083","Montezuma County, CO",0.1983
"cty30041","Hill County, MT",0.1983
"cty06025","Imperial County, CA",0.1983
"cty51550","Chesapeake city, VA",0.1981
"cty20005","Atchison County, KS",0.1981
"cty31091","Hooker County, NE",0.1981
"cty08081","Moffat County, CO",0.198
"cty21073","Franklin County, KY",0.1979
"cty49045","Tooele County, UT",0.1978
"cty72051","Dorado Municipio, PR",0.1978
"cty48493","Wilson County, TX",0.1978
"cty29111","Lewis County, MO",0.1976
"cty17059","Gallatin County, IL",0.1976
"cty54003","Berkeley County, WV",0.1976
"cty39043","Erie County, OH",0.1974
"cty21145","McCracken County, KY",0.1974
"cty08027","Custer County, CO",0.1974
"cty29057","Dade County, MO",0.1973
"cty47165","Sumner County, TN",0.1973
"cty29027","Callaway County, MO",0.1973
"cty39097","Madison County, OH",0.1972
"cty29085","Hickory County, MO",0.1972
"cty46137","Ziebach County, SD",0.197
"cty21117","Kenton County, KY",0.197
"cty41035","Klamath County, OR",0.1969
"cty51149","Prince George County, VA",0.1969
"cty18085","Kosciusko County, IN",0.1968
"cty48477","Washington County, TX",0.1968
"cty35043","Sandoval County, NM",0.1967
"cty29083","Henry County, MO",0.1964
"cty21161","Mason County, KY",0.1963
"cty56037","Sweetwater County, WY",0.1961
"cty26059","Hillsdale County, MI",0.1961
"cty16083","Twin Falls County, ID",0.1961
"cty37025","Cabarrus County, NC",0.1961
"cty18101","Martin County, IN",0.1961
"cty06015","Del Norte County, CA",0.196
"cty39033","Crawford County, OH",0.196
"cty12053","Hernando County, FL",0.1959
"cty21159","Martin County, KY",0.1959
"cty20077","Harper County, KS",0.1958
"cty47189","Wilson County, TN",0.1957
"cty36047","Kings County, NY",0.1956
"cty13029","Bryan County, GA",0.1956
"cty45045","Greenville County, SC",0.1955
"cty39125","Paulding County, OH",0.1955
"cty31115","Loup County, NE",0.1955
"cty37171","Surry County, NC",0.1954
"cty54041","Lewis County, WV",0.1954
"cty17195","Whiteside County, IL",0.1954
"cty47087","Jackson County, TN",0.1953
"cty54015","Clay County, WV",0.1953
"cty08073","Lincoln County, CO",0.1953
"cty20037","Crawford County, KS",0.1952
"cty51037","Charlotte County, VA",0.1949
"cty26149","St. Joseph County, MI",0.1946
"cty39149","Shelby County, OH",0.1946
"cty35003","Catron County, NM",0.1945
"cty06035","Lassen County, CA",0.1944
"cty05045","Faulkner County, AR",0.1944
"cty26075","Jackson County, MI",0.1944
"cty17199","Williamson County, IL",0.1944
"cty12089","Nassau County, FL",0.1944
"cty48155","Foard County, TX",0.1943
"cty39031","Coshocton County, OH",0.1942
"cty12113","Santa Rosa County, FL",0.1939
"cty48367","Parker County, TX",0.1939
"cty29139","Montgomery County, MO",0.1939
"cty29129","Mercer County, MO",0.1939
"cty46095","Mellette County, SD",0.1938
"cty39089","Licking County, OH",0.1937
"cty54099","Wayne County, WV",0.1937
"cty29157","Perry County, MO",0.1937
"cty01003","Baldwin County, AL",0.1935
"cty39059","Guernsey County, OH",0.1935
"cty06103","Tehama County, CA",0.1932
"cty01089","Madison County, AL",0.1931
"cty17029","Coles County, IL",0.1931
"cty48333","Mills County, TX",0.1931
"cty20139","Osage County, KS",0.1931
"cty47009","Blount County, TN",0.1929
"cty46075","Jones County, SD",0.1929
"cty17187","Warren County, IL",0.1929
"cty37179","Union County, NC",0.1928
"cty21171","Monroe County, KY",0.1928
"cty53045","Mason County, WA",0.1926
"cty18069","Huntington County, IN",0.1926
"cty20011","Bourbon County, KS",0.1925
"cty05125","Saline County, AR",0.1924
"cty26079","Kalkaska County, MI",0.1924
"cty47105","Loudon County, TN",0.1923
"cty29227","Worth County, MO",0.1923
"cty12127","Volusia County, FL",0.1921
"cty21017","Bourbon County, KY",0.192
"cty28073","Lamar County, MS",0.1918
"cty49007","Carbon County, UT",0.1917
"cty18171","Warren County, IN",0.1917
"cty36061","New York County, NY",0.1916
"cty51099","King George County, VA",0.1916
"cty18107","Montgomery County, IN",0.1916
"cty01059","Franklin County, AL",0.1914
"cty21005","Anderson County, KY",0.1914
"cty39035","Cuyahoga County, OH",0.1913
"cty72063","Gurabo Municipio, PR",0.1913
"cty51067","Franklin County, VA",0.1913
"cty51007","Amelia County, VA",0.1912
"cty13291","Union County, GA",0.1909
"cty51009","Amherst County, VA",0.1907
"cty54011","Cabell County, WV",0.1906
"cty40103","Noble County, OK",0.1905
"cty72139","Trujillo Alto Municipio, PR",0.1905
"cty17039","De Witt County, IL",0.1905
"cty48381","Randall County, TX",0.1903
"cty29007","Audrain County, MO",0.1903
"cty26159","Van Buren County, MI",0.1902
"cty20169","Saline County, KS",0.1901
"cty17159","Richland County, IL",0.19
"cty31123","Morrill County, NE",0.19
"cty42023","Cameron County, PA",0.19
"cty21039","Carlisle County, KY",0.19
"cty31047","Dawson County, NE",0.1899
"cty20155","Reno County, KS",0.1899
"cty27165","Watonwan County, MN",0.1897
"cty55101","Racine County, WI",0.1894
"cty17033","Crawford County, IL",0.1894
"cty06069","San Benito County, CA",0.1894
"cty48065","Carson County, TX",0.1893
"cty39067","Harrison County, OH",0.1892
"cty26165","Wexford County, MI",0.1892
"cty19139","Muscatine County, IA",0.1892
"cty17175","Stark County, IL",0.1892
"cty21179","Nelson County, KY",0.1892
"cty51175","Southampton County, VA",0.1892
"cty21021","Boyle County, KY",0.1891
"cty32007","Elko County, NV",0.189
"cty37167","Stanly County, NC",0.189
"cty39039","Defiance County, OH",0.189
"cty51137","Orange County, VA",0.189
"cty51119","Middlesex County, VA",0.1889
"cty21097","Harrison County, KY",0.1887
"cty39093","Lorain County, OH",0.1886
"cty72137","Toa Baja Municipio, PR",0.1886
"cty32017","Lincoln County, NV",0.1886
"cty37125","Moore County, NC",0.1885
"cty53019","Ferry County, WA",0.1883
"cty29171","Putnam County, MO",0.1883
"cty20111","Lyon County, KS",0.1883
"cty21127","Lawrence County, KY",0.1881
"cty06053","Monterey County, CA",0.188
"cty48209","Hays County, TX",0.1878
"cty51077","Grayson County, VA",0.1878
"cty12001","Alachua County, FL",0.1877
"cty18061","Harrison County, IN",0.1877
"cty37003","Alexander County, NC",0.1876
"cty72135","Toa Alta Municipio, PR",0.1875
"cty37177","Tyrrell County, NC",0.1875
"cty12101","Pasco County, FL",0.1874
"cty20159","Rice County, KS",0.1873
"cty31105","Kimball County, NE",0.1873
"cty34017","Hudson County, NJ",0.1872
"cty21019","Boyd County, KY",0.1872
"cty18131","Pulaski County, IN",0.1872
"cty20079","Harvey County, KS",0.1871
"cty29029","Camden County, MO",0.1871
"cty12017","Citrus County, FL",0.187
"cty32510","Carson City, NV",0.1869
"cty04011","Greenlee County, AZ",0.1868
"cty51520","Bristol city, VA",0.1868
"cty01077","Lauderdale County, AL",0.1868
"cty51169","Scott County, VA",0.1867
"cty17193","White County, IL",0.1867
"cty05117","Prairie County, AR",0.1866
"cty21143","Lyon County, KY",0.1866
"cty37087","Haywood County, NC",0.1864
"cty18005","Bartholomew County, IN",0.1863
"cty19039","Clarke County, IA",0.1863
"cty20013","Brown County, KS",0.1862
"cty41019","Douglas County, OR",0.1862
"cty18125","Pike County, IN",0.1862
"cty47093","Knox County, TN",0.1861
"cty51195","Wise County, VA",0.1861
"cty18123","Perry County, IN",0.1861
"cty54097","Upshur County, WV",0.1859
"cty21113","Jessamine County, KY",0.1859
"cty21229","Washington County, KY",0.1859
"cty46103","Pennington County, SD",0.1857
"cty29003","Andrew County, MO",0.1857
"cty47141","Putnam County, TN",0.1853
"cty21157","Marshall County, KY",0.1853
"cty12019","Clay County, FL",0.1852
"cty39175","Wyandot County, OH",0.1852
"cty20177","Shawnee County, KS",0.1851
"cty21025","Breathitt County, KY",0.1851
"cty17185","Wabash County, IL",0.1851
"cty49057","Weber County, UT",0.185
"cty12103","Pinellas County, FL",0.1849
"cty18051","Gibson County, IN",0.1849
"cty26023","Branch County, MI",0.1849
"cty21129","Lee County, KY",0.1849
"cty51155","Pulaski County, VA",0.1849
"cty26035","Clare County, MI",0.1848
"cty49023","Juab County, UT",0.1845
"cty13247","Rockdale County, GA",0.1844
"cty22087","St. Bernard Parish, LA",0.1844
"cty54073","Pleasants County, WV",0.1841
"cty12061","Indian River County, FL",0.1841
"cty55105","Rock County, WI",0.184
"cty04025","Yavapai County, AZ",0.184
"cty53015","Cowlitz County, WA",0.1838
"cty54075","Pocahontas County, WV",0.1838
"cty48425","Somervell County, TX",0.1838
"cty47001","Anderson County, TN",0.1837
"cty25025","Suffolk County, MA",0.1836
"cty37121","Mitchell County, NC",0.1836
"cty13281","Towns County, GA",0.1836
"cty17149","Pike County, IL",0.1835
"cty02198","Prince of Wales-Hyder Census Area, AK",0.1832
"cty48221","Hood County, TX",0.1832
"cty16015","Boise County, ID",0.1831
"cty51047","Culpeper County, VA",0.1831
"cty39007","Ashtabula County, OH",0.1831
"cty26033","Chippewa County, MI",0.183
"cty29025","Caldwell County, MO",0.1828
"cty17181","Union County, IL",0.1828
"cty37037","Chatham County, NC",0.1827
"cty17057","Fulton County, IL",0.1826
"cty39077","Huron County, OH",0.1825
"cty54063","Monroe County, WV",0.1825
"cty40147","Washington County, OK",0.1824
"cty17119","Madison County, IL",0.1824
"cty51031","Campbell County, VA",0.1824
"cty37169","Stokes County, NC",0.1823
"cty41043","Linn County, OR",0.1822
"cty54035","Jackson County, WV",0.182
"cty21155","Marion County, KY",0.182
"cty51097","King and Queen County, VA",0.1819
"cty18165","Vermillion County, IN",0.1819
"cty20047","Edwards County, KS",0.1818
"cty72047","Corozal Municipio, PR",0.1818
"cty21037","Campbell County, KY",0.1818
"cty24043","Washington County, MD",0.1817
"cty72013","Arecibo Municipio, PR",0.1817
"cty48311","McMullen County, TX",0.1816
"cty37129","New Hanover County, NC",0.1815
"cty12091","Okaloosa County, FL",0.1815
"cty54027","Hampshire County, WV",0.1812
"cty17053","Ford County, IL",0.1812
"cty53039","Klickitat County, WA",0.1811
"cty46047","Fall River County, SD",0.181
"cty48195","Hansford County, TX",0.181
"cty72031","Carolina Municipio, PR",0.181
"cty51141","Patrick County, VA",0.1808
"cty37149","Polk County, NC",0.1808
"cty10003","New Castle County, DE",0.1807
"cty39147","Seneca County, OH",0.1807
"cty19155","Pottawattamie County, IA",0.1805
"cty06037","Los Angeles County, CA",0.1805
"cty47179","Washington County, TN",0.1805
"cty21067","Fayette County, KY",0.1804
"cty53071","Walla Walla County, WA",0.1803
"cty17107","Logan County, IL",0.1802
"cty18029","Dearborn County, IN",0.1799
"cty41007","Clatsop County, OR",0.1798
"cty54081","Raleigh County, WV",0.1798
"cty29075","Gentry County, MO",0.1798
"cty46085","Lyman County, SD",0.1797
"cty17145","Perry County, IL",0.1796
"cty02261","Chugach Census Area, AK",0.1795
"cty41047","Marion County, OR",0.1793
"cty29219","Warren County, MO",0.1793
"cty29161","Phelps County, MO",0.1792
"cty72023","Cabo Rojo Municipio, PR",0.179
"cty29107","Lafayette County, MO",0.1789
"cty37113","Macon County, NC",0.1788
"cty42035","Clinton County, PA",0.1785
"cty26051","Gladwin County, MI",0.1785
"cty18111","Newton County, IN",0.1785
"cty36015","Chemung County, NY",0.1784
"cty24015","Cecil County, MD",0.1784
"cty17021","Christian County, IL",0.1783
"cty48211","Hemphill County, TX",0.1782
"cty06021","Glenn County, CA",0.1781
"cty06099","Stanislaus County, CA",0.1781
"cty17095","Knox County, IL",0.1781
"cty51197","Wythe County, VA",0.1781
"cty48411","San Saba County, TX",0.1781
"cty37053","Currituck County, NC",0.1781
"cty51005","Alleghany County, VA",0.178
"cty54107","Wood County, WV",0.1779
"cty39161","Van Wert County, OH",0.1777
"cty20041","Dickinson County, KS",0.1777
"cty37021","Buncombe County, NC",0.1776
"cty26009","Antrim County, MI",0.1776
"cty53027","Grays Harbor County, WA",0.1775
"cty18137","Ripley County, IN",0.1775
"cty32031","Washoe County, NV",0.1774
"cty21195","Pike County, KY",0.1774
"cty47163","Sullivan County, TN",0.1772
"cty12073","Leon County, FL",0.1771
"cty17139","Moultrie County, IL",0.1771
"cty19193","Woodbury County, IA",0.1769
"cty37059","Davie County, NC",0.1767
"cty54101","Webster County, WV",0.1767
"cty19053","Decatur County, IA",0.1767
"cty51011","Appomattox County, VA",0.1766
"cty42043","Dauphin County, PA",0.1765
"cty56021","Laramie County, WY",0.1765
"cty35049","Santa Fe County, NM",0.1764
"cty37029","Camden County, NC",0.1764
"cty19057","Des Moines County, IA",0.1763
"cty17137","Morgan County, IL",0.1762
"cty18015","Carroll County, IN",0.1762
"cty31013","Box Butte County, NE",0.1762
"cty39017","Butler County, OH",0.1761
"cty56015","Goshen County, WY",0.1759
"cty39063","Hancock County, OH",0.1758
"cty37011","Avery County, NC",0.1757
"cty72113","Ponce Municipio, PR",0.1757
"cty56041","Uinta County, WY",0.1756
"cty19185","Wayne County, IA",0.1756
"cty26127","Oceana County, MI",0.1756
"cty20185","Stafford County, KS",0.1755
"cty18043","Floyd County, IN",0.1755
"cty17023","Clark County, IL",0.1755
"cty16069","Nez Perce County, ID",0.1754
"cty39099","Mahoning County, OH",0.1754
"cty02105","Hoonah-Angoon Census Area, AK",0.1754
"cty55113","Sawyer County, WI",0.1753
"cty17077","Jackson County, IL",0.1753
"cty29137","Monroe County, MO",0.1753
"cty55059","Kenosha County, WI",0.1752
"cty54087","Roane County, WV",0.1752
"cty49031","Piute County, UT",0.1751
"cty21071","Floyd County, KY",0.175
"cty41009","Columbia County, OR",0.1748
"cty30077","Powell County, MT",0.1748
"cty26135","Oscoda County, MI",0.1747
"cty53003","Asotin County, WA",0.1745
"cty32029","Storey County, NV",0.1744
"cty04005","Coconino County, AZ",0.1743
"cty37199","Yancey County, NC",0.1742
"cty54037","Jefferson County, WV",0.1742
"cty51159","Richmond County, VA",0.174
"cty54039","Kanawha County, WV",0.174
"cty08045","Garfield County, CO",0.174
"cty20031","Coffey County, KS",0.1739
"cty49015","Emery County, UT",0.1739
"cty29135","Moniteau County, MO",0.1739
"cty56025","Natrona County, WY",0.1738
"cty08041","El Paso County, CO",0.1738
"cty54095","Tyler County, WV",0.1737
"cty41065","Wasco County, OR",0.1736
"cty26069","Iosco County, MI",0.1734
"cty26067","Ionia County, MI",0.1732
"cty20015","Butler County, KS",0.1731
"cty21119","Knott County, KY",0.1731
"cty18183","Whitley County, IN",0.173
"cty54089","Summers County, WV",0.1729
"cty51069","Frederick County, VA",0.1729
"cty19117","Lucas County, IA",0.1729
"cty02070","Dillingham Census Area, AK",0.1728
"cty19177","Van Buren County, IA",0.1728
"cty29186","Ste. Genevieve County, MO",0.1728
"cty56009","Converse County, WY",0.1727
"cty18047","Franklin County, IN",0.1727
"cty29077","Greene County, MO",0.1725
"cty12099","Palm Beach County, FL",0.1724
"cty27021","Cass County, MN",0.1723
"cty34007","Camden County, NJ",0.1723
"cty53049","Pacific County, WA",0.1723
"cty18083","Knox County, IN",0.1723
"cty29033","Carroll County, MO",0.1723
"cty08103","Rio Blanco County, CO",0.1723
"cty30085","Roosevelt County, MT",0.1721
"cty30005","Blaine County, MT",0.172
"cty26081","Kent County, MI",0.172
"cty19111","Lee County, IA",0.172
"cty54053","Mason County, WV",0.1719
"cty51167","Russell County, VA",0.1719
"cty17075","Iroquois County, IL",0.1718
"cty54057","Mineral County, WV",0.1717
"cty24001","Allegany County, MD",0.1715
"cty02013","Aleutians East Borough, AK",0.1713
"cty56043","Washakie County, WY",0.1713
"cty51191","Washington County, VA",0.1713
"cty39109","Miami County, OH",0.1712
"cty29101","Johnson County, MO",0.1711
"cty29043","Christian County, MO",0.171
"cty19135","Monroe County, IA",0.1709
"cty36097","Schuyler County, NY",0.1707
"cty17157","Randolph County, IL",0.1707
"cty54021","Gilmer County, WV",0.1707
"cty51027","Buchanan County, VA",0.1705
"cty54055","Mercer County, WV",0.1703
"cty29099","Jefferson County, MO",0.1702
"cty20133","Neosho County, KS",0.1702
"cty51790","Staunton city, VA",0.1701
"cty37175","Transylvania County, NC",0.1701
"cty40053","Grant County, OK",0.17
"cty49039","Sanpete County, UT",0.1697
"cty17173","Shelby County, IL",0.1693
"cty51101","King William County, VA",0.1693
"cty12011","Broward County, FL",0.1691
"cty26091","Lenawee County, MI",0.1691
"cty31079","Hall County, NE",0.1691
"cty54013","Calhoun County, WV",0.1689
"cty29073","Gasconade County, MO",0.1689
"cty46019","Butte County, SD",0.1689
"cty53057","Skagit County, WA",0.1688
"cty36003","Allegany County, NY",0.1687
"cty17125","Mason County, IL",0.1687
"cty31037","Colfax County, NE",0.1687
"cty56017","Hot Springs County, WY",0.1687
"cty48091","Comal County, TX",0.1686
"cty41015","Curry County, OR",0.1685
"cty21205","Rowan County, KY",0.1684
"cty17019","Champaign County, IL",0.1683
"cty39151","Stark County, OH",0.1682
"cty45063","Lexington County, SC",0.1682
"cty40017","Canadian County, OK",0.1682
"cty26129","Ogemaw County, MI",0.1682
"cty37197","Yadkin County, NC",0.168
"cty51065","Fluvanna County, VA",0.1679
"cty54025","Greenbrier County, WV",0.1678
"cty20043","Doniphan County, KS",0.1678
"cty41001","Baker County, OR",0.1676
"cty12015","Charlotte County, FL",0.1676
"cty54005","Boone County, WV",0.1675
"cty12021","Collier County, FL",0.1674
"cty29205","Shelby County, MO",0.1674
"cty26039","Crawford County, MI",0.1673
"cty13241","Rabun County, GA",0.1673
"cty20167","Russell County, KS",0.1673
"cty46093","Meade County, SD",0.1672
"cty72037","Ceiba Municipio, PR",0.167
"cty20087","Jefferson County, KS",0.1669
"cty08015","Chaffee County, CO",0.1669
"cty26105","Mason County, MI",0.1668
"cty46031","Corson County, SD",0.1667
"cty20163","Rooks County, KS",0.1667
"cty51079","Greene County, VA",0.1667
"cty21089","Greenup County, KY",0.1667
"cty30013","Cascade County, MT",0.1666
"cty24037","St. Mary's County, MD",0.1665
"cty17001","Adams County, IL",0.1664
"cty17129","Menard County, IL",0.1664
"cty51073","Gloucester County, VA",0.1663
"cty39159","Union County, OH",0.1663
"cty20095","Kingman County, KS",0.1663
"cty16011","Bingham County, ID",0.1661
"cty53013","Columbia County, WA",0.166
"cty41011","Coos County, OR",0.1659
"cty29071","Franklin County, MO",0.1659
"cty55041","Forest County, WI",0.1658
"cty53005","Benton County, WA",0.1658
"cty19187","Webster County, IA",0.1657
"cty18027","Daviess County, IN",0.1657
"cty12009","Brevard County, FL",0.1656
"cty39121","Noble County, OH",0.1656
"cty39083","Knox County, OH",0.1655
"cty38043","Kidder County, ND",0.1654
"cty30047","Lake County, MT",0.1653
"cty19163","Scott County, IA",0.1652
"cty06101","Sutter County, CA",0.1652
"cty30103","Treasure County, MT",0.1652
"cty31111","Lincoln County, NE",0.1652
"cty40027","Cleveland County, OK",0.1651
"cty21055","Crittenden County, KY",0.1651
"cty48339","Montgomery County, TX",0.165
"cty40119","Payne County, OK",0.1649
"cty19171","Tama County, IA",0.1649
"cty55057","Juneau County, WI",0.1648
"cty40073","Kingfisher County, OK",0.1647
"cty42057","Fulton County, PA",0.1647
"cty39155","Trumbull County, OH",0.1646
"cty39025","Clermont County, OH",0.1646
"cty46129","Walworth County, SD",0.1645
"cty08063","Kit Carson County, CO",0.1645
"cty26019","Benzie County, MI",0.1644
"cty06067","Sacramento County, CA",0.1644
"cty06095","Solano County, CA",0.1643
"cty38071","Ramsey County, ND",0.1642
"cty51840","Winchester city, VA",0.1642
"cty39153","Summit County, OH",0.1641
"cty55081","Monroe County, WI",0.1641
"cty54085","Ritchie County, WV",0.164
"cty53065","Stevens County, WA",0.1639
"cty16055","Kootenai County, ID",0.1639
"cty18105","Monroe County, IN",0.1639
"cty49021","Iron County, UT",0.1638
"cty24017","Charles County, MD",0.1637
"cty56031","Platte County, WY",0.1637
"cty15007","Kauai County, HI",0.1636
"cty06027","Inyo County, CA",0.1635
"cty22103","St. Tammany Parish, LA",0.1635
"cty48019","Bandera County, TX",0.1634
"cty29031","Cape Girardeau County, MO",0.1633
"cty51087","Henrico County, VA",0.1632
"cty26133","Osceola County, MI",0.1632
"cty19063","Emmet County, IA",0.1632
"cty08061","Kiowa County, CO",0.1631
"cty26095","Luce County, MI",0.163
"cty29037","Cass County, MO",0.163
"cty17007","Boone County, IL",0.163
"cty51640","Galax city, VA",0.1629
"cty17089","Kane County, IL",0.1628
"cty31033","Cheyenne County, NE",0.1628
"cty49027","Millard County, UT",0.1627
"cty16003","Adams County, ID",0.1627
"cty53053","Pierce County, WA",0.1626
"cty21115","Johnson County, KY",0.1626
"cty29103","Knox County, MO",0.1625
"cty49037","San Juan County, UT",0.1623
"cty29053","Cooper County, MO",0.1623
"cty54105","Wirt County, WV",0.1622
"cty06011","Colusa County, CA",0.1622
"cty17105","Livingston County, IL",0.1621
"cty31055","Douglas County, NE",0.1619
"cty19127","Marshall County, IA",0.1619
"cty16037","Custer County, ID",0.1618
"cty30053","Lincoln County, MT",0.1618
"cty39167","Washington County, OH",0.1618
"cty41033","Josephine County, OR",0.1617
"cty41061","Union County, OR",0.1617
"cty51133","Northumberland County, VA",0.1617
"cty51660","Harrisonburg city, VA",0.1617
"cty16087","Washington County, ID",0.1616
"cty20103","Leavenworth County, KS",0.1615
"cty19013","Black Hawk County, IA",0.1615
"cty17099","LaSalle County, IL",0.1614
"cty30101","Toole County, MT",0.1613
"cty39037","Darke County, OH",0.1612
"cty19137","Montgomery County, IA",0.1611
"cty51177","Spotsylvania County, VA",0.1611
"cty29041","Chariton County, MO",0.161
"cty17005","Bond County, IL",0.1609
"cty41057","Tillamook County, OR",0.1609
"cty31113","Logan County, NE",0.1609
"cty39111","Monroe County, OH",0.1609
"cty16043","Fremont County, ID",0.1608
"cty31009","Blaine County, NE",0.1607
"cty20101","Lane County, KS",0.1607
"cty16035","Clearwater County, ID",0.1606
"cty18179","Wells County, IN",0.1605
"cty06033","Lake County, CA",0.1602
"cty19051","Davis County, IA",0.1602
"cty17117","Macoupin County, IL",0.1602
"cty20181","Sherman County, KS",0.1601
"cty56027","Niobrara County, WY",0.1601
"cty53017","Douglas County, WA",0.16
"cty42055","Franklin County, PA",0.16
