"cty","Name","Teenage_Birth_Rate_women_only_rP_gF_pall"
"cty48249","Jim Wells County, TX",0.3316
"cty01109","Pike County, AL",0.3314
"cty28067","Jones County, MS",0.3313
"cty47083","Houston County, TN",0.3313
"cty01111","Randolph County, AL",0.3312
"cty45089","Williamsburg County, SC",0.331
"cty48505","Zapata County, TX",0.3309
"cty28035","Forrest County, MS",0.3306
"cty22021","Caldwell Parish, LA",0.3304
"cty01121","Talladega County, AL",0.3302
"cty13321","Worth County, GA",0.3301
"cty48105","Crockett County, TX",0.3301
"cty13307","Webster County, GA",0.33
"cty48079","Cochran County, TX",0.3294
"cty35053","Socorro County, NM",0.3288
"cty22099","St. Martin Parish, LA",0.3288
"cty45087","Union County, SC",0.3287
"cty40089","McCurtain County, OK",0.3283
"cty46041","Dewey County, SD",0.3283
"cty13277","Tift County, GA",0.3283
"cty12107","Putnam County, FL",0.328
"cty48153","Floyd County, TX",0.3275
"cty13299","Ware County, GA",0.3274
"cty35041","Roosevelt County, NM",0.3274
"cty13075","Cook County, GA",0.327
"cty37153","Richmond County, NC",0.3267
"cty22107","Tensas Parish, LA",0.3267
"cty13159","Jasper County, GA",0.3267
"cty47047","Fayette County, TN",0.3266
"cty48351","Newton County, TX",0.3266
"cty28099","Neshoba County, MS",0.3261
"cty13001","Appling County, GA",0.3261
"cty05111","Poinsett County, AR",0.3261
"cty22037","East Feliciana Parish, LA",0.3259
"cty28149","Warren County, MS",0.3257
"cty13043","Candler County, GA",0.3257
"cty13171","Lamar County, GA",0.3256
"cty48387","Red River County, TX",0.3256
"cty13055","Chattooga County, GA",0.3256
"cty37007","Anson County, NC",0.3256
"cty48313","Madison County, TX",0.3246
"cty28087","Lowndes County, MS",0.3245
"cty35037","Quay County, NM",0.3241
"cty48279","Lamb County, TX",0.3236
"cty01101","Montgomery County, AL",0.3233
"cty28157","Wilkinson County, MS",0.323
"cty48063","Camp County, TX",0.3229
"cty01005","Barbour County, AL",0.3229
"cty47157","Shelby County, TN",0.3228
"cty22111","Union Parish, LA",0.3224
"cty48111","Dallam County, TX",0.3224
"cty22119","Webster Parish, LA",0.3216
"cty45049","Hampton County, SC",0.3216
"cty48017","Bailey County, TX",0.3216
"cty22097","St. Landry Parish, LA",0.3215
"cty05037","Cross County, AR",0.3209
"cty12003","Baker County, FL",0.3208
"cty40141","Tillman County, OK",0.3205
"cty01013","Butler County, AL",0.3205
"cty45009","Bamberg County, SC",0.3204
"cty13305","Wayne County, GA",0.3203
"cty48429","Stephens County, TX",0.3202
"cty45011","Barnwell County, SC",0.3192
"cty12049","Hardee County, FL",0.3192
"cty72001","Adjuntas Municipio, PR",0.3191
"cty45029","Colleton County, SC",0.319
"cty13279","Toombs County, GA",0.3185
"cty05103","Ouachita County, AR",0.3185
"cty37015","Bertie County, NC",0.3182
"cty45075","Orangeburg County, SC",0.3181
"cty45067","Marion County, SC",0.318
"cty05079","Lincoln County, AR",0.3179
"cty12029","Dixie County, FL",0.3178
"cty45059","Laurens County, SC",0.3175
"cty20209","Wyandotte County, KS",0.3174
"cty48215","Hidalgo County, TX",0.3173
"cty28069","Kemper County, MS",0.3168
"cty13061","Clay County, GA",0.3161
"cty40133","Seminole County, OK",0.3159
"cty22079","Rapides Parish, LA",0.3159
"cty48349","Navarro County, TX",0.3159
"cty72035","Cayey Municipio, PR",0.3154
"cty13035","Butts County, GA",0.3153
"cty48253","Jones County, TX",0.3153
"cty48255","Karnes County, TX",0.3152
"cty13285","Troup County, GA",0.3151
"cty28013","Calhoun County, MS",0.315
"cty48227","Howard County, TX",0.3146
"cty11001","District of Columbia, DC",0.3144
"cty37107","Lenoir County, NC",0.3143
"cty13245","Richmond County, GA",0.3142
"cty48457","Tyler County, TX",0.3142
"cty48177","Gonzales County, TX",0.3141
"cty13271","Telfair County, GA",0.314
"cty48055","Caldwell County, TX",0.3139
"cty12007","Bradford County, FL",0.3139
"cty48129","Donley County, TX",0.3139
"cty48135","Ector County, TX",0.3138
"cty13209","Montgomery County, GA",0.3138
"cty01091","Marengo County, AL",0.3137
"cty22043","Grant Parish, LA",0.3136
"cty12125","Union County, FL",0.3135
"cty48335","Mitchell County, TX",0.3133
"cty48363","Palo Pinto County, TX",0.3133
"cty72107","Orocovis Municipio, PR",0.3132
"cty01097","Mobile County, AL",0.3129
"cty48061","Cameron County, TX",0.3129
"cty28117","Prentiss County, MS",0.3129
"cty48145","Falls County, TX",0.3123
"cty51595","Emporia city, VA",0.3121
"cty01123","Tallapoosa County, AL",0.3121
"cty12051","Hendry County, FL",0.3121
"cty22085","Sabine Parish, LA",0.312
"cty51710","Norfolk city, VA",0.3118
"cty13163","Jefferson County, GA",0.3117
"cty48307","McCulloch County, TX",0.3117
"cty48241","Jasper County, TX",0.3115
"cty38079","Rolette County, ND",0.3112
"cty48125","Dickens County, TX",0.3111
"cty28001","Adams County, MS",0.3109
"cty48377","Presidio County, TX",0.3109
"cty28139","Tippah County, MS",0.3109
"cty51670","Hopewell city, VA",0.3108
"cty28043","Grenada County, MS",0.3103
"cty47053","Gibson County, TN",0.3102
"cty22101","St. Mary Parish, LA",0.3098
"cty48481","Wharton County, TX",0.3098
"cty22049","Jackson Parish, LA",0.3098
"cty17153","Pulaski County, IL",0.3096
"cty37079","Greene County, NC",0.3096
"cty13283","Treutlen County, GA",0.3094
"cty28111","Perry County, MS",0.3094
"cty37185","Warren County, NC",0.3093
"cty22009","Avoyelles Parish, LA",0.3092
"cty28137","Tate County, MS",0.3092
"cty48013","Atascosa County, TX",0.3088
"cty13251","Screven County, GA",0.3087
"cty48197","Hardeman County, TX",0.3085
"cty40101","Muskogee County, OK",0.3082
"cty48479","Webb County, TX",0.3081
"cty13275","Thomas County, GA",0.308
"cty48449","Titus County, TX",0.3079
"cty13215","Muscogee County, GA",0.3075
"cty13105","Elbert County, GA",0.3071
"cty37083","Halifax County, NC",0.307
"cty37041","Chowan County, NC",0.307
"cty05003","Ashley County, AR",0.307
"cty51590","Danville city, VA",0.307
"cty45031","Darlington County, SC",0.3069
"cty72103","Naguabo Municipio, PR",0.3063
"cty01099","Monroe County, AL",0.3063
"cty48277","Lamar County, TX",0.306
