"cty","Name","College_Graduation_Rate_rP_gP_pall"
"cty27157","Wabasha County, MN",0.3183
"cty13021","Bibb County, GA",0.3183
"cty29201","Scott County, MO",0.3181
"cty35027","Lincoln County, NM",0.3181
"cty26115","Monroe County, MI",0.318
"cty26091","Lenawee County, MI",0.318
"cty10001","Kent County, DE",0.3178
"cty22023","Cameron Parish, LA",0.3178
"cty56025","Natrona County, WY",0.3176
"cty31131","Otoe County, NE",0.3176
"cty29071","Franklin County, MO",0.3176
"cty20133","Neosho County, KS",0.3176
"cty22087","St. Bernard Parish, LA",0.3175
"cty46117","Stanley County, SD",0.3174
"cty27051","Grant County, MN",0.3173
"cty55111","Sauk County, WI",0.3172
"cty48487","Wilbarger County, TX",0.3172
"cty40057","Harmon County, OK",0.3171
"cty39139","Richland County, OH",0.317
"cty42005","Armstrong County, PA",0.3169
"cty37083","Halifax County, NC",0.3167
"cty42123","Warren County, PA",0.3167
"cty45067","Marion County, SC",0.3166
"cty17039","De Witt County, IL",0.3165
"cty48153","Floyd County, TX",0.3164
"cty13139","Hall County, GA",0.3163
"cty21013","Bell County, KY",0.316
"cty51163","Rockbridge County, VA",0.3159
"cty48245","Jefferson County, TX",0.3158
"cty19071","Fremont County, IA",0.3158
"cty42121","Venango County, PA",0.3158
"cty46033","Custer County, SD",0.3158
"cty18017","Cass County, IN",0.3158
"cty39005","Ashland County, OH",0.3158
"cty48357","Ochiltree County, TX",0.3157
"cty46115","Spink County, SD",0.3156
"cty05117","Prairie County, AR",0.3156
"cty48401","Rusk County, TX",0.3155
"cty05131","Sebastian County, AR",0.3154
"cty13297","Walton County, GA",0.3154
"cty48211","Hemphill County, TX",0.3153
"cty19155","Pottawattamie County, IA",0.3152
"cty20053","Ellsworth County, KS",0.3152
"cty18167","Vigo County, IN",0.3152
"cty37049","Craven County, NC",0.3151
"cty48083","Coleman County, TX",0.3151
"cty01029","Cleburne County, AL",0.315
"cty13309","Wheeler County, GA",0.3149
"cty28053","Humphreys County, MS",0.3149
"cty19063","Emmet County, IA",0.3149
"cty05051","Garland County, AR",0.3148
"cty08031","Denver County, CO",0.3148
"cty12071","Lee County, FL",0.3148
"cty31165","Sioux County, NE",0.3144
"cty26069","Iosco County, MI",0.3144
"cty16041","Franklin County, ID",0.3143
"cty41035","Klamath County, OR",0.3142
"cty22057","Lafourche Parish, LA",0.3142
"cty47131","Obion County, TN",0.3142
"cty21225","Union County, KY",0.3141
"cty01125","Tuscaloosa County, AL",0.314
"cty20013","Brown County, KS",0.3139
"cty26137","Otsego County, MI",0.3137
"cty04019","Pima County, AZ",0.3136
"cty08089","Otero County, CO",0.3136
"cty55069","Lincoln County, WI",0.3136
"cty08099","Prowers County, CO",0.3135
"cty29011","Barton County, MO",0.3135
"cty48037","Bowie County, TX",0.3134
"cty31181","Webster County, NE",0.3134
"cty22093","St. James Parish, LA",0.3134
"cty26153","Schoolcraft County, MI",0.3132
"cty27099","Mower County, MN",0.3132
"cty39037","Darke County, OH",0.3132
"cty39003","Allen County, OH",0.3131
"cty22015","Bossier Parish, LA",0.3128
"cty51760","Richmond city, VA",0.3127
"cty55121","Trempealeau County, WI",0.3127
"cty29219","Warren County, MO",0.3126
"cty06007","Butte County, CA",0.3125
"cty45091","York County, SC",0.3125
"cty45007","Anderson County, SC",0.3125
"cty13261","Sumter County, GA",0.3125
"cty13145","Harris County, GA",0.3123
"cty55021","Columbia County, WI",0.3121
"cty22005","Ascension Parish, LA",0.3119
"cty36009","Cattaraugus County, NY",0.3117
"cty46093","Meade County, SD",0.3116
"cty40071","Kay County, OK",0.3116
"cty41047","Marion County, OR",0.3116
"cty37105","Lee County, NC",0.3116
"cty37019","Brunswick County, NC",0.3115
"cty54099","Wayne County, WV",0.3115
"cty31149","Rock County, NE",0.3115
"cty47141","Putnam County, TN",0.3115
"cty04025","Yavapai County, AZ",0.3114
"cty39033","Crawford County, OH",0.3114
"cty21155","Marion County, KY",0.3113
"cty21161","Mason County, KY",0.3111
"cty01105","Perry County, AL",0.3111
"cty47089","Jefferson County, TN",0.3111
"cty39051","Fulton County, OH",0.3111
"cty38037","Grant County, ND",0.3111
"cty48119","Delta County, TX",0.311
"cty31087","Hitchcock County, NE",0.311
"cty41033","Josephine County, OR",0.3109
"cty26147","St. Clair County, MI",0.3109
"cty23003","Aroostook County, ME",0.3108
"cty16031","Cassia County, ID",0.3108
"cty55065","Lafayette County, WI",0.3108
"cty51071","Giles County, VA",0.3107
"cty30023","Deer Lodge County, MT",0.3105
"cty51530","Buena Vista city, VA",0.3105
"cty20061","Geary County, KS",0.3105
"cty08105","Rio Grande County, CO",0.3104
"cty18123","Perry County, IN",0.3103
"cty46109","Roberts County, SD",0.3102
"cty29163","Pike County, MO",0.3102
"cty19121","Madison County, IA",0.3102
"cty47041","DeKalb County, TN",0.3102
"cty45041","Florence County, SC",0.3102
"cty48423","Smith County, TX",0.3101
"cty39171","Williams County, OH",0.3101
"cty51159","Richmond County, VA",0.31
"cty50009","Essex County, VT",0.31
"cty29079","Grundy County, MO",0.31
"cty31049","Deuel County, NE",0.3099
"cty17029","Coles County, IL",0.3098
"cty18019","Clark County, IN",0.3098
"cty19159","Ringgold County, IA",0.3096
"cty40009","Beckham County, OK",0.3094
"cty37133","Onslow County, NC",0.3094
"cty16011","Bingham County, ID",0.3093
"cty55031","Douglas County, WI",0.3092
"cty46105","Perkins County, SD",0.3092
"cty21043","Carter County, KY",0.3092
"cty28067","Jones County, MS",0.3091
"cty54091","Taylor County, WV",0.3091
"cty48089","Colorado County, TX",0.3091
"cty48505","Zapata County, TX",0.309
"cty51015","Augusta County, VA",0.309
"cty37199","Yancey County, NC",0.3089
"cty12127","Volusia County, FL",0.3088
"cty21049","Clark County, KY",0.3088
"cty48313","Madison County, TX",0.3088
"cty22077","Pointe Coupee Parish, LA",0.3087
"cty30047","Lake County, MT",0.3086
"cty28087","Lowndes County, MS",0.3085
"cty42001","Adams County, PA",0.3085
"cty29169","Pulaski County, MO",0.3082
"cty29097","Jasper County, MO",0.308
"cty32005","Douglas County, NV",0.308
"cty21171","Monroe County, KY",0.308
"cty26105","Mason County, MI",0.3079
"cty28011","Bolivar County, MS",0.3079
"cty16055","Kootenai County, ID",0.3078
"cty54057","Mineral County, WV",0.3078
"cty40123","Pontotoc County, OK",0.3077
"cty05139","Union County, AR",0.3077
"cty39141","Ross County, OH",0.3077
"cty22019","Calcasieu Parish, LA",0.3076
"cty12019","Clay County, FL",0.3076
"cty36097","Schuyler County, NY",0.3076
"cty18107","Montgomery County, IN",0.3075
"cty20175","Seward County, KS",0.3074
"cty19177","Van Buren County, IA",0.3073
"cty29101","Johnson County, MO",0.3073
"cty45017","Calhoun County, SC",0.3072
"cty21235","Whitley County, KY",0.3071
"cty55043","Grant County, WI",0.3069
"cty37171","Surry County, NC",0.3068
"cty18121","Parke County, IN",0.3068
"cty22073","Ouachita Parish, LA",0.3067
"cty06089","Shasta County, CA",0.3066
"cty05143","Washington County, AR",0.3066
"cty21211","Shelby County, KY",0.3065
"cty49025","Kane County, UT",0.3065
"cty17021","Christian County, IL",0.3065
"cty39089","Licking County, OH",0.3064
"cty12081","Manatee County, FL",0.3062
"cty48367","Parker County, TX",0.3062
"cty21075","Fulton County, KY",0.3062
"cty13283","Treutlen County, GA",0.3062
"cty06101","Sutter County, CA",0.306
"cty48219","Hockley County, TX",0.306
"cty48087","Collingsworth County, TX",0.3059
"cty26155","Shiawassee County, MI",0.3058
"cty29199","Scotland County, MO",0.3058
"cty17157","Randolph County, IL",0.3058
"cty21221","Trigg County, KY",0.3057
"cty47017","Carroll County, TN",0.3057
"cty45051","Horry County, SC",0.3056
"cty48141","El Paso County, TX",0.3056
"cty16003","Adams County, ID",0.3054
"cty12033","Escambia County, FL",0.3053
"cty40083","Logan County, OK",0.3053
"cty36049","Lewis County, NY",0.3052
"cty38079","Rolette County, ND",0.3051
"cty15009","Maui County, HI",0.3051
"cty17015","Carroll County, IL",0.305
"cty34011","Cumberland County, NJ",0.3048
"cty05115","Pope County, AR",0.3048
"cty45073","Oconee County, SC",0.3046
"cty29021","Buchanan County, MO",0.3045
"cty18033","DeKalb County, IN",0.3044
"cty18099","Marshall County, IN",0.3042
"cty18169","Wabash County, IN",0.3041
"cty10005","Sussex County, DE",0.304
"cty18051","Gibson County, IN",0.304
"cty56037","Sweetwater County, WY",0.3039
"cty18021","Clay County, IN",0.3039
"cty23027","Waldo County, ME",0.3039
"cty26063","Huron County, MI",0.3038
"cty19171","Tama County, IA",0.3037
"cty38027","Eddy County, ND",0.3037
"cty28075","Lauderdale County, MS",0.3037
"cty13299","Ware County, GA",0.3036
"cty20031","Coffey County, KS",0.3035
"cty06093","Siskiyou County, CA",0.3032
"cty13291","Union County, GA",0.3032
"cty55103","Richland County, WI",0.3031
"cty55011","Buffalo County, WI",0.303
"cty50011","Franklin County, VT",0.3029
"cty53047","Okanogan County, WA",0.3028
"cty21017","Bourbon County, KY",0.3026
"cty08085","Montrose County, CO",0.3025
"cty01097","Mobile County, AL",0.3024
"cty37195","Wilson County, NC",0.3024
"cty51083","Halifax County, VA",0.3024
"cty31057","Dundy County, NE",0.3023
"cty32031","Washoe County, NV",0.302
"cty01001","Autauga County, AL",0.302
"cty16067","Minidoka County, ID",0.3019
"cty19133","Monona County, IA",0.3019
"cty45071","Newberry County, SC",0.3018
"cty18083","Knox County, IN",0.3017
"cty40055","Greer County, OK",0.3016
"cty17127","Massac County, IL",0.3015
"cty13031","Bulloch County, GA",0.3014
"cty51141","Patrick County, VA",0.3014
"cty17017","Cass County, IL",0.3014
"cty27023","Chippewa County, MN",0.3013
"cty21125","Laurel County, KY",0.3013
"cty38083","Sheridan County, ND",0.301
"cty31043","Dakota County, NE",0.3009
"cty26073","Isabella County, MI",0.3009
"cty27159","Wadena County, MN",0.3009
"cty13185","Lowndes County, GA",0.3007
"cty13273","Terrell County, GA",0.3005
"cty29217","Vernon County, MO",0.3005
"cty42039","Crawford County, PA",0.3005
"cty48187","Guadalupe County, TX",0.3002
"cty01051","Elmore County, AL",0.3001
"cty51001","Accomack County, VA",0.3001
"cty42023","Cameron County, PA",0.2999
"cty31059","Fillmore County, NE",0.2999
"cty08055","Huerfano County, CO",0.2999
"cty24043","Washington County, MD",0.2998
"cty45077","Pickens County, SC",0.2997
"cty06053","Monterey County, CA",0.2996
"cty26025","Calhoun County, MI",0.2996
"cty16051","Jefferson County, ID",0.2995
"cty21195","Pike County, KY",0.2995
"cty39143","Sandusky County, OH",0.2994
"cty53011","Clark County, WA",0.2993
"cty28031","Covington County, MS",0.2993
"cty01055","Etowah County, AL",0.2993
"cty48057","Calhoun County, TX",0.2993
"cty51155","Pulaski County, VA",0.2993
"cty22017","Caddo Parish, LA",0.2992
"cty55033","Dunn County, WI",0.2991
"cty05031","Craighead County, AR",0.2991
"cty54075","Pocahontas County, WV",0.299
"cty41001","Baker County, OR",0.299
"cty18133","Putnam County, IN",0.2989
"cty37167","Stanly County, NC",0.2988
"cty19091","Humboldt County, IA",0.2988
"cty39069","Henry County, OH",0.2986
"cty18053","Grant County, IN",0.2986
"cty48399","Runnels County, TX",0.2985
"cty42065","Jefferson County, PA",0.2985
"cty41031","Jefferson County, OR",0.2984
"cty12031","Duval County, FL",0.2984
"cty05069","Jefferson County, AR",0.2984
"cty17045","Edgar County, IL",0.2984
"cty29099","Jefferson County, MO",0.2983
"cty18085","Kosciusko County, IN",0.2983
"cty51800","Suffolk city, VA",0.2981
"cty54001","Barbour County, WV",0.298
"cty48103","Crane County, TX",0.298
"cty23025","Somerset County, ME",0.2979
"cty29205","Shelby County, MO",0.2978
"cty16017","Bonner County, ID",0.2978
"cty13187","Lumpkin County, GA",0.2978
"cty49003","Box Elder County, UT",0.2976
"cty01045","Dale County, AL",0.2976
"cty17117","Macoupin County, IL",0.2976
"cty21105","Hickman County, KY",0.2975
"cty31047","Dawson County, NE",0.2975
"cty47033","Crockett County, TN",0.2975
"cty18007","Benton County, IN",0.2974
"cty20073","Greenwood County, KS",0.2974
"cty32001","Churchill County, NV",0.2973
"cty51025","Brunswick County, VA",0.2973
"cty27155","Traverse County, MN",0.2973
"cty12059","Holmes County, FL",0.2972
"cty46123","Tripp County, SD",0.2971
"cty48461","Upton County, TX",0.2971
"cty36003","Allegany County, NY",0.2971
"cty26033","Chippewa County, MI",0.297
"cty16035","Clearwater County, ID",0.297
"cty29063","DeKalb County, MO",0.2968
"cty18103","Miami County, IN",0.2968
"cty55005","Barron County, WI",0.2968
"cty17175","Stark County, IL",0.2968
"cty48493","Wilson County, TX",0.2968
"cty37139","Pasquotank County, NC",0.2967
"cty50019","Orleans County, VT",0.2967
"cty39007","Ashtabula County, OH",0.2966
"cty26121","Muskegon County, MI",0.2965
"cty21173","Montgomery County, KY",0.2965
"cty33019","Sullivan County, NH",0.2965
"cty28159","Winston County, MS",0.2964
"cty18151","Steuben County, IN",0.2964
"cty51115","Mathews County, VA",0.2964
"cty17165","Saline County, IL",0.2963
"cty20001","Allen County, KS",0.2961
"cty48029","Bexar County, TX",0.296
"cty37109","Lincoln County, NC",0.296
"cty08071","Las Animas County, CO",0.296
"cty36005","Bronx County, NY",0.2959
"cty17059","Gallatin County, IL",0.2958
"cty13159","Jasper County, GA",0.2958
"cty01095","Marshall County, AL",0.2957
"cty29111","Lewis County, MO",0.2957
"cty21001","Adair County, KY",0.2955
"cty42113","Sullivan County, PA",0.2954
"cty55049","Iowa County, WI",0.2954
"cty16029","Caribou County, ID",0.2953
"cty21093","Hardin County, KY",0.2952
"cty48321","Matagorda County, TX",0.2951
"cty28107","Panola County, MS",0.295
"cty55075","Marinette County, WI",0.295
"cty37005","Alleghany County, NC",0.295
"cty37101","Johnston County, NC",0.2949
"cty31133","Pawnee County, NE",0.2949
"cty13009","Baldwin County, GA",0.2948
"cty16073","Owyhee County, ID",0.2947
"cty29083","Henry County, MO",0.2947
"cty21207","Russell County, KY",0.2947
"cty39023","Clark County, OH",0.2947
"cty19095","Iowa County, IA",0.2946
"cty47119","Maury County, TN",0.2946
"cty24039","Somerset County, MD",0.2945
"cty21209","Scott County, KY",0.2943
"cty42109","Snyder County, PA",0.2943
"cty47125","Montgomery County, TN",0.2942
"cty48139","Ellis County, TX",0.2942
"cty39029","Columbiana County, OH",0.2941
"cty08103","Rio Blanco County, CO",0.2941
"cty13277","Tift County, GA",0.294
"cty39119","Muskingum County, OH",0.294
"cty18183","Whitley County, IN",0.2939
"cty47059","Greene County, TN",0.2939
"cty05085","Lonoke County, AR",0.2938
"cty01069","Houston County, AL",0.2938
"cty13069","Coffee County, GA",0.2936
"cty54077","Preston County, WV",0.2934
"cty53019","Ferry County, WA",0.2933
"cty48097","Cooke County, TX",0.2933
"cty13215","Muscogee County, GA",0.2931
"cty27165","Watonwan County, MN",0.2931
"cty53009","Clallam County, WA",0.293
"cty20165","Rush County, KS",0.293
"cty13195","Madison County, GA",0.2929
"cty16083","Twin Falls County, ID",0.2929
"cty49039","Sanpete County, UT",0.2929
"cty46039","Deuel County, SD",0.2927
"cty18065","Henry County, IN",0.2927
"cty28047","Harrison County, MS",0.2926
"cty20035","Cowley County, KS",0.2926
"cty39073","Hocking County, OH",0.2926
"cty17199","Williamson County, IL",0.2926
"cty48003","Andrews County, TX",0.2926
"cty46055","Haakon County, SD",0.2925
"cty20049","Elk County, KS",0.2924
"cty36123","Yates County, NY",0.2922
"cty40073","Kingfisher County, OK",0.2921
"cty53077","Yakima County, WA",0.292
"cty29043","Christian County, MO",0.292
"cty18061","Harrison County, IN",0.292
"cty41071","Yamhill County, OR",0.2919
"cty26009","Antrim County, MI",0.2919
"cty26005","Allegan County, MI",0.2918
"cty08093","Park County, CO",0.2918
"cty48395","Robertson County, TX",0.2918
"cty48503","Young County, TX",0.2917
"cty48027","Bell County, TX",0.2916
"cty48063","Camp County, TX",0.2915
"cty37061","Duplin County, NC",0.2914
"cty13083","Dade County, GA",0.2914
"cty51037","Charlotte County, VA",0.2914
"cty54025","Greenbrier County, WV",0.2914
"cty48249","Jim Wells County, TX",0.2911
"cty18095","Madison County, IN",0.2911
"cty06069","San Benito County, CA",0.291
"cty31093","Howard County, NE",0.291
"cty29209","Stone County, MO",0.291
"cty54005","Boone County, WV",0.2909
"cty27079","Le Sueur County, MN",0.2906
"cty48451","Tom Green County, TX",0.2905
"cty13169","Jones County, GA",0.2905
"cty39077","Huron County, OH",0.2904
"cty13245","Richmond County, GA",0.2903
"cty54027","Hampshire County, WV",0.2903
"cty18171","Warren County, IN",0.2903
"cty39125","Paulding County, OH",0.2902
"cty21199","Pulaski County, KY",0.2902
"cty51057","Essex County, VA",0.2901
"cty28033","DeSoto County, MS",0.29
"cty30035","Glacier County, MT",0.2896
"cty41061","Union County, OR",0.2896
"cty45001","Abbeville County, SC",0.2896
"cty13183","Long County, GA",0.2896
"cty01133","Winston County, AL",0.2894
"cty48309","McLennan County, TX",0.2893
"cty05003","Ashley County, AR",0.2892
"cty05103","Ouachita County, AR",0.2892
"cty48123","DeWitt County, TX",0.2891
"cty48077","Clay County, TX",0.2889
"cty20125","Montgomery County, KS",0.2886
"cty26031","Cheboygan County, MI",0.2885
"cty13205","Mitchell County, GA",0.2885
"cty27085","McLeod County, MN",0.2885
"cty39067","Harrison County, OH",0.2884
"cty47011","Bradley County, TN",0.2884
"cty01047","Dallas County, AL",0.2883
"cty48203","Harrison County, TX",0.2882
"cty18055","Greene County, IN",0.288
"cty13077","Coweta County, GA",0.288
"cty48331","Milam County, TX",0.2876
"cty05017","Chicot County, AR",0.2874
"cty39059","Guernsey County, OH",0.2874
"cty51049","Cumberland County, VA",0.2873
"cty13207","Monroe County, GA",0.2872
"cty05145","White County, AR",0.2872
"cty27005","Becker County, MN",0.2869
"cty56003","Big Horn County, WY",0.2869
"cty37015","Bertie County, NC",0.2868
"cty19023","Butler County, IA",0.2867
"cty54109","Wyoming County, WV",0.2866
"cty29087","Holt County, MO",0.2865
"cty53069","Wahkiakum County, WA",0.2865
"cty28137","Tate County, MS",0.2864
"cty51187","Warren County, VA",0.2862
"cty35009","Curry County, NM",0.2862
"cty41011","Coos County, OR",0.2861
"cty30101","Toole County, MT",0.2861
"cty06105","Trinity County, CA",0.2861
"cty16071","Oneida County, ID",0.286
"cty45009","Bamberg County, SC",0.2859
"cty18155","Switzerland County, IN",0.2858
"cty13063","Clayton County, GA",0.2857
"cty19197","Wright County, IA",0.2857
"cty21141","Logan County, KY",0.2857
"cty28101","Newton County, MS",0.2855
"cty35015","Eddy County, NM",0.2855
"cty55051","Iron County, WI",0.2855
"cty06019","Fresno County, CA",0.2854
"cty37181","Vance County, NC",0.2854
"cty41023","Grant County, OR",0.2853
"cty48053","Burnet County, TX",0.285
"cty47107","McMinn County, TN",0.285
"cty23009","Hancock County, ME",0.2848
"cty40019","Carter County, OK",0.2847
"cty48287","Lee County, TX",0.2847
"cty26101","Manistee County, MI",0.2847
"cty13137","Habersham County, GA",0.2847
"cty05007","Benton County, AR",0.2846
"cty48305","Lynn County, TX",0.2846
"cty27009","Benton County, MN",0.2845
"cty54067","Nicholas County, WV",0.2844
"cty21179","Nelson County, KY",0.2844
"cty51047","Culpeper County, VA",0.2843
"cty54095","Tyler County, WV",0.2843
"cty48355","Nueces County, TX",0.2842
"cty13293","Upson County, GA",0.2842
"cty16021","Boundary County, ID",0.2842
"cty02195","Copper River Census Area, AK",0.2092
"cty49045","Tooele County, UT",0.284
"cty21143","Lyon County, KY",0.2838
"cty47019","Carter County, TN",0.2837
"cty51113","Madison County, VA",0.2837
"cty48299","Llano County, TX",0.2835
"cty18181","White County, IN",0.2835
"cty56045","Weston County, WY",0.2833
"cty17149","Pike County, IL",0.2833
"cty05129","Searcy County, AR",0.2833
"cty53015","Cowlitz County, WA",0.2832
"cty46053","Gregory County, SD",0.2832
"cty13217","Newton County, GA",0.2831
"cty13045","Carroll County, GA",0.2828
"cty19185","Wayne County, IA",0.2827
"cty51065","Fluvanna County, VA",0.2827
"cty05125","Saline County, AR",0.2826
"cty47035","Cumberland County, TN",0.2825
"cty13251","Screven County, GA",0.2825
"cty46023","Charles Mix County, SD",0.2824
"cty08101","Pueblo County, CO",0.2824
"cty05057","Hempstead County, AR",0.2823
"cty48075","Childress County, TX",0.2823
"cty28145","Union County, MS",0.2822
"cty01059","Franklin County, AL",0.2821
"cty40067","Jefferson County, OK",0.282
"cty19003","Adams County, IA",0.282
"cty13311","White County, GA",0.282
"cty37071","Gaston County, NC",0.2819
"cty12005","Bay County, FL",0.2819
"cty01021","Chilton County, AL",0.2819
"cty51195","Wise County, VA",0.2819
"cty47079","Henry County, TN",0.2818
"cty17041","Douglas County, IL",0.2817
"cty12069","Lake County, FL",0.2815
"cty18045","Fountain County, IN",0.2815
"cty05133","Sevier County, AR",0.2814
"cty22079","Rapides Parish, LA",0.2813
"cty40145","Wagoner County, OK",0.2812
"cty30057","Madison County, MT",0.2812
"cty28045","Hancock County, MS",0.2812
"cty27135","Roseau County, MN",0.2811
"cty39053","Gallia County, OH",0.2811
"cty35017","Grant County, NM",0.281
"cty45049","Hampton County, SC",0.281
"cty41049","Morrow County, OR",0.281
"cty48469","Victoria County, TX",0.281
"cty51690","Martinsville city, VA",0.2809
"cty48415","Scurry County, TX",0.2809
"cty16013","Blaine County, ID",0.2808
"cty49017","Garfield County, UT",0.2808
"cty01005","Barbour County, AL",0.2808
"cty06077","San Joaquin County, CA",0.2806
"cty46085","Lyman County, SD",0.2805
"cty05005","Baxter County, AR",0.2804
"cty45011","Barnwell County, SC",0.2803
"cty22113","Vermilion Parish, LA",0.2803
"cty26007","Alpena County, MI",0.2803
"cty21011","Bath County, KY",0.2803
"cty48181","Grayson County, TX",0.2802
"cty29153","Ozark County, MO",0.2801
"cty13053","Chattahoochee County, GA",0.28
"cty42105","Potter County, PA",0.28
"cty46043","Douglas County, SD",0.2799
"cty30053","Lincoln County, MT",0.2799
"cty48215","Hidalgo County, TX",0.2799
"cty08083","Montezuma County, CO",0.2798
"cty40139","Texas County, OK",0.2798
"cty20205","Wilson County, KS",0.2798
"cty31167","Stanton County, NE",0.2796
"cty22075","Plaquemines Parish, LA",0.2796
"cty45021","Cherokee County, SC",0.2795
"cty31125","Nance County, NE",0.2795
"cty37143","Perquimans County, NC",0.2793
"cty48047","Brooks County, TX",0.2792
"cty39097","Madison County, OH",0.2792
"cty48237","Jack County, TX",0.2791
"cty47155","Sevier County, TN",0.279
"cty29073","Gasconade County, MO",0.279
"cty55095","Polk County, WI",0.2789
"cty08087","Morgan County, CO",0.2789
"cty21091","Hancock County, KY",0.2787
"cty48199","Hardin County, TX",0.2787
"cty46007","Bennett County, SD",0.2785
"cty13189","McDuffie County, GA",0.2785
"cty06011","Colusa County, CA",0.2785
"cty29055","Crawford County, MO",0.2782
"cty12017","Citrus County, FL",0.2779
"cty35035","Otero County, NM",0.2776
"cty06033","Lake County, CA",0.2775
"cty29121","Macon County, MO",0.2775
"cty48393","Roberts County, TX",0.2773
"cty24023","Garrett County, MD",0.2772
"cty17047","Edwards County, IL",0.2772
"cty45075","Orangeburg County, SC",0.277
"cty21009","Barren County, KY",0.2769
"cty38081","Sargent County, ND",0.2768
"cty48437","Swisher County, TX",0.2768
"cty48365","Panola County, TX",0.2767
"cty21083","Graves County, KY",0.2765
"cty48065","Carson County, TX",0.2765
"cty45085","Sumter County, SC",0.2764
"cty02130","Ketchikan Gateway Borough, AK",0.2764
"cty42035","Clinton County, PA",0.2764
"cty39129","Pickaway County, OH",0.2761
"cty37023","Burke County, NC",0.276
"cty28085","Lincoln County, MS",0.2758
"cty40037","Creek County, OK",0.2757
"cty51109","Louisa County, VA",0.2757
"cty45059","Laurens County, SC",0.2756
"cty48051","Burleson County, TX",0.2754
"cty21007","Ballard County, KY",0.2754
"cty40013","Bryan County, OK",0.2753
"cty51035","Carroll County, VA",0.2753
"cty20087","Jefferson County, KS",0.2753
"cty39065","Hardin County, OH",0.2753
"cty35059","Union County, NM",0.2752
"cty51137","Orange County, VA",0.2751
"cty56043","Washakie County, WY",0.275
"cty54087","Roane County, WV",0.2749
"cty17183","Vermilion County, IL",0.2747
"cty27059","Isanti County, MN",0.2746
"cty01083","Limestone County, AL",0.2746
"cty40051","Grady County, OK",0.2743
"cty48257","Kaufman County, TX",0.2743
"cty06071","San Bernardino County, CA",0.2742
"cty51197","Wythe County, VA",0.2742
"cty27121","Pope County, MN",0.2742
"cty16007","Bear Lake County, ID",0.2742
"cty39021","Champaign County, OH",0.2742
"cty46057","Hamlin County, SD",0.2741
"cty37145","Person County, NC",0.274
"cty37097","Iredell County, NC",0.2737
"cty47071","Hardin County, TN",0.2737
"cty17121","Marion County, IL",0.2737
"cty29143","New Madrid County, MO",0.2736
"cty53051","Pend Oreille County, WA",0.2736
"cty51079","Greene County, VA",0.2735
"cty21215","Spencer County, KY",0.2734
"cty21003","Allen County, KY",0.2734
"cty26003","Alger County, MI",0.2734
"cty18009","Blackford County, IN",0.2734
"cty48435","Sutton County, TX",0.2734
"cty27071","Koochiching County, MN",0.2734
"cty37107","Lenoir County, NC",0.2732
"cty12101","Pasco County, FL",0.2731
"cty19053","Decatur County, IA",0.2729
"cty31029","Chase County, NE",0.2729
"cty06063","Plumas County, CA",0.2729
"cty16087","Washington County, ID",0.2728
"cty27035","Crow Wing County, MN",0.2725
"cty48127","Dimmit County, TX",0.2725
"cty22063","Livingston Parish, LA",0.2725
"cty30003","Big Horn County, MT",0.2724
"cty29103","Knox County, MO",0.2724
"cty41019","Douglas County, OR",0.2723
"cty40053","Grant County, OK",0.2723
"cty01121","Talladega County, AL",0.2722
"cty29039","Cedar County, MO",0.2722
"cty18071","Jackson County, IN",0.2722
"cty47051","Franklin County, TN",0.2721
"cty32007","Elko County, NV",0.272
"cty51011","Appomattox County, VA",0.272
"cty35005","Chaves County, NM",0.2719
"cty37157","Rockingham County, NC",0.2719
"cty48335","Mitchell County, TX",0.2719
"cty21133","Letcher County, KY",0.2719
"cty05063","Independence County, AR",0.2719
"cty04003","Cochise County, AZ",0.2718
"cty23017","Oxford County, ME",0.2718
"cty48007","Aransas County, TX",0.2716
"cty39091","Logan County, OH",0.2716
"cty26107","Mecosta County, MI",0.2716
"cty21167","Mercer County, KY",0.2715
"cty39111","Monroe County, OH",0.2714
"cty31163","Sherman County, NE",0.2714
"cty45081","Saluda County, SC",0.2713
"cty51097","King and Queen County, VA",0.2712
"cty19195","Worth County, IA",0.2712
"cty16053","Jerome County, ID",0.2708
"cty48001","Anderson County, TX",0.2707
"cty47109","McNairy County, TN",0.2707
"cty27143","Sibley County, MN",0.2707
"cty51077","Grayson County, VA",0.2706
"cty18111","Newton County, IN",0.2706
"cty55081","Monroe County, WI",0.2705
"cty35041","Roosevelt County, NM",0.2705
"cty26165","Wexford County, MI",0.2704
"cty51027","Buchanan County, VA",0.2704
"cty18093","Lawrence County, IN",0.2704
"cty21127","Lawrence County, KY",0.2704
"cty29091","Howell County, MO",0.2703
"cty29113","Lincoln County, MO",0.2702
"cty28021","Claiborne County, MS",0.2698
"cty13023","Bleckley County, GA",0.2698
"cty22009","Avoyelles Parish, LA",0.2697
"cty06035","Lassen County, CA",0.2696
"cty06103","Tehama County, CA",0.2695
"cty37137","Pamlico County, NC",0.2695
"cty19179","Wapello County, IA",0.2692
"cty40131","Rogers County, OK",0.2691
"cty28095","Monroe County, MS",0.2691
"cty26015","Barry County, MI",0.2691
"cty35047","San Miguel County, NM",0.269
"cty42099","Perry County, PA",0.2689
"cty20019","Chautauqua County, KS",0.2688
"cty28015","Carroll County, MS",0.2686
"cty54019","Fayette County, WV",0.2686
"cty18139","Rush County, IN",0.2684
"cty40049","Garvin County, OK",0.2683
"cty28061","Jasper County, MS",0.2683
