"cty","Name","College_Graduation_Rate_rP_gP_pall"
"cty06059","Orange County, CA",0.442
"cty39165","Warren County, OH",0.4418
"cty20137","Norton County, KS",0.4413
"cty51153","Prince William County, VA",0.4411
"cty39107","Mercer County, OH",0.4408
"cty31159","Seward County, NE",0.4406
"cty29031","Cape Girardeau County, MO",0.4401
"cty37067","Forsyth County, NC",0.44
"cty05027","Columbia County, AR",0.44
"cty46045","Edmunds County, SD",0.4397
"cty39103","Medina County, OH",0.4396
"cty17073","Henry County, IL",0.4393
"cty19149","Plymouth County, IA",0.4392
"cty34029","Ocean County, NJ",0.439
"cty17109","McDonough County, IL",0.4389
"cty13059","Clarke County, GA",0.4388
"cty19017","Bremer County, IA",0.4386
"cty20101","Lane County, KS",0.4386
"cty30105","Valley County, MT",0.4385
"cty08015","Chaffee County, CO",0.4381
"cty17031","Cook County, IL",0.438
"cty36083","Rensselaer County, NY",0.438
"cty20025","Clark County, KS",0.4378
"cty17089","Kane County, IL",0.4373
"cty19047","Crawford County, IA",0.4372
"cty38003","Barnes County, ND",0.4366
"cty42047","Elk County, PA",0.4365
"cty33013","Merrimack County, NH",0.4358
"cty48009","Archer County, TX",0.4357
"cty33017","Strafford County, NH",0.4354
"cty41037","Lake County, OR",0.4354
"cty39099","Mahoning County, OH",0.4345
"cty42027","Centre County, PA",0.4341
"cty24025","Harford County, MD",0.433
"cty20193","Thomas County, KS",0.433
"cty27103","Nicollet County, MN",0.4329
"cty31089","Holt County, NE",0.4327
"cty53043","Lincoln County, WA",0.4325
"cty31033","Cheyenne County, NE",0.4322
"cty31013","Box Butte County, NE",0.4321
"cty22089","St. Charles Parish, LA",0.4316
"cty22033","East Baton Rouge Parish, LA",0.4315
"cty51840","Winchester city, VA",0.4315
"cty19153","Polk County, IA",0.4311
"cty20177","Shawnee County, KS",0.4307
"cty37043","Clay County, NC",0.4305
"cty17169","Schuyler County, IL",0.4298
"cty31109","Lancaster County, NE",0.4297
"cty24009","Calvert County, MD",0.4297
"cty24003","Anne Arundel County, MD",0.429
"cty13029","Bryan County, GA",0.4288
"cty48121","Denton County, TX",0.4284
"cty38045","LaMoure County, ND",0.4284
"cty38075","Renville County, ND",0.4284
"cty31081","Hamilton County, NE",0.4282
"cty54055","Mercer County, WV",0.4281
"cty31045","Dawes County, NE",0.4277
"cty20105","Lincoln County, KS",0.4276
"cty42089","Monroe County, PA",0.4275
"cty29005","Atchison County, MO",0.4273
"cty13281","Towns County, GA",0.4271
"cty17093","Kendall County, IL",0.4271
"cty06057","Nevada County, CA",0.4266
"cty12085","Martin County, FL",0.4265
"cty33001","Belknap County, NH",0.4265
"cty19101","Jefferson County, IA",0.4257
"cty18173","Warrick County, IN",0.4256
"cty30043","Jefferson County, MT",0.4256
"cty26065","Ingham County, MI",0.4254
"cty42019","Butler County, PA",0.425
"cty19141","O'Brien County, IA",0.425
"cty38035","Grand Forks County, ND",0.4246
"cty42063","Indiana County, PA",0.4241
"cty01081","Lee County, AL",0.424
"cty44007","Providence County, RI",0.4239
"cty42103","Pike County, PA",0.4238
"cty19075","Grundy County, IA",0.4237
"cty26111","Midland County, MI",0.4236
"cty21073","Franklin County, KY",0.4236
"cty39153","Summit County, OH",0.4235
"cty19189","Winnebago County, IA",0.4234
"cty26089","Leelanau County, MI",0.4232
"cty31119","Madison County, NE",0.4232
"cty53037","Kittitas County, WA",0.4232
"cty48339","Montgomery County, TX",0.423
"cty31153","Sarpy County, NE",0.423
"cty46013","Brown County, SD",0.4228
"cty25005","Bristol County, MA",0.4227
"cty54039","Kanawha County, WV",0.4226
"cty36039","Greene County, NY",0.4225
"cty31039","Cuming County, NE",0.4225
"cty27019","Carver County, MN",0.4219
"cty20201","Washington County, KS",0.4217
"cty39063","Hancock County, OH",0.4216
"cty18059","Hancock County, IN",0.4215
"cty38019","Cavalier County, ND",0.4212
"cty17085","Jo Daviess County, IL",0.4209
"cty54049","Marion County, WV",0.4208
"cty54083","Randolph County, WV",0.4204
"cty33005","Cheshire County, NH",0.4188
"cty51179","Stafford County, VA",0.4182
"cty19041","Clay County, IA",0.4181
"cty19113","Linn County, IA",0.4179
"cty54029","Hancock County, WV",0.4178
"cty48171","Gillespie County, TX",0.4178
"cty42049","Erie County, PA",0.4173
"cty46091","Marshall County, SD",0.4173
"cty41005","Clackamas County, OR",0.4171
"cty27139","Scott County, MN",0.4167
"cty51147","Prince Edward County, VA",0.4166
"cty55087","Outagamie County, WI",0.4165
"cty18037","Dubois County, IN",0.4165
"cty51061","Fauquier County, VA",0.4165
"cty25025","Suffolk County, MA",0.4164
"cty39057","Greene County, OH",0.4163
"cty13117","Forsyth County, GA",0.4162
"cty30073","Pondera County, MT",0.4161
"cty31019","Buffalo County, NE",0.416
"cty19037","Chickasaw County, IA",0.4158
"cty20083","Hodgeman County, KS",0.4158
"cty46099","Minnehaha County, SD",0.4156
"cty31035","Clay County, NE",0.4156
"cty55131","Washington County, WI",0.4156
"cty46079","Lake County, SD",0.4155
"cty19059","Dickinson County, IA",0.4155
"cty19073","Greene County, IA",0.4152
"cty10003","New Castle County, DE",0.4151
"cty19049","Dallas County, IA",0.4151
"cty26103","Marquette County, MI",0.415
"cty38055","McLean County, ND",0.4148
"cty42007","Beaver County, PA",0.4147
"cty19081","Hancock County, IA",0.4145
"cty54081","Raleigh County, WV",0.4145
"cty21111","Jefferson County, KY",0.4144
"cty13109","Evans County, GA",0.4143
"cty30061","Mineral County, MT",0.4142
"cty31027","Cedar County, NE",0.4142
"cty27083","Lyon County, MN",0.4141
"cty36077","Otsego County, NY",0.4138
"cty40103","Noble County, OK",0.4136
"cty20141","Osborne County, KS",0.4136
"cty42073","Lawrence County, PA",0.4136
"cty19027","Carroll County, IA",0.4135
"cty24041","Talbot County, MD",0.4133
"cty20011","Bourbon County, KS",0.4131
"cty31183","Wheeler County, NE",0.4131
"cty26077","Kalamazoo County, MI",0.4128
"cty19009","Audubon County, IA",0.4128
"cty37081","Guilford County, NC",0.4126
"cty17079","Jasper County, IL",0.4126
"cty55035","Eau Claire County, WI",0.4123
"cty08019","Clear Creek County, CO",0.4122
"cty31099","Kearney County, NE",0.4122
"cty06113","Yolo County, CA",0.4121
"cty42041","Cumberland County, PA",0.4121
"cty20037","Crawford County, KS",0.412
"cty23031","York County, ME",0.4119
"cty17027","Clinton County, IL",0.4118
"cty20119","Meade County, KS",0.4116
"cty18127","Porter County, IN",0.4115
"cty34017","Hudson County, NJ",0.4113
"cty17167","Sangamon County, IL",0.4106
"cty39173","Wood County, OH",0.4104
"cty20113","McPherson County, KS",0.4104
"cty27043","Faribault County, MN",0.4103
"cty30071","Phillips County, MT",0.4102
"cty45063","Lexington County, SC",0.41
"cty22055","Lafayette Parish, LA",0.4095
"cty17189","Washington County, IL",0.4095
"cty46059","Hand County, SD",0.4093
"cty38029","Emmons County, ND",0.4091
"cty28105","Oktibbeha County, MS",0.4091
"cty47093","Knox County, TN",0.409
"cty45079","Richland County, SC",0.4089
"cty08021","Conejos County, CO",0.4086
"cty26061","Houghton County, MI",0.4086
"cty27149","Stevens County, MN",0.4082
"cty38093","Stutsman County, ND",0.4081
"cty27133","Rock County, MN",0.408
"cty18081","Johnson County, IN",0.408
"cty46087","McCook County, SD",0.4079
"cty51570","Colonial Heights city, VA",0.4076
"cty26081","Kent County, MI",0.4073
"cty36063","Niagara County, NY",0.4073
"cty42011","Berks County, PA",0.4073
"cty08095","Phillips County, CO",0.4072
"cty06061","Placer County, CA",0.4071
"cty49021","Iron County, UT",0.4069
"cty54051","Marshall County, WV",0.4069
"cty26037","Clinton County, MI",0.4066
"cty01089","Madison County, AL",0.406
"cty37089","Henderson County, NC",0.4056
"cty19079","Hamilton County, IA",0.4055
"cty19109","Kossuth County, IA",0.4054
"cty27027","Clay County, MN",0.4052
"cty38089","Stark County, ND",0.4052
"cty48023","Baylor County, TX",0.4051
"cty19021","Buena Vista County, IA",0.405
"cty53055","San Juan County, WA",0.4047
"cty30083","Richland County, MT",0.4046
"cty21145","McCracken County, KY",0.4043
"cty17185","Wabash County, IL",0.4042
"cty05019","Clark County, AR",0.4041
"cty46015","Brule County, SD",0.4041
"cty45045","Greenville County, SC",0.4038
"cty46127","Union County, SD",0.4037
"cty19013","Black Hawk County, IA",0.4036
"cty55009","Brown County, WI",0.4033
"cty19119","Lyon County, IA",0.4029
"cty19143","Osceola County, IA",0.4025
"cty21015","Boone County, KY",0.4025
"cty02110","Juneau City and Borough, AK",0.4023
"cty19033","Cerro Gordo County, IA",0.4023
"cty19083","Hardin County, IA",0.4022
"cty39049","Franklin County, OH",0.402
"cty48041","Brazos County, TX",0.402
"cty38059","Morton County, ND",0.4019
"cty39011","Auglaize County, OH",0.4019
"cty48381","Randall County, TX",0.4016
"cty31127","Nemaha County, NE",0.4015
"cty54079","Putnam County, WV",0.401
"cty20169","Saline County, KS",0.4008
"cty38101","Ward County, ND",0.4005
"cty38057","Mercer County, ND",0.4004
"cty30001","Beaverhead County, MT",0.4004
"cty54011","Cabell County, WV",0.4002
"cty19045","Clinton County, IA",0.3999
"cty36053","Madison County, NY",0.3997
"cty38047","Logan County, ND",0.3996
"cty19031","Cedar County, IA",0.3995
"cty46019","Butte County, SD",0.3994
"cty19167","Sioux County, IA",0.3993
"cty18005","Bartholomew County, IN",0.3993
"cty48491","Williamson County, TX",0.3992
"cty30027","Fergus County, MT",0.3992
"cty36019","Clinton County, NY",0.3992
"cty48453","Travis County, TX",0.399
"cty37059","Davie County, NC",0.3989
"cty51680","Lynchburg city, VA",0.3989
"cty19089","Howard County, IA",0.3985
"cty20085","Jackson County, KS",0.3984
"cty55029","Door County, WI",0.3984
"cty39017","Butler County, OH",0.398
"cty42127","Wayne County, PA",0.398
"cty27129","Renville County, MN",0.398
"cty17187","Warren County, IL",0.398
"cty36117","Wayne County, NY",0.3978
"cty24047","Worcester County, MD",0.3977
"cty50021","Rutland County, VT",0.3976
"cty19065","Fayette County, IA",0.3976
"cty46083","Lincoln County, SD",0.3972
"cty28073","Lamar County, MS",0.3968
"cty34033","Salem County, NJ",0.3967
"cty51810","Virginia Beach city, VA",0.3964
"cty18105","Monroe County, IN",0.3963
"cty17131","Mercer County, IL",0.3961
"cty09015","Windham County, CT",0.396
"cty15003","Honolulu County, HI",0.3959
"cty51683","Manassas city, VA",0.3959
"cty47163","Sullivan County, TN",0.3959
"cty17143","Peoria County, IL",0.3958
"cty27167","Wilkin County, MN",0.3958
"cty18141","St. Joseph County, IN",0.3957
"cty56019","Johnson County, WY",0.3956
"cty17049","Effingham County, IL",0.3955
"cty53067","Thurston County, WA",0.395
"cty13089","DeKalb County, GA",0.3948
"cty46089","McPherson County, SD",0.3948
"cty55063","La Crosse County, WI",0.3947
"cty13057","Cherokee County, GA",0.3947
"cty26139","Ottawa County, MI",0.3947
"cty38095","Towner County, ND",0.3947
"cty54033","Harrison County, WV",0.3947
"cty26099","Macomb County, MI",0.3946
"cty42021","Cambria County, PA",0.3946
"cty51630","Fredericksburg city, VA",0.3944
"cty31105","Kimball County, NE",0.3944
"cty48205","Hartley County, TX",0.3943
"cty31011","Boone County, NE",0.3941
"cty31065","Furnas County, NE",0.3941
"cty31177","Washington County, NE",0.394
"cty20167","Russell County, KS",0.394
"cty37021","Buncombe County, NC",0.3938
"cty28071","Lafayette County, MS",0.3938
"cty20029","Cloud County, KS",0.3937
"cty36021","Columbia County, NY",0.3937
"cty31161","Sheridan County, NE",0.3935
"cty17077","Jackson County, IL",0.3935
"cty46125","Turner County, SD",0.3934
"cty12011","Broward County, FL",0.3933
"cty06097","Sonoma County, CA",0.3933
"cty41027","Hood River County, OR",0.3933
"cty31173","Thurston County, NE",0.3931
"cty20047","Edwards County, KS",0.3927
"cty19157","Poweshiek County, IA",0.3925
"cty08067","La Plata County, CO",0.3924
"cty22051","Jefferson Parish, LA",0.3923
"cty17037","DeKalb County, IL",0.3923
"cty21227","Warren County, KY",0.3922
"cty06017","El Dorado County, CA",0.3921
"cty18043","Floyd County, IN",0.392
"cty17103","Lee County, IL",0.3918
"cty26043","Dickinson County, MI",0.3913
"cty27015","Brown County, MN",0.3911
"cty36043","Herkimer County, NY",0.391
"cty37147","Pitt County, NC",0.3907
"cty30111","Yellowstone County, MT",0.3906
"cty35013","Doña Ana County, NM",0.3906
"cty38073","Ransom County, ND",0.3904
"cty21117","Kenton County, KY",0.3903
"cty16001","Ada County, ID",0.3902
"cty55073","Marathon County, WI",0.3901
"cty17123","Marshall County, IL",0.39
"cty18003","Allen County, IN",0.3899
"cty48195","Hansford County, TX",0.3897
"cty41015","Curry County, OR",0.3892
"cty27147","Steele County, MN",0.3892
"cty19025","Calhoun County, IA",0.3892
"cty36037","Genesee County, NY",0.3888
"cty54073","Pleasants County, WV",0.3888
"cty48091","Comal County, TX",0.3883
"cty19135","Monroe County, IA",0.3881
"cty06087","Santa Cruz County, CA",0.388
"cty17179","Tazewell County, IL",0.388
"cty42093","Montour County, PA",0.3879
"cty50003","Bennington County, VT",0.3871
"cty29147","Nodaway County, MO",0.387
"cty47065","Hamilton County, TN",0.3869
"cty36047","Kings County, NY",0.3868
"cty56033","Sheridan County, WY",0.3868
"cty48175","Goliad County, TX",0.3866
"cty06111","Ventura County, CA",0.3865
"cty20143","Ottawa County, KS",0.3865
"cty31041","Custer County, NE",0.3865
"cty48477","Washington County, TX",0.3864
"cty21037","Campbell County, KY",0.3864
"cty46081","Lawrence County, SD",0.3863
"cty40045","Ellis County, OK",0.3861
"cty37055","Dare County, NC",0.386
"cty13247","Rockdale County, GA",0.3858
"cty18129","Posey County, IN",0.3858
"cty30013","Cascade County, MT",0.3857
"cty51023","Botetourt County, VA",0.3856
"cty29041","Chariton County, MO",0.3854
"cty51019","Bedford County, VA",0.3853
"cty12115","Sarasota County, FL",0.3852
"cty37037","Chatham County, NC",0.385
"cty34001","Atlantic County, NJ",0.3848
"cty08115","Sedgwick County, CO",0.3847
"cty19151","Pocahontas County, IA",0.3846
"cty28121","Rankin County, MS",0.3841
"cty31051","Dixon County, NE",0.384
"cty55117","Sheboygan County, WI",0.3839
"cty39133","Portage County, OH",0.3837
"cty37121","Mitchell County, NC",0.3837
"cty38021","Dickey County, ND",0.3837
"cty48209","Hays County, TX",0.3836
"cty41063","Wallowa County, OR",0.3836
"cty20145","Pawnee County, KS",0.3834
"cty39137","Putnam County, OH",0.3834
"cty06055","Napa County, CA",0.3832
"cty27039","Dodge County, MN",0.3827
"cty48501","Yoakum County, TX",0.3827
"cty29135","Moniteau County, MO",0.3826
"cty50001","Addison County, VT",0.3826
"cty49005","Cache County, UT",0.3825
"cty40147","Washington County, OK",0.3824
"cty12099","Palm Beach County, FL",0.3823
"cty39043","Erie County, OH",0.3822
"cty48333","Mills County, TX",0.3821
"cty50005","Caledonia County, VT",0.3817
"cty01077","Lauderdale County, AL",0.3814
"cty54097","Upshur County, WV",0.3813
"cty22107","Tensas Parish, LA",0.3812
"cty21205","Rowan County, KY",0.3812
"cty19125","Marion County, IA",0.3811
"cty48015","Austin County, TX",0.381
"cty42043","Dauphin County, PA",0.3808
"cty31001","Adams County, NE",0.3807
"cty17171","Scott County, IL",0.3807
"cty06083","Santa Barbara County, CA",0.3806
"cty40007","Beaver County, OK",0.3805
"cty20095","Kingman County, KS",0.3805
"cty19105","Jones County, IA",0.3804
"cty39151","Stark County, OH",0.3801
"cty31141","Platte County, NE",0.3801
"cty40119","Payne County, OK",0.3799
"cty49011","Davis County, UT",0.3799
"cty23011","Kennebec County, ME",0.3795
"cty24037","St. Mary's County, MD",0.3795
"cty40151","Woods County, OK",0.3794
"cty29117","Livingston County, MO",0.3794
