"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty15005","Kalawao County, HI",64807
"cty13077","Coweta County, GA",64777
"cty39025","Clermont County, OH",64744
"cty39045","Fairfield County, OH",64713
"cty38013","Burke County, ND",64705
"cty56023","Lincoln County, WY",64693
"cty32029","Storey County, NV",64692
"cty18081","Johnson County, IN",64655
"cty29037","Cass County, MO",64638
"cty53005","Benton County, WA",64581
"cty31025","Cass County, NE",64365
"cty53067","Thurston County, WA",64268
"cty48011","Armstrong County, TX",64190
"cty47189","Wilson County, TN",64178
"cty42095","Northampton County, PA",64142
"cty02230","Skagway Municipality, AK",64045
"cty06079","San Luis Obispo County, CA",64019
"cty08123","Weld County, CO",64009
"cty36001","Albany County, NY",63968
"cty48065","Carson County, TX",63900
"cty08069","Larimer County, CO",63875
"cty56011","Crook County, WY",63863
"cty48205","Hartley County, TX",63809
"cty19153","Polk County, IA",63759
"cty34017","Hudson County, NJ",63701
"cty49045","Tooele County, UT",63693
"cty39017","Butler County, OH",63684
"cty19167","Sioux County, IA",63655
"cty51101","King William County, VA",63641
"cty27079","Le Sueur County, MN",63564
"cty48317","Martin County, TX",63556
"cty51137","Orange County, VA",63537
"cty50013","Grand Isle County, VT",63524
"cty48381","Randall County, TX",63492
"cty51023","Botetourt County, VA",63469
"cty17027","Clinton County, IL",63415
"cty19017","Bremer County, IA",63372
"cty51079","Greene County, VA",63343
"cty48235","Irion County, TX",63301
"cty48257","Kaufman County, TX",63294
"cty46127","Union County, SD",63282
"cty53053","Pierce County, WA",63265
"cty17007","Boone County, IL",63240
"cty26037","Clinton County, MI",63235
"cty55093","Pierce County, WI",63209
"cty36083","Rensselaer County, NY",63207
"cty02195","Copper River Census Area, AK",71701
"cty19113","Linn County, IA",63079
"cty08001","Adams County, CO",63038
"cty48209","Hays County, TX",62952
"cty31155","Saunders County, NE",62896
"cty51161","Roanoke County, VA",62828
"cty06053","Monterey County, CA",62801
"cty13223","Paulding County, GA",62785
"cty38101","Ward County, ND",62772
"cty37025","Cabarrus County, NC",62741
"cty18173","Warrick County, IN",62665
"cty51073","Gloucester County, VA",62661
"cty32005","Douglas County, NV",62624
"cty25007","Dukes County, MA",62600
"cty31159","Seward County, NE",62532
