"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty42009","Bedford County, PA",46997
"cty13207","Monroe County, GA",46979
"cty18169","Wabash County, IN",46976
"cty31107","Knox County, NE",46971
"cty31157","Scotts Bluff County, NE",46970
"cty31061","Franklin County, NE",46966
"cty18021","Clay County, IN",46966
"cty45055","Kershaw County, SC",46963
"cty51009","Amherst County, VA",46961
"cty41065","Wasco County, OR",46950
"cty20057","Ford County, KS",46948
"cty48465","Val Verde County, TX",46942
"cty17199","Williamson County, IL",46939
"cty28039","George County, MS",46939
"cty37149","Polk County, NC",46934
"cty53009","Clallam County, WA",46912
"cty41031","Jefferson County, OR",46909
"cty51031","Campbell County, VA",46900
"cty56043","Washakie County, WY",46898
"cty30101","Toole County, MT",46891
"cty31183","Wheeler County, NE",46861
"cty40019","Carter County, OK",46853
"cty05031","Craighead County, AR",46843
"cty20185","Stafford County, KS",46841
"cty26163","Wayne County, MI",46831
"cty19069","Franklin County, IA",46831
"cty40037","Creek County, OK",46828
"cty55037","Florence County, WI",46827
"cty48499","Wood County, TX",46813
"cty48231","Hunt County, TX",46808
"cty18095","Madison County, IN",46801
"cty24023","Garrett County, MD",46790
"cty41029","Jackson County, OR",46765
"cty20155","Reno County, KS",46763
"cty39037","Darke County, OH",46758
"cty01103","Morgan County, AL",46749
"cty13053","Chattahoochee County, GA",46734
"cty28045","Hancock County, MS",46726
"cty32001","Churchill County, NV",46718
"cty54033","Harrison County, WV",46716
"cty20159","Rice County, KS",46713
"cty19073","Greene County, IA",46674
"cty30057","Madison County, MT",46664
"cty51057","Essex County, VA",46663
"cty55057","Juneau County, WI",46598
"cty37035","Catawba County, NC",46586
"cty42073","Lawrence County, PA",46584
"cty37141","Pender County, NC",46571
"cty37051","Cumberland County, NC",46564
"cty37133","Onslow County, NC",46545
"cty55119","Taylor County, WI",46542
"cty29029","Camden County, MO",46538
"cty12097","Osceola County, FL",46522
"cty48255","Karnes County, TX",46511
"cty39003","Allen County, OH",46507
"cty36017","Chenango County, NY",46504
"cty40081","Lincoln County, OK",46501
"cty16067","Minidoka County, ID",46471
"cty31147","Richardson County, NE",46464
"cty01081","Lee County, AL",46456
"cty46129","Walworth County, SD",46446
"cty20135","Ness County, KS",46440
"cty45083","Spartanburg County, SC",46436
"cty48117","Deaf Smith County, TX",46434
"cty48245","Jefferson County, TX",46429
"cty20201","Washington County, KS",46424
"cty23019","Penobscot County, ME",46422
"cty20071","Greeley County, KS",46414
"cty30011","Carter County, MT",46400
"cty08115","Sedgwick County, CO",46392
"cty48203","Harrison County, TX",46348
"cty55019","Clark County, WI",46339
"cty17071","Henderson County, IL",46335
"cty19151","Pocahontas County, IA",46328
"cty22045","Iberia Parish, LA",46326
"cty20147","Phillips County, KS",46325
"cty36035","Fulton County, NY",46324
"cty40011","Blaine County, OK",46287
"cty16031","Cassia County, ID",46264
"cty20163","Rooks County, KS",46255
"cty21143","Lyon County, KY",46238
"cty41061","Union County, OR",46211
"cty48289","Leon County, TX",46211
"cty13191","McIntosh County, GA",46205
"cty19177","Van Buren County, IA",46193
"cty06007","Butte County, CA",46184
"cty46035","Davison County, SD",46165
"cty06047","Merced County, CA",46158
"cty08095","Phillips County, CO",46157
"cty20077","Harper County, KS",46136
"cty48223","Hopkins County, TX",46134
"cty37105","Lee County, NC",46108
"cty39023","Clark County, OH",46107
"cty45057","Lancaster County, SC",46096
"cty31041","Custer County, NE",46094
"cty42085","Mercer County, PA",46091
"cty19067","Floyd County, IA",46088
"cty31165","Sioux County, NE",46086
"cty04003","Cochise County, AZ",46071
"cty13045","Carroll County, GA",46071
"cty51021","Bland County, VA",46063
"cty48035","Bosque County, TX",46059
"cty48467","Van Zandt County, TX",46056
"cty55137","Waushara County, WI",46056
"cty18065","Henry County, IN",46053
"cty16039","Elmore County, ID",46039
"cty30051","Liberty County, MT",46016
"cty40065","Jackson County, OK",46009
"cty26017","Bay County, MI",46009
"cty31175","Valley County, NE",46008
"cty17177","Stephenson County, IL",46005
"cty04009","Graham County, AZ",46003
"cty21081","Grant County, KY",45999
"cty48253","Jones County, TX",45998
"cty17191","Wayne County, IL",45975
"cty21079","Garrard County, KY",45963
"cty37071","Gaston County, NC",45955
"cty04025","Yavapai County, AZ",45950
"cty28137","Tate County, MS",45950
"cty47113","Madison County, TN",45947
"cty31003","Antelope County, NE",45940
"cty48177","Gonzales County, TX",45936
"cty20005","Atchison County, KS",45931
"cty54049","Marion County, WV",45926
"cty13237","Putnam County, GA",45908
"cty19197","Wright County, IA",45895
"cty40113","Osage County, OK",45889
"cty21223","Trimble County, KY",45880
"cty17171","Scott County, IL",45868
"cty19057","Des Moines County, IA",45857
"cty53037","Kittitas County, WA",45853
"cty29089","Howard County, MO",45852
"cty40121","Pittsburg County, OK",45840
"cty53077","Yakima County, WA",45834
"cty26103","Marquette County, MI",45815
"cty13115","Floyd County, GA",45811
"cty51005","Alleghany County, VA",45801
"cty01009","Blount County, AL",45784
"cty06039","Madera County, CA",45750
"cty20063","Gove County, KS",45737
"cty31163","Sherman County, NE",45722
"cty26049","Genesee County, MI",45721
"cty42005","Armstrong County, PA",45719
"cty21089","Greenup County, KY",45718
"cty42035","Clinton County, PA",45709
"cty39029","Columbiana County, OH",45709
"cty17185","Wabash County, IL",45677
"cty39013","Belmont County, OH",45671
"cty22099","St. Martin Parish, LA",45671
"cty05105","Perry County, AR",45656
"cty56017","Hot Springs County, WY",45632
"cty47153","Sequatchie County, TN",45628
"cty18083","Knox County, IN",45612
"cty20009","Barton County, KS",45607
"cty08121","Washington County, CO",45603
"cty48429","Stephens County, TX",45590
"cty48161","Freestone County, TX",45586
"cty37139","Pasquotank County, NC",45569
"cty17025","Clay County, IL",45560
"cty16007","Bear Lake County, ID",45555
"cty42111","Somerset County, PA",45539
"cty53065","Stevens County, WA",45538
"cty54009","Brooke County, WV",45530
"cty17193","White County, IL",45521
"cty36089","St. Lawrence County, NY",45512
"cty47117","Marshall County, TN",45500
"cty19173","Taylor County, IA",45498
"cty17045","Edgar County, IL",45498
"cty39141","Ross County, OH",45497
"cty12131","Walton County, FL",45497
"cty08101","Pueblo County, CO",45487
"cty53041","Lewis County, WA",45485
"cty48265","Kerr County, TX",45485
"cty20023","Cheyenne County, KS",45484
"cty12111","St. Lucie County, FL",45483
"cty16083","Twin Falls County, ID",45481
"cty16077","Power County, ID",45481
"cty12105","Polk County, FL",45466
"cty48037","Bowie County, TX",45459
"cty26145","Saginaw County, MI",45454
"cty26149","St. Joseph County, MI",45448
"cty51191","Washington County, VA",45448
"cty17181","Union County, IL",45439
"cty18119","Owen County, IN",45437
"cty38037","Grant County, ND",45405
"cty48449","Titus County, TX",45398
"cty29053","Cooper County, MO",45393
"cty29077","Greene County, MO",45381
"cty13133","Greene County, GA",45371
"cty18055","Greene County, IN",45355
"cty17159","Richland County, IL",45353
"cty53001","Adams County, WA",45349
"cty40117","Pawnee County, OK",45346
"cty18105","Monroe County, IN",45337
"cty17057","Fulton County, IL",45325
"cty20181","Sherman County, KS",45319
"cty42039","Crawford County, PA",45311
"cty01097","Mobile County, AL",45304
"cty37057","Davidson County, NC",45295
"cty19107","Keokuk County, IA",45286
"cty46105","Perkins County, SD",45284
"cty13195","Madison County, GA",45283
"cty54077","Preston County, WV",45282
"cty26023","Branch County, MI",45240
"cty20199","Wallace County, KS",45233
"cty46021","Campbell County, SD",45229
"cty08007","Archuleta County, CO",45228
"cty13215","Muscogee County, GA",45226
"cty48089","Colorado County, TX",45216
"cty29127","Marion County, MO",45196
"cty18045","Fountain County, IN",45194
"cty39065","Hardin County, OH",45185
"cty12015","Charlotte County, FL",45184
"cty18049","Fulton County, IN",45178
"cty42021","Cambria County, PA",45174
"cty18175","Washington County, IN",45173
"cty26025","Calhoun County, MI",45163
"cty53027","Grays Harbor County, WA",45145
"cty27115","Pine County, MN",45110
"cty19029","Cass County, IA",45088
"cty48075","Childress County, TX",45077
"cty19185","Wayne County, IA",45077
"cty21167","Mercer County, KY",45062
"cty31075","Grant County, NE",45057
"cty39167","Washington County, OH",45053
"cty47031","Coffee County, TN",45052
"cty48077","Clay County, TX",45050
"cty29073","Gasconade County, MO",45047
"cty29045","Clark County, MO",45046
"cty29117","Livingston County, MO",45033
"cty48337","Montague County, TX",45031
"cty42013","Blair County, PA",45015
"cty48363","Palo Pinto County, TX",44992
"cty48147","Fannin County, TX",44990
"cty08085","Montrose County, CO",44976
"cty42061","Huntingdon County, PA",44949
"cty18103","Miami County, IN",44948
"cty49017","Garfield County, UT",44940
"cty17187","Warren County, IL",44939
"cty51660","Harrisonburg city, VA",44936
"cty31169","Thayer County, NE",44931
"cty54107","Wood County, WV",44927
"cty55023","Crawford County, WI",44927
"cty31145","Red Willow County, NE",44926
"cty47179","Washington County, TN",44923
"cty18161","Union County, IN",44923
"cty48249","Jim Wells County, TX",44922
"cty27029","Clearwater County, MN",44918
"cty36025","Delaware County, NY",44912
"cty47011","Bradley County, TN",44906
"cty38029","Emmons County, ND",44905
"cty51760","Richmond city, VA",44899
"cty21017","Bourbon County, KY",44897
"cty45007","Anderson County, SC",44886
"cty19009","Audubon County, IA",44883
"cty39155","Trumbull County, OH",44880
"cty13007","Baker County, GA",44871
"cty47001","Anderson County, TN",44860
"cty40125","Pottawatomie County, OK",44839
"cty22087","St. Bernard Parish, LA",44834
"cty48461","Upton County, TX",44822
"cty21157","Marshall County, KY",44812
"cty29145","Newton County, MO",44809
"cty54073","Pleasants County, WV",44805
"cty06025","Imperial County, CA",44801
"cty45041","Florence County, SC",44784
"cty30045","Judith Basin County, MT",44782
"cty27071","Koochiching County, MN",44779
"cty54091","Taylor County, WV",44777
"cty35009","Curry County, NM",44773
"cty21151","Madison County, KY",44762
"cty05055","Greene County, AR",44758
"cty40137","Stephens County, OK",44738
"cty13049","Charlton County, GA",44727
"cty20035","Cowley County, KS",44719
"cty48407","San Jacinto County, TX",44719
"cty37001","Alamance County, NC",44702
"cty21019","Boyd County, KY",44695
"cty31095","Jefferson County, NE",44675
"cty31071","Garfield County, NE",44664
"cty20013","Brown County, KS",44662
"cty38069","Pierce County, ND",44656
"cty42037","Columbia County, PA",44644
"cty32027","Pershing County, NV",44629
"cty37069","Franklin County, NC",44622
"cty42113","Sullivan County, PA",44611
"cty30041","Hill County, MT",44593
"cty20107","Linn County, KS",44592
"cty40123","Pontotoc County, OK",44579
"cty48189","Hale County, TX",44568
"cty39171","Williams County, OH",44568
"cty16027","Canyon County, ID",44565
"cty01077","Lauderdale County, AL",44543
"cty19111","Lee County, IA",44542
"cty19145","Page County, IA",44537
"cty17081","Jefferson County, IL",44529
"cty18165","Vermillion County, IN",44514
"cty27007","Beltrami County, MN",44512
"cty46047","Fall River County, SD",44500
"cty08057","Jackson County, CO",44492
"cty29025","Caldwell County, MO",44467
"cty29097","Jasper County, MO",44453
"cty46007","Bennett County, SD",44440
"cty21221","Trigg County, KY",44440
"cty17121","Marion County, IL",44432
"cty51017","Bath County, VA",44425
"cty29227","Worth County, MO",44414
"cty19101","Jefferson County, IA",44400
"cty47089","Jefferson County, TN",44390
"cty54069","Ohio County, WV",44379
"cty39101","Marion County, OH",44369
"cty17051","Fayette County, IL",44362
"cty29225","Webster County, MO",44354
"cty42083","McKean County, PA",44353
"cty23027","Waldo County, ME",44351
"cty45077","Pickens County, SC",44347
"cty21145","McCracken County, KY",44340
"cty20097","Kiowa County, KS",44337
"cty22071","Orleans Parish, LA",44329
"cty37147","Pitt County, NC",44325
"cty37127","Nash County, NC",44321
"cty39031","Coshocton County, OH",44319
"cty51091","Highland County, VA",44318
"cty21107","Hopkins County, KY",44295
"cty48457","Tyler County, TX",44293
"cty54051","Marshall County, WV",44287
"cty37159","Rowan County, NC",44285
"cty21033","Caldwell County, KY",44256
"cty39099","Mahoning County, OH",44255
"cty51790","Staunton city, VA",44245
"cty37137","Pamlico County, NC",44242
"cty28131","Stone County, MS",44231
"cty39073","Hocking County, OH",44230
"cty56015","Goshen County, WY",44230
"cty30067","Park County, MT",44228
"cty16075","Payette County, ID",44226
"cty21101","Henderson County, KY",44219
"cty20145","Pawnee County, KS",44215
"cty40025","Cimarron County, OK",44204
"cty17035","Cumberland County, IL",44197
"cty05059","Hot Spring County, AR",44184
"cty18131","Pulaski County, IN",44167
"cty51159","Richmond County, VA",44164
"cty39127","Perry County, OH",44161
"cty33007","Coos County, NH",44160
"cty26121","Muskegon County, MI",44153
"cty08071","Las Animas County, CO",44147
"cty36009","Cattaraugus County, NY",44133
"cty06107","Tulare County, CA",44133
"cty16053","Jerome County, ID",44132
"cty28047","Harrison County, MS",44123
"cty29163","Pike County, MO",44123
"cty48005","Angelina County, TX",44105
"cty20183","Smith County, KS",44097
"cty30079","Prairie County, MT",44087
"cty36057","Montgomery County, NY",44086
"cty01033","Colbert County, AL",44079
"cty31083","Harlan County, NE",44074
"cty06045","Mendocino County, CA",44070
"cty48111","Dallam County, TX",44069
"cty17135","Montgomery County, IL",44055
"cty31085","Hayes County, NE",44046
"cty36013","Chautauqua County, NY",44040
"cty16015","Boise County, ID",44035
"cty31057","Dundy County, NE",44028
"cty47159","Smith County, TN",44017
"cty20187","Stanton County, KS",44012
"cty46085","Lyman County, SD",44009
"cty47145","Roane County, TN",43997
"cty51139","Page County, VA",43989
"cty37087","Haywood County, NC",43986
"cty45051","Horry County, SC",43984
"cty36003","Allegany County, NY",43984
"cty55075","Marinette County, WI",43956
"cty05035","Crittenden County, AR",43955
"cty16063","Lincoln County, ID",43946
"cty22105","Tangipahoa Parish, LA",43946
"cty55129","Washburn County, WI",43943
"cty48333","Mills County, TX",43941
"cty39139","Richland County, OH",43910
"cty48141","El Paso County, TX",43893
"cty42121","Venango County, PA",43889
"cty42097","Northumberland County, PA",43887
"cty51029","Buckingham County, VA",43883
"cty51820","Waynesboro city, VA",43865
"cty17183","Vermilion County, IL",43836
"cty17125","Mason County, IL",43815
"cty48313","Madison County, TX",43813
"cty01045","Dale County, AL",43808
"cty37167","Stanly County, NC",43804
"cty49021","Iron County, UT",43795
"cty37093","Hoke County, NC",43793
"cty26157","Tuscola County, MI",43779
"cty48115","Dawson County, TX",43775
"cty48487","Wilbarger County, TX",43768
"cty47051","Franklin County, TN",43757
"cty17101","Lawrence County, IL",43752
"cty37175","Transylvania County, NC",43747
"cty08075","Logan County, CO",43723
"cty53051","Pend Oreille County, WA",43720
"cty04027","Yuma County, AZ",43715
"cty13083","Dade County, GA",43711
"cty12127","Volusia County, FL",43705
"cty29111","Lewis County, MO",43705
"cty18121","Parke County, IN",43705
"cty27001","Aitkin County, MN",43701
"cty50019","Orleans County, VT",43670
"cty42063","Indiana County, PA",43667
"cty30027","Fergus County, MT",43647
"cty08063","Kit Carson County, CO",43628
"cty39067","Harrison County, OH",43614
"cty13179","Liberty County, GA",43612
"cty29075","Gentry County, MO",43602
"cty55067","Langlade County, WI",43594
"cty08043","Fremont County, CO",43589
"cty54065","Morgan County, WV",43568
"cty47155","Sevier County, TN",43562
"cty41057","Tillamook County, OR",43561
"cty42123","Warren County, PA",43560
"cty19025","Calhoun County, IA",43554
"cty20129","Morton County, KS",43551
"cty21027","Breckinridge County, KY",43550
"cty17145","Perry County, IL",43532
"cty26123","Newaygo County, MI",43532
"cty26105","Mason County, MI",43525
"cty37151","Randolph County, NC",43511
"cty22017","Caddo Parish, LA",43501
"cty48217","Hill County, TX",43473
"cty48153","Floyd County, TX",43467
"cty30037","Golden Valley County, MT",43452
"cty47003","Bedford County, TN",43448
"cty06091","Sierra County, CA",43436
"cty28081","Lee County, MS",43422
"cty13285","Troup County, GA",43416
"cty31123","Morrill County, NE",43395
"cty41035","Klamath County, OR",43390
"cty46019","Butte County, SD",43390
"cty21007","Ballard County, KY",43375
"cty29061","Daviess County, MO",43372
"cty13063","Clayton County, GA",43354
"cty28087","Lowndes County, MS",43354
"cty40071","Kay County, OK",43347
"cty13125","Glascock County, GA",43337
"cty54093","Tucker County, WV",43331
"cty20205","Wilson County, KS",43323
"cty26043","Dickinson County, MI",43319
"cty02164","Lake and Peninsula Borough, AK",43318
"cty42065","Jefferson County, PA",43311
"cty48375","Potter County, TX",43302
"cty32023","Nye County, NV",43295
"cty48159","Franklin County, TX",43289
"cty37143","Perquimans County, NC",43279
"cty21229","Washington County, KY",43262
"cty01069","Houston County, AL",43259
"cty45043","Georgetown County, SC",43242
"cty48389","Reeves County, TX",43224
"cty13221","Oglethorpe County, GA",43224
"cty48049","Brown County, TX",43187
"cty20133","Neosho County, KS",43169
"cty38051","McIntosh County, ND",43106
"cty39087","Lawrence County, OH",43105
"cty21187","Owen County, KY",43086
"cty29083","Henry County, MO",43082
"cty55099","Price County, WI",43074
"cty13123","Gilmer County, GA",43065
"cty51147","Prince Edward County, VA",43060
"cty31161","Sheridan County, NE",43052
"cty26063","Huron County, MI",43014
"cty29005","Atchison County, MO",43001
"cty20033","Comanche County, KS",43000
"cty18017","Cass County, IN",42999
"cty46049","Faulk County, SD",42987
"cty26059","Hillsdale County, MI",42978
"cty26041","Delta County, MI",42975
"cty40097","Mayes County, OK",42957
"cty35005","Chaves County, NM",42955
"cty21149","McLean County, KY",42946
"cty18153","Sullivan County, IN",42946
"cty48349","Navarro County, TX",42938
"cty16017","Bonner County, ID",42890
"cty40095","Marshall County, OK",42885
"cty22077","Pointe Coupee Parish, LA",42871
"cty19187","Webster County, IA",42849
"cty18149","Starke County, IN",42840
"cty06023","Humboldt County, CA",42832
"cty06015","Del Norte County, CA",42824
"cty18075","Jay County, IN",42806
"cty31103","Keya Paha County, NE",42793
"cty26057","Gratiot County, MI",42790
"cty12053","Hernando County, FL",42768
"cty23007","Franklin County, ME",42748
"cty47023","Chester County, TN",42725
"cty29007","Audrain County, MO",42708
"cty40101","Muskogee County, OK",42696
"cty17061","Greene County, IL",42691
"cty42033","Clearfield County, PA",42679
"cty20099","Labette County, KS",42678
"cty21041","Carroll County, KY",42659
"cty29013","Bates County, MO",42617
"cty21139","Livingston County, KY",42590
"cty32009","Esmeralda County, NV",42588
"cty37191","Wayne County, NC",42573
"cty12023","Columbia County, FL",42563
"cty28149","Warren County, MS",42560
"cty20065","Graham County, KS",42554
"cty13311","White County, GA",42554
"cty30003","Big Horn County, MT",42545
"cty31173","Thurston County, NE",42535
"cty48213","Henderson County, TX",42520
"cty49019","Grand County, UT",42517
"cty29199","Scotland County, MO",42513
"cty51143","Pittsylvania County, VA",42504
"cty41063","Wallowa County, OR",42501
"cty05145","White County, AR",42489
"cty41019","Douglas County, OR",42482
"cty56001","Albany County, WY",42481
"cty42087","Mifflin County, PA",42468
"cty29129","Mercer County, MO",42464
"cty23017","Oxford County, ME",42446
"cty47163","Sullivan County, TN",42442
"cty20025","Clark County, KS",42441
"cty47045","Dyer County, TN",42421
"cty55001","Adams County, WI",42420
"cty24001","Allegany County, MD",42409
"cty30077","Powell County, MT",42400
"cty22079","Rapides Parish, LA",42399
"cty26101","Manistee County, MI",42397
"cty05025","Cleveland County, AR",42392
"cty37003","Alexander County, NC",42383
"cty20209","Wyandotte County, KS",42378
"cty29175","Randolph County, MO",42376
"cty13143","Haralson County, GA",42376
"cty47175","Van Buren County, TN",42365
"cty16009","Benewah County, ID",42360
"cty39047","Fayette County, OH",42337
"cty26013","Baraga County, MI",42336
"cty55013","Burnett County, WI",42334
"cty13313","Whitfield County, GA",42324
"cty46023","Charles Mix County, SD",42299
"cty45073","Oconee County, SC",42288
"cty12007","Bradford County, FL",42273
"cty26117","Montcalm County, MI",42270
"cty51197","Wythe County, VA",42256
"cty48471","Walker County, TX",42253
"cty20011","Bourbon County, KS",42230
"cty26079","Kalkaska County, MI",42218
"cty13149","Heard County, GA",42215
"cty47115","Marion County, TN",42207
"cty18135","Randolph County, IN",42199
"cty39119","Muskingum County, OH",42188
"cty16025","Camas County, ID",42176
"cty48069","Castro County, TX",42175
"cty20111","Lyon County, KS",42160
"cty51680","Lynchburg city, VA",42147
"cty17165","Saline County, IL",42122
"cty39059","Guernsey County, OH",42114
"cty01055","Etowah County, AL",42111
"cty20003","Anderson County, KS",42087
"cty30033","Garfield County, MT",42083
"cty37169","Stokes County, NC",42079
"cty01021","Chilton County, AL",42070
"cty48193","Hamilton County, TX",42068
"cty20157","Republic County, KS",42056
"cty22085","Sabine Parish, LA",42048
"cty26109","Menominee County, MI",42044
"cty17127","Massac County, IL",42029
"cty08083","Montezuma County, CO",42019
"cty08125","Yuma County, CO",42003
"cty28109","Pearl River County, MS",41994
"cty13229","Pierce County, GA",41973
"cty30103","Treasure County, MT",41971
"cty45071","Newberry County, SC",41955
"cty01015","Calhoun County, AL",41945
"cty31015","Boyd County, NE",41934
"cty22073","Ouachita Parish, LA",41927
"cty13295","Walker County, GA",41923
"cty39081","Jefferson County, OH",41923
"cty27159","Wadena County, MN",41913
"cty45085","Sumter County, SC",41907
"cty41001","Baker County, OR",41901
"cty13035","Butts County, GA",41901
"cty31125","Nance County, NE",41900
"cty29167","Polk County, MO",41888
"cty21061","Edmonson County, KY",41860
"cty19137","Montgomery County, IA",41856
"cty29211","Sullivan County, MO",41849
"cty54035","Jackson County, WV",41846
"cty39033","Crawford County, OH",41840
"cty47077","Henderson County, TN",41838
"cty13109","Evans County, GA",41837
"cty48143","Erath County, TX",41836
"cty13185","Lowndes County, GA",41831
"cty05131","Sebastian County, AR",41829
"cty16057","Latah County, ID",41813
"cty30055","McCone County, MT",41803
"cty55113","Sawyer County, WI",41802
"cty31101","Keith County, NE",41800
"cty37145","Person County, NC",41783
"cty18167","Vigo County, IN",41782
"cty21003","Allen County, KY",41765
"cty30093","Silver Bow County, MT",41761
"cty42031","Clarion County, PA",41739
"cty48277","Lamar County, TX",41738
"cty26151","Sanilac County, MI",41731
"cty19133","Monona County, IA",41716
"cty37195","Wilson County, NC",41716
"cty29209","Stone County, MO",41694
"cty47085","Humphreys County, TN",41684
"cty17095","Knox County, IL",41683
"cty20167","Russell County, KS",41673
"cty53047","Okanogan County, WA",41672
"cty30073","Pondera County, MT",41668
"cty17087","Johnson County, IL",41668
"cty39007","Ashtabula County, OH",41661
"cty26127","Oceana County, MI",41653
"cty29033","Carroll County, MO",41643
"cty28071","Lafayette County, MS",41640
"cty26033","Chippewa County, MI",41635
"cty47139","Polk County, TN",41621
"cty01079","Lawrence County, AL",41618
"cty22031","De Soto Parish, LA",41604
"cty48125","Dickens County, TX",41593
"cty47103","Lincoln County, TN",41582
"cty53013","Columbia County, WA",41559
"cty37013","Beaufort County, NC",41558
"cty47161","Stewart County, TN",41553
"cty37115","Madison County, NC",41547
"cty22003","Allen Parish, LA",41538
"cty20001","Allen County, KS",41532
"cty26141","Presque Isle County, MI",41501
"cty19179","Wapello County, IA",41491
"cty54031","Hardy County, WV",41468
"cty21039","Carlisle County, KY",41465
"cty29147","Nodaway County, MO",41455
"cty05033","Crawford County, AR",41432
"cty41041","Lincoln County, OR",41430
"cty48083","Coleman County, TX",41424
"cty55125","Vilas County, WI",41418
"cty26113","Missaukee County, MI",41413
"cty48445","Terry County, TX",41413
"cty26107","Mecosta County, MI",41397
"cty31129","Nuckolls County, NE",41394
"cty42105","Potter County, PA",41391
"cty08029","Delta County, CO",41388
"cty27087","Mahnomen County, MN",41381
"cty35061","Valencia County, NM",41377
"cty05115","Pope County, AR",41375
"cty20017","Chase County, KS",41367
"cty42051","Fayette County, PA",41357
"cty01067","Henry County, AL",41346
"cty30081","Ravalli County, MT",41341
"cty20029","Cloud County, KS",41331
"cty20125","Montgomery County, KS",41322
"cty40049","Garvin County, OK",41308
"cty39111","Monroe County, OH",41292
"cty29159","Pettis County, MO",41287
"cty06049","Modoc County, CA",41282
"cty29087","Holt County, MO",41274
"cty21123","Larue County, KY",41274
"cty48373","Polk County, TX",41249
"cty18117","Orange County, IN",41248
"cty26003","Alger County, MI",41218
"cty13137","Habersham County, GA",41209
"cty31045","Dawes County, NE",41204
"cty05051","Garland County, AR",41184
"cty18155","Switzerland County, IN",41178
"cty31181","Webster County, NE",41169
"cty48195","Hansford County, TX",41166
"cty49055","Wayne County, UT",41165
"cty05037","Cross County, AR",41158
"cty06021","Glenn County, CA",41149
"cty30065","Musselshell County, MT",41144
"cty26039","Crawford County, MI",41138
"cty47053","Gibson County, TN",41118
"cty51183","Sussex County, VA",41105
"cty08105","Rio Grande County, CO",41077
"cty28049","Hinds County, MS",41076
"cty55041","Forest County, WI",41066
"cty26083","Keweenaw County, MI",41065
"cty48321","Matagorda County, TX",41064
"cty48145","Falls County, TX",41063
"cty12041","Gilchrist County, FL",41060
"cty54081","Raleigh County, WV",41059
"cty51081","Greensville County, VA",41059
"cty05023","Cleburne County, AR",41055
"cty46071","Jackson County, SD",41046
"cty17059","Gallatin County, IL",41046
"cty40105","Nowata County, OK",41045
"cty13255","Spalding County, GA",41010
"cty08099","Prowers County, CO",41004
"cty48399","Runnels County, TX",40996
"cty42101","Philadelphia County, PA",40992
"cty45017","Calhoun County, SC",40963
"cty16003","Adams County, ID",40958
"cty29041","Chariton County, MO",40952
"cty18041","Fayette County, IN",40950
"cty40119","Payne County, OK",40920
"cty20141","Osborne County, KS",40916
"cty12083","Marion County, FL",40887
"cty22043","Grant Parish, LA",40887
"cty21047","Christian County, KY",40882
"cty41055","Sherman County, OR",40873
"cty21021","Boyle County, KY",40872
"cty21219","Todd County, KY",40835
"cty46089","McPherson County, SD",40823
"cty39071","Highland County, OH",40812
"cty29201","Scott County, MO",40804
"cty29137","Monroe County, MO",40801
"cty45081","Saluda County, SC",40800
"cty21083","Graves County, KY",40797
"cty13129","Gordon County, GA",40777
"cty48479","Webb County, TX",40777
"cty21225","Union County, KY",40771
"cty21155","Marion County, KY",40749
"cty21177","Muhlenberg County, KY",40748
"cty06103","Tehama County, CA",40744
"cty08111","San Juan County, CO",40736
"cty48119","Delta County, TX",40732
"cty29131","Miller County, MO",40719
"cty48151","Fisher County, TX",40717
"cty47083","Houston County, TN",40689
"cty13011","Banks County, GA",40684
"cty29187","St. Francois County, MO",40684
"cty13159","Jasper County, GA",40671
"cty13291","Union County, GA",40662
"cty29205","Shelby County, MO",40655
"cty48059","Callahan County, TX",40647
"cty48207","Haskell County, TX",40633
"cty31087","Hitchcock County, NE",40619
"cty29195","Saline County, MO",40613
"cty55051","Iron County, WI",40608
"cty18053","Grant County, IN",40603
"cty16045","Gem County, ID",40593
"cty26097","Mackinac County, MI",40588
"cty39131","Pike County, OH",40575
"cty13187","Lumpkin County, GA",40561
"cty20021","Cherokee County, KS",40533
"cty54029","Hancock County, WV",40482
"cty29125","Maries County, MO",40479
"cty39163","Vinton County, OH",40474
"cty21213","Simpson County, KY",40462
"cty29161","Phelps County, MO",40457
"cty22053","Jefferson Davis Parish, LA",40448
"cty20039","Decatur County, KS",40448
"cty18035","Delaware County, IN",40421
"cty22101","St. Mary Parish, LA",40416
"cty47015","Cannon County, TN",40416
"cty18177","Wayne County, IN",40386
"cty18025","Crawford County, IN",40382
"cty39121","Noble County, OH",40379
"cty28075","Lauderdale County, MS",40378
"cty54025","Greenbrier County, WV",40375
"cty35035","Otero County, NM",40363
"cty20165","Rush County, KS",40360
"cty13021","Bibb County, GA",40354
"cty20073","Greenwood County, KS",40352
"cty37041","Chowan County, NC",40344
"cty48275","Knox County, TX",40341
"cty30109","Wibaux County, MT",40324
"cty47055","Giles County, TN",40260
"cty55107","Rusk County, WI",40233
"cty26073","Isabella County, MI",40225
"cty26031","Cheboygan County, MI",40214
"cty17109","McDonough County, IL",40208
"cty40111","Okmulgee County, OK",40190
"cty37157","Rockingham County, NC",40183
"cty49037","San Juan County, UT",40181
"cty45065","McCormick County, SC",40181
"cty22001","Acadia Parish, LA",40178
"cty51670","Hopewell city, VA",40156
"cty29081","Harrison County, MO",40153
"cty48081","Coke County, TX",40136
