"cty","Name","Poverty_Rate_in_2012-16"
"cty27149","Stevens County, MN",0.1713
"cty48081","Coke County, TX",0.1713
"cty37167","Stanly County, NC",0.1712
"cty40031","Comanche County, OK",0.1709
"cty21091","Hancock County, KY",0.1709
"cty53025","Grant County, WA",0.1708
"cty48209","Hays County, TX",0.1707
"cty29195","Saline County, MO",0.1707
"cty53045","Mason County, WA",0.1706
"cty21017","Bourbon County, KY",0.1705
"cty37139","Pasquotank County, NC",0.1704
"cty01043","Cullman County, AL",0.1704
"cty30065","Musselshell County, MT",0.1704
"cty01057","Fayette County, AL",0.1704
"cty48291","Liberty County, TX",0.1703
"cty19013","Black Hawk County, IA",0.1703
"cty08055","Huerfano County, CO",0.1703
"cty26083","Keweenaw County, MI",0.1702
"cty48487","Wilbarger County, TX",0.1701
"cty31161","Sheridan County, NE",0.1699
"cty45019","Charleston County, SC",0.1699
"cty48423","Smith County, TX",0.1699
"cty45037","Edgefield County, SC",0.1699
"cty30001","Beaverhead County, MT",0.1699
"cty27071","Koochiching County, MN",0.1698
"cty17143","Peoria County, IL",0.1698
"cty51167","Russell County, VA",0.1698
"cty21219","Todd County, KY",0.1697
"cty21003","Allen County, KY",0.1696
"cty16059","Lemhi County, ID",0.1696
"cty20011","Bourbon County, KS",0.1695
"cty16053","Jerome County, ID",0.1695
"cty54083","Randolph County, WV",0.1695
"cty13217","Newton County, GA",0.1695
"cty01103","Morgan County, AL",0.1694
"cty12031","Duval County, FL",0.1693
"cty38083","Sheridan County, ND",0.1693
"cty46047","Fall River County, SD",0.1692
"cty35059","Union County, NM",0.1692
"cty36105","Sullivan County, NY",0.1692
"cty29159","Pettis County, MO",0.1691
"cty54027","Hampshire County, WV",0.1691
"cty54073","Pleasants County, WV",0.169
"cty20181","Sherman County, KS",0.169
"cty47163","Sullivan County, TN",0.169
"cty51650","Hampton city, VA",0.1689
"cty05059","Hot Spring County, AR",0.1689
"cty37151","Randolph County, NC",0.1688
"cty17031","Cook County, IL",0.1688
"cty18067","Howard County, IN",0.1688
"cty48175","Goliad County, TX",0.1688
"cty54091","Taylor County, WV",0.1687
"cty48369","Parmer County, TX",0.1687
"cty13179","Liberty County, GA",0.1686
"cty48233","Hutchinson County, TX",0.1685
"cty47055","Giles County, TN",0.1685
"cty12127","Volusia County, FL",0.1684
"cty21021","Boyle County, KY",0.1684
"cty48351","Newton County, TX",0.1683
"cty22055","Lafayette Parish, LA",0.1682
"cty23019","Penobscot County, ME",0.1681
"cty26075","Jackson County, MI",0.1681
"cty34031","Passaic County, NJ",0.168
"cty29187","St. Francois County, MO",0.168
"cty49019","Grand County, UT",0.168
"cty26069","Iosco County, MI",0.168
"cty26079","Kalkaska County, MI",0.1679
"cty21105","Hickman County, KY",0.1677
"cty13083","Dade County, GA",0.1677
"cty42049","Erie County, PA",0.1676
"cty37087","Haywood County, NC",0.1676
"cty08029","Delta County, CO",0.1676
"cty48265","Kerr County, TX",0.1674
"cty48099","Coryell County, TX",0.1673
"cty37077","Granville County, NC",0.1673
"cty36035","Fulton County, NY",0.1673
"cty06065","Riverside County, CA",0.1672
"cty16009","Benewah County, ID",0.167
"cty39015","Brown County, OH",0.167
"cty37069","Franklin County, NC",0.167
"cty27029","Clearwater County, MN",0.1669
"cty48237","Jack County, TX",0.1669
"cty49031","Piute County, UT",0.1668
"cty48007","Aransas County, TX",0.1668
"cty20205","Wilson County, KS",0.1668
"cty04013","Maricopa County, AZ",0.1667
"cty47093","Knox County, TN",0.1666
"cty36067","Onondaga County, NY",0.1666
"cty56041","Uinta County, WY",0.1666
"cty39073","Hocking County, OH",0.1666
"cty30101","Toole County, MT",0.1666
"cty01033","Colbert County, AL",0.1666
"cty19057","Des Moines County, IA",0.1666
"cty53027","Grays Harbor County, WA",0.1664
"cty26161","Washtenaw County, MI",0.1664
"cty01031","Coffee County, AL",0.1664
"cty42083","McKean County, PA",0.1664
"cty20035","Cowley County, KS",0.1663
"cty12057","Hillsborough County, FL",0.1663
"cty01009","Blount County, AL",0.1663
"cty40095","Marshall County, OK",0.1659
"cty53065","Stevens County, WA",0.1659
"cty26041","Delta County, MI",0.1659
"cty06049","Modoc County, CA",0.1659
"cty31075","Grant County, NE",0.1659
"cty23017","Oxford County, ME",0.1659
"cty51700","Newport News city, VA",0.1658
"cty16021","Boundary County, ID",0.1658
"cty01027","Clay County, AL",0.1658
"cty32510","Carson City, NV",0.1657
"cty40065","Jackson County, OK",0.1657
"cty05045","Faulkner County, AR",0.1657
"cty47051","Franklin County, TN",0.1657
"cty37011","Avery County, NC",0.1656
"cty29207","Stoddard County, MO",0.1654
"cty40039","Custer County, OK",0.1653
"cty47137","Pickett County, TN",0.1653
"cty08077","Mesa County, CO",0.1652
"cty22003","Allen Parish, LA",0.1652
"cty45007","Anderson County, SC",0.1652
"cty48387","Red River County, TX",0.1652
"cty48475","Ward County, TX",0.1652
"cty21123","Larue County, KY",0.1652
"cty29211","Sullivan County, MO",0.1652
"cty08031","Denver County, CO",0.1651
"cty53073","Whatcom County, WA",0.1651
"cty18095","Madison County, IN",0.165
"cty54057","Mineral County, WV",0.165
"cty40143","Tulsa County, OK",0.1649
"cty17023","Clark County, IL",0.1647
"cty46053","Gregory County, SD",0.1647
"cty18117","Orange County, IN",0.1646
"cty39133","Portage County, OH",0.1646
"cty37057","Davidson County, NC",0.1645
"cty08043","Fremont County, CO",0.1645
"cty48115","Dawson County, TX",0.1645
"cty47015","Cannon County, TN",0.1645
"cty48401","Rusk County, TX",0.1645
"cty41025","Harney County, OR",0.1645
"cty21007","Ballard County, KY",0.1645
"cty48301","Loving County, TX",0.1644
"cty39101","Marion County, OH",0.1643
"cty18021","Clay County, IN",0.1642
"cty32027","Pershing County, NV",0.1642
"cty29123","Madison County, MO",0.1641
"cty39139","Richland County, OH",0.164
"cty06043","Mariposa County, CA",0.164
"cty51053","Dinwiddie County, VA",0.164
"cty48241","Jasper County, TX",0.1639
"cty36015","Chemung County, NY",0.1639
"cty55063","La Crosse County, WI",0.1638
"cty28137","Tate County, MS",0.1638
"cty17035","Cumberland County, IL",0.1638
"cty30063","Missoula County, MT",0.1637
"cty48289","Leon County, TX",0.1637
"cty13195","Madison County, GA",0.1636
"cty12065","Jefferson County, FL",0.1636
"cty26119","Montmorency County, MI",0.1636
"cty17057","Fulton County, IL",0.1636
"cty48019","Bandera County, TX",0.1635
"cty21059","Daviess County, KY",0.1635
"cty37115","Madison County, NC",0.1635
"cty26007","Alpena County, MI",0.1635
"cty19111","Lee County, IA",0.1635
"cty24045","Wicomico County, MD",0.1634
"cty01019","Cherokee County, AL",0.1634
"cty51159","Richmond County, VA",0.1633
"cty56015","Goshen County, WY",0.1633
"cty29013","Bates County, MO",0.1632
"cty53041","Lewis County, WA",0.1631
"cty17045","Edgar County, IL",0.1631
"cty55113","Sawyer County, WI",0.163
"cty47035","Cumberland County, TN",0.163
"cty30037","Golden Valley County, MT",0.163
"cty22093","St. James Parish, LA",0.163
"cty47159","Smith County, TN",0.163
"cty48159","Franklin County, TX",0.163
"cty48123","DeWitt County, TX",0.163
"cty21111","Jefferson County, KY",0.1629
"cty48069","Castro County, TX",0.1629
"cty37043","Clay County, NC",0.1629
"cty51183","Sussex County, VA",0.1629
"cty21039","Carlisle County, KY",0.1629
"cty48253","Jones County, TX",0.1628
"cty17059","Gallatin County, IL",0.1627
"cty22051","Jefferson Parish, LA",0.1626
"cty29061","Daviess County, MO",0.1625
"cty30071","Phillips County, MT",0.1625
"cty53063","Spokane County, WA",0.1624
"cty20021","Cherokee County, KS",0.1624
"cty47003","Bedford County, TN",0.1624
"cty13183","Long County, GA",0.1623
"cty06035","Lassen County, CA",0.1622
"cty51197","Wythe County, VA",0.1622
"cty31091","Hooker County, NE",0.1622
"cty37035","Catawba County, NC",0.1621
"cty31009","Blaine County, NE",0.1621
"cty27033","Cottonwood County, MN",0.162
"cty26149","St. Joseph County, MI",0.162
"cty53071","Walla Walla County, WA",0.162
"cty47145","Roane County, TN",0.1619
"cty26105","Mason County, MI",0.1618
"cty31087","Hitchcock County, NE",0.1618
"cty29177","Ray County, MO",0.1618
"cty26101","Manistee County, MI",0.1617
"cty19039","Clarke County, IA",0.1617
"cty54039","Kanawha County, WV",0.1616
"cty21107","Hopkins County, KY",0.1616
"cty28073","Lamar County, MS",0.1616
"cty48453","Travis County, TX",0.1615
"cty23027","Waldo County, ME",0.1613
"cty55123","Vernon County, WI",0.1612
"cty19187","Webster County, IA",0.1612
"cty29199","Scotland County, MO",0.1611
"cty18065","Henry County, IN",0.161
"cty08051","Gunnison County, CO",0.161
"cty40033","Cotton County, OK",0.1609
"cty39167","Washington County, OH",0.1609
"cty19007","Appanoose County, IA",0.1608
"cty29075","Gentry County, MO",0.1608
"cty48337","Montague County, TX",0.1608
"cty02070","Dillingham Census Area, AK",0.1607
"cty06079","San Luis Obispo County, CA",0.1607
"cty17075","Iroquois County, IL",0.1607
"cty54069","Ohio County, WV",0.1607
"cty39065","Hardin County, OH",0.1606
"cty17091","Kankakee County, IL",0.1606
"cty47043","Dickson County, TN",0.1604
"cty17101","Lawrence County, IL",0.1604
"cty39003","Allen County, OH",0.1604
"cty47153","Sequatchie County, TN",0.1603
"cty48161","Freestone County, TX",0.1603
"cty40057","Harmon County, OK",0.1602
"cty48111","Dallam County, TX",0.1602
"cty55067","Langlade County, WI",0.1602
"cty54033","Harrison County, WV",0.1601
"cty31045","Dawes County, NE",0.16
"cty47031","Coffee County, TN",0.16
"cty51139","Page County, VA",0.1598
"cty21221","Trigg County, KY",0.1597
"cty37143","Perquimans County, NC",0.1597
"cty49039","Sanpete County, UT",0.1597
"cty32001","Churchill County, NV",0.1596
"cty16049","Idaho County, ID",0.1596
"cty27021","Cass County, MN",0.1595
"cty55013","Burnett County, WI",0.1595
"cty27137","St. Louis County, MN",0.1595
"cty45055","Kershaw County, SC",0.1595
"cty20185","Stafford County, KS",0.1594
"cty54013","Calhoun County, WV",0.1594
"cty48297","Live Oak County, TX",0.1594
"cty51147","Prince Edward County, VA",0.1593
"cty17051","Fayette County, IL",0.1593
"cty18075","Jay County, IN",0.1591
"cty18149","Starke County, IN",0.1591
"cty22015","Bossier Parish, LA",0.159
"cty31043","Dakota County, NE",0.1589
"cty27123","Ramsey County, MN",0.1589
"cty49005","Cache County, UT",0.1589
"cty55107","Rusk County, WI",0.1589
"cty17145","Perry County, IL",0.1588
"cty31083","Harlan County, NE",0.1588
"cty17201","Winnebago County, IL",0.1587
"cty01007","Bibb County, AL",0.1587
"cty29063","DeKalb County, MO",0.1587
"cty29205","Shelby County, MO",0.1587
"cty48319","Mason County, TX",0.1587
"cty40149","Washita County, OK",0.1587
"cty39083","Knox County, OH",0.1585
"cty28059","Jackson County, MS",0.1583
"cty12005","Bay County, FL",0.1583
"cty17177","Stephenson County, IL",0.1583
"cty41053","Polk County, OR",0.1582
"cty26017","Bay County, MI",0.1582
"cty26157","Tuscola County, MI",0.158
"cty51790","Staunton city, VA",0.158
"cty08075","Logan County, CO",0.158
"cty41071","Yamhill County, OR",0.1579
"cty49033","Rich County, UT",0.1579
"cty39029","Columbiana County, OH",0.1578
"cty47125","Montgomery County, TN",0.1577
"cty20055","Finney County, KS",0.1577
"cty16083","Twin Falls County, ID",0.1576
"cty48391","Refugio County, TX",0.1576
"cty53009","Clallam County, WA",0.1575
"cty23001","Androscoggin County, ME",0.1574
"cty48467","Van Zandt County, TX",0.1574
"cty26151","Sanilac County, MI",0.1573
"cty12045","Gulf County, FL",0.1572
"cty42079","Luzerne County, PA",0.1571
"cty01067","Henry County, AL",0.1571
"cty12053","Hernando County, FL",0.157
"cty16031","Cassia County, ID",0.157
"cty06053","Monterey County, CA",0.1569
"cty17181","Union County, IL",0.1569
"cty29137","Monroe County, MO",0.1568
"cty51820","Waynesboro city, VA",0.1568
"cty22125","West Feliciana Parish, LA",0.1568
"cty39033","Crawford County, OH",0.1567
"cty40025","Cimarron County, OK",0.1566
"cty39005","Ashland County, OH",0.1566
"cty48455","Trinity County, TX",0.1565
"cty51035","Carroll County, VA",0.1564
"cty42069","Lackawanna County, PA",0.1564
"cty20009","Barton County, KS",0.1562
"cty17137","Morgan County, IL",0.1562
"cty31065","Furnas County, NE",0.1562
"cty40019","Carter County, OK",0.1561
"cty48457","Tyler County, TX",0.156
"cty17187","Warren County, IL",0.1559
"cty16061","Lewis County, ID",0.1557
"cty40045","Ellis County, OK",0.1556
"cty53039","Klickitat County, WA",0.1556
"cty35025","Lea County, NM",0.1556
"cty17125","Mason County, IL",0.1555
"cty40137","Stephens County, OK",0.1554
"cty32003","Clark County, NV",0.1554
"cty48219","Hockley County, TX",0.1554
"cty39173","Wood County, OH",0.1554
"cty16023","Butte County, ID",0.1554
"cty48431","Sterling County, TX",0.1553
"cty55043","Grant County, WI",0.1553
"cty17191","Wayne County, IL",0.1553
"cty06083","Santa Barbara County, CA",0.1551
"cty46025","Clark County, SD",0.1551
"cty47155","Sevier County, TN",0.1551
"cty30069","Petroleum County, MT",0.1551
"cty48345","Motley County, TX",0.1551
"cty02013","Aleutians East Borough, AK",0.155
"cty16047","Gooding County, ID",0.155
"cty01037","Coosa County, AL",0.155
"cty05023","Cleburne County, AR",0.155
"cty36077","Otsego County, NY",0.155
"cty48181","Grayson County, TX",0.1549
"cty48313","Madison County, TX",0.1549
"cty48331","Milam County, TX",0.1549
"cty54077","Preston County, WV",0.1548
"cty26097","Mackinac County, MI",0.1547
"cty41057","Tillamook County, OR",0.1547
"cty42021","Cambria County, PA",0.1547
"cty48077","Clay County, TX",0.1547
"cty39147","Seneca County, OH",0.1546
"cty49007","Carbon County, UT",0.1546
"cty56031","Platte County, WY",0.1546
"cty48197","Hardeman County, TX",0.1546
"cty48503","Young County, TX",0.1546
"cty35049","Santa Fe County, NM",0.1545
"cty13011","Banks County, GA",0.1545
"cty46015","Brule County, SD",0.1545
"cty26013","Baraga County, MI",0.1544
"cty37169","Stokes County, NC",0.1544
"cty27159","Wadena County, MN",0.1544
"cty30051","Liberty County, MT",0.1543
"cty20173","Sedgwick County, KS",0.1542
"cty55031","Douglas County, WI",0.1541
"cty55035","Eau Claire County, WI",0.1541
"cty55003","Ashland County, WI",0.154
"cty19101","Jefferson County, IA",0.154
"cty36025","Delaware County, NY",0.1539
"cty37019","Brunswick County, NC",0.1538
"cty54105","Wirt County, WV",0.1538
"cty12071","Lee County, FL",0.1537
"cty36017","Chenango County, NY",0.1536
"cty17167","Sangamon County, IL",0.1536
"cty39027","Clinton County, OH",0.1535
"cty36073","Orleans County, NY",0.1535
"cty06087","Santa Cruz County, CA",0.1534
"cty18003","Allen County, IN",0.1534
"cty47047","Fayette County, TN",0.1534
"cty37109","Lincoln County, NC",0.1534
"cty30021","Dawson County, MT",0.1534
"cty29041","Chariton County, MO",0.1534
"cty19137","Montgomery County, IA",0.1533
"cty22057","Lafourche Parish, LA",0.1532
"cty32031","Washoe County, NV",0.1532
"cty47065","Hamilton County, TN",0.1532
"cty48013","Atascosa County, TX",0.1532
"cty17065","Hamilton County, IL",0.1532
"cty48361","Orange County, TX",0.153
"cty54017","Doddridge County, WV",0.153
"cty40113","Osage County, OK",0.1529
"cty37135","Orange County, NC",0.1529
"cty32019","Lyon County, NV",0.1528
"cty47089","Jefferson County, TN",0.1528
"cty16087","Washington County, ID",0.1528
"cty17135","Montgomery County, IL",0.1527
"cty12129","Wakulla County, FL",0.1526
"cty30059","Meagher County, MT",0.1526
"cty55059","Kenosha County, WI",0.1525
"cty20001","Allen County, KS",0.1525
"cty20089","Jewell County, KS",0.1525
"cty18121","Parke County, IN",0.1525
"cty41015","Curry County, OR",0.1524
"cty21163","Meade County, KY",0.1524
"cty34001","Atlantic County, NJ",0.1523
"cty26109","Menominee County, MI",0.1522
"cty37049","Craven County, NC",0.1522
"cty36051","Livingston County, NY",0.1522
"cty13097","Douglas County, GA",0.152
"cty36101","Steuben County, NY",0.152
"cty48227","Howard County, TX",0.152
"cty48097","Cooke County, TX",0.1519
"cty13125","Glascock County, GA",0.1519
"cty26131","Ontonagon County, MI",0.1519
"cty13007","Baker County, GA",0.1519
"cty42081","Lycoming County, PA",0.1519
"cty36055","Monroe County, NY",0.1517
"cty20003","Anderson County, KS",0.1517
"cty48129","Donley County, TX",0.1517
"cty38053","McKenzie County, ND",0.1516
"cty13281","Towns County, GA",0.1516
"cty36029","Erie County, NY",0.1513
"cty20159","Rice County, KS",0.1513
"cty42059","Greene County, PA",0.1513
"cty41023","Grant County, OR",0.1513
"cty21049","Clark County, KY",0.1512
"cty20177","Shawnee County, KS",0.1511
"cty50009","Essex County, VT",0.1511
"cty20169","Saline County, KS",0.1511
"cty17161","Rock Island County, IL",0.151
"cty55097","Portage County, WI",0.1509
"cty41049","Morrow County, OR",0.1508
"cty18079","Jennings County, IN",0.1507
"cty31047","Dawson County, NE",0.1507
"cty40037","Creek County, OK",0.1506
"cty16017","Bonner County, ID",0.1506
"cty18017","Cass County, IN",0.1506
"cty31079","Hall County, NE",0.1505
"cty26113","Missaukee County, MI",0.1505
"cty27169","Winona County, MN",0.1505
"cty54035","Jackson County, WV",0.1504
"cty51143","Pittsylvania County, VA",0.1504
"cty19029","Cass County, IA",0.1503
"cty41001","Baker County, OR",0.1503
"cty48027","Bell County, TX",0.1502
"cty47117","Marshall County, TN",0.1501
"cty21037","Campbell County, KY",0.1501
"cty26027","Cass County, MI",0.15
"cty20107","Linn County, KS",0.15
"cty53057","Skagit County, WA",0.1499
"cty55033","Dunn County, WI",0.1499
"cty48287","Lee County, TX",0.1498
"cty48395","Robertson County, TX",0.1497
"cty26001","Alcona County, MI",0.1497
"cty40081","Lincoln County, OK",0.1496
"cty47119","Maury County, TN",0.1496
"cty18039","Elkhart County, IN",0.1495
"cty48179","Gray County, TX",0.1495
"cty26081","Kent County, MI",0.1493
"cty37021","Buncombe County, NC",0.149
"cty17159","Richland County, IL",0.149
"cty18083","Knox County, IN",0.149
"cty17171","Scott County, IL",0.149
"cty55019","Clark County, WI",0.149
"cty21073","Franklin County, KY",0.1489
"cty18055","Greene County, IN",0.1489
"cty17087","Johnson County, IL",0.1489
"cty18175","Washington County, IN",0.1489
"cty42013","Blair County, PA",0.1488
"cty37137","Pamlico County, NC",0.1488
"cty46101","Moody County, SD",0.1487
"cty42033","Clearfield County, PA",0.1487
"cty48469","Victoria County, TX",0.1487
"cty49053","Washington County, UT",0.1486
"cty46135","Yankton County, SD",0.1486
"cty53043","Lincoln County, WA",0.1486
"cty19025","Calhoun County, IA",0.1486
"cty55105","Rock County, WI",0.1485
"cty20019","Chautauqua County, KS",0.1484
"cty37101","Johnston County, NC",0.1483
"cty51125","Nelson County, VA",0.1483
"cty17199","Williamson County, IL",0.1483
"cty53013","Columbia County, WA",0.1483
"cty37149","Polk County, NC",0.1483
"cty02198","Prince of Wales-Hyder Census Area, AK",0.1481
"cty29163","Pike County, MO",0.148
"cty20051","Ellis County, KS",0.148
"cty19069","Franklin County, IA",0.148
"cty48015","Austin County, TX",0.1478
"cty48035","Bosque County, TX",0.1478
"cty18071","Jackson County, IN",0.1478
"cty50019","Orleans County, VT",0.1477
"cty21143","Lyon County, KY",0.1477
"cty30031","Gallatin County, MT",0.1475
"cty31119","Madison County, NE",0.1475
"cty22063","Livingston Parish, LA",0.1475
"cty19145","Page County, IA",0.1475
"cty36081","Queens County, NY",0.1474
"cty39017","Butler County, OH",0.1474
"cty51175","Southampton County, VA",0.1474
"cty30013","Cascade County, MT",0.1473
"cty04025","Yavapai County, AZ",0.1473
"cty39013","Belmont County, OH",0.1473
"cty18077","Jefferson County, IN",0.1471
"cty40117","Pawnee County, OK",0.1469
"cty13015","Bartow County, GA",0.1469
"cty08115","Sedgwick County, CO",0.1469
"cty35043","Sandoval County, NM",0.1468
"cty55125","Vilas County, WI",0.1468
"cty48439","Tarrant County, TX",0.1467
"cty12123","Taylor County, FL",0.1467
"cty51163","Rockbridge County, VA",0.1467
"cty18119","Owen County, IN",0.1467
"cty39153","Summit County, OH",0.1466
"cty42087","Mifflin County, PA",0.1465
"cty12033","Escambia County, FL",0.1464
"cty17151","Pope County, IL",0.1464
"cty56043","Washakie County, WY",0.1463
"cty41063","Wallowa County, OR",0.1463
"cty53003","Asotin County, WA",0.1463
"cty42097","Northumberland County, PA",0.1463
"cty54051","Marshall County, WV",0.1461
"cty48193","Hamilton County, TX",0.146
"cty54029","Hancock County, WV",0.146
"cty36097","Schuyler County, NY",0.146
"cty48365","Panola County, TX",0.146
"cty48275","Knox County, TX",0.1459
"cty21191","Pendleton County, KY",0.1459
"cty31019","Buffalo County, NE",0.1459
"cty53059","Skamania County, WA",0.1458
"cty26043","Dickinson County, MI",0.1458
"cty42065","Jefferson County, PA",0.1458
"cty51840","Winchester city, VA",0.1457
"cty51036","Charles City County, VA",0.1457
"cty19133","Monona County, IA",0.1457
"cty08125","Yuma County, CO",0.1457
"cty41065","Wasco County, OR",0.1456
"cty49041","Sevier County, UT",0.1456
"cty31055","Douglas County, NE",0.1455
"cty23011","Kennebec County, ME",0.1455
"cty29186","Ste. Genevieve County, MO",0.1455
"cty51191","Washington County, VA",0.1455
"cty29073","Gasconade County, MO",0.1452
"cty56045","Weston County, WY",0.1452
"cty48477","Washington County, TX",0.1452
"cty42039","Crawford County, PA",0.1451
"cty13039","Camden County, GA",0.145
"cty01051","Elmore County, AL",0.145
"cty40147","Washington County, OK",0.1449
"cty19177","Van Buren County, IA",0.1449
"cty17149","Pike County, IL",0.1449
"cty48045","Briscoe County, TX",0.1448
"cty48053","Burnet County, TX",0.1448
"cty36045","Jefferson County, NY",0.1447
"cty42121","Venango County, PA",0.1447
"cty20013","Brown County, KS",0.1446
"cty27145","Stearns County, MN",0.1446
"cty42073","Lawrence County, PA",0.1446
"cty40099","Murray County, OK",0.1445
"cty29129","Mercer County, MO",0.1445
"cty30039","Granite County, MT",0.1445
"cty21093","Hardin County, KY",0.1443
"cty53005","Benton County, WA",0.1442
"cty48333","Mills County, TX",0.1442
"cty16007","Bear Lake County, ID",0.1442
"cty26155","Shiawassee County, MI",0.1441
"cty05039","Dallas County, AR",0.1441
"cty36023","Cortland County, NY",0.1441
"cty12081","Manatee County, FL",0.144
"cty51067","Franklin County, VA",0.1439
"cty48409","San Patricio County, TX",0.1438
"cty16003","Adams County, ID",0.1438
"cty26091","Lenawee County, MI",0.1437
"cty13013","Barrow County, GA",0.1437
"cty37125","Moore County, NC",0.1437
"cty31109","Lancaster County, NE",0.1436
"cty37119","Mecklenburg County, NC",0.1436
"cty56007","Carbon County, WY",0.1436
"cty08071","Las Animas County, CO",0.1434
"cty35021","Harding County, NM",0.1434
"cty39171","Williams County, OH",0.1431
"cty40011","Blaine County, OK",0.143
"cty26147","St. Clair County, MI",0.143
"cty45045","Greenville County, SC",0.1429
"cty21239","Woodford County, KY",0.1429
"cty42011","Berks County, PA",0.1428
"cty18123","Perry County, IN",0.1428
"cty19067","Floyd County, IA",0.1428
"cty12011","Broward County, FL",0.1427
"cty47167","Tipton County, TN",0.1426
"cty29145","Newton County, MO",0.1425
"cty01083","Limestone County, AL",0.1425
"cty39151","Stark County, OH",0.1424
"cty51097","King and Queen County, VA",0.1424
"cty19193","Woodbury County, IA",0.1423
"cty41007","Clatsop County, OR",0.1423
"cty12103","Pinellas County, FL",0.1422
"cty37175","Transylvania County, NC",0.1422
"cty16085","Valley County, ID",0.142
"cty48167","Galveston County, TX",0.1419
"cty17193","White County, IL",0.1419
"cty49023","Juab County, UT",0.1418
"cty30027","Fergus County, MT",0.1417
"cty42009","Bedford County, PA",0.1417
"cty39093","Lorain County, OH",0.1416
"cty01089","Madison County, AL",0.1416
"cty27099","Mower County, MN",0.1416
"cty26137","Otsego County, MI",0.1416
"cty20007","Barber County, KS",0.1416
"cty08063","Kit Carson County, CO",0.1416
"cty06109","Tuolumne County, CA",0.1416
"cty35019","Guadalupe County, NM",0.1416
"cty46103","Pennington County, SD",0.1415
"cty27083","Lyon County, MN",0.1415
"cty20073","Greenwood County, KS",0.1415
"cty42085","Mercer County, PA",0.1415
"cty40027","Cleveland County, OK",0.1413
"cty23007","Franklin County, ME",0.1413
"cty20119","Meade County, KS",0.1412
"cty53069","Wahkiakum County, WA",0.1412
"cty50025","Windham County, VT",0.1411
"cty17025","Clay County, IL",0.1411
"cty20155","Reno County, KS",0.1411
"cty36087","Rockland County, NY",0.141
"cty56013","Fremont County, WY",0.1408
"cty12009","Brevard County, FL",0.1408
"cty27105","Nobles County, MN",0.1408
"cty36095","Schoharie County, NY",0.1407
"cty48257","Kaufman County, TX",0.1406
"cty38095","Towner County, ND",0.1406
"cty39031","Coshocton County, OH",0.1406
"cty18143","Scott County, IN",0.1406
"cty06073","San Diego County, CA",0.1403
"cty36049","Lewis County, NY",0.1403
"cty48089","Colorado County, TX",0.1402
"cty48445","Terry County, TX",0.1402
"cty29087","Holt County, MO",0.1401
"cty51009","Amherst County, VA",0.14
"cty21179","Nelson County, KY",0.14
"cty18049","Fulton County, IN",0.14
"cty49049","Utah County, UT",0.1399
"cty42105","Potter County, PA",0.1399
"cty17053","Ford County, IL",0.1398
"cty55081","Monroe County, WI",0.1397
"cty29113","Lincoln County, MO",0.1397
"cty13207","Monroe County, GA",0.1397
"cty39091","Logan County, OH",0.1397
"cty22115","Vernon Parish, LA",0.1396
"cty45063","Lexington County, SC",0.1395
"cty41017","Deschutes County, OR",0.1395
"cty39019","Carroll County, OH",0.1395
"cty19087","Henry County, IA",0.1395
"cty36043","Herkimer County, NY",0.1395
"cty19185","Wayne County, IA",0.1393
"cty19045","Clinton County, IA",0.1391
"cty04011","Greenlee County, AZ",0.1391
"cty48325","Medina County, TX",0.139
"cty17099","LaSalle County, IL",0.139
"cty26063","Huron County, MI",0.1389
"cty31013","Box Butte County, NE",0.1389
"cty12099","Palm Beach County, FL",0.1388
"cty29169","Pulaski County, MO",0.1388
"cty35015","Eddy County, NM",0.1387
"cty29219","Warren County, MO",0.1387
"cty33007","Coos County, NH",0.1387
"cty27115","Pine County, MN",0.1386
"cty37059","Davie County, NC",0.1386
"cty19123","Mahaska County, IA",0.1385
"cty12061","Indian River County, FL",0.1382
"cty05005","Baxter County, AR",0.1382
"cty08013","Boulder County, CO",0.1381
"cty20183","Smith County, KS",0.1381
"cty13157","Jackson County, GA",0.1381
"cty55023","Crawford County, WI",0.138
"cty19097","Jackson County, IA",0.138
"cty08069","Larimer County, CO",0.1379
"cty46079","Lake County, SD",0.1377
"cty08057","Jackson County, CO",0.1377
"cty30029","Flathead County, MT",0.1376
"cty29111","Lewis County, MO",0.1376
"cty40059","Harper County, OK",0.1376
"cty12101","Pasco County, FL",0.1375
"cty37037","Chatham County, NC",0.1375
"cty48451","Tom Green County, TX",0.1374
"cty36123","Yates County, NY",0.1374
"cty40093","Major County, OK",0.1373
"cty16071","Oneida County, ID",0.1373
"cty48299","Llano County, TX",0.1372
"cty55103","Richland County, WI",0.1372
"cty19063","Emmet County, IA",0.1372
"cty16069","Nez Perce County, ID",0.1371
"cty16015","Boise County, ID",0.1371
"cty48281","Lampasas County, TX",0.1371
"cty39057","Greene County, OH",0.1371
"cty21077","Gallatin County, KY",0.137
"cty39135","Preble County, OH",0.1369
"cty29045","Clark County, MO",0.1369
"cty26141","Presque Isle County, MI",0.1368
"cty51057","Essex County, VA",0.1368
"cty49055","Wayne County, UT",0.1368
"cty42061","Huntingdon County, PA",0.1368
"cty54031","Hardy County, WV",0.1368
"cty21139","Livingston County, KY",0.1367
"cty39039","Defiance County, OH",0.1366
"cty42043","Dauphin County, PA",0.1365
"cty02240","Southeast Fairbanks Census Area, AK",0.1365
"cty48021","Bastrop County, TX",0.1365
"cty47009","Blount County, TN",0.1364
