"cty","Name","Incarceration_Rate_rP_gP_pall"
"cty72065","Hatillo Municipio, PR",0.1129
"cty72101","Morovis Municipio, PR",0.0918
"cty46102","Oglala Lakota County, SD",0.0857
"cty72003","Aguada Municipio, PR",0.0812
"cty55078","Menominee County, WI",0.0723
"cty48359","Oldham County, TX",0.0633
"cty02060","Bristol Bay Borough, AK",0.0599
"cty13259","Stewart County, GA",0.0556
"cty72111","Penuelas Municipio, PR",0.0555
"cty51760","Richmond city, VA",0.0543
"cty08023","Costilla County, CO",0.0539
"cty13235","Pulaski County, GA",0.0522
"cty51730","Petersburg city, VA",0.052
"cty46137","Ziebach County, SD",0.0515
"cty31113","Logan County, NE",0.0508
"cty47067","Hancock County, TN",0.0504
"cty51740","Portsmouth city, VA",0.0502
"cty13065","Clinch County, GA",0.0488
"cty13043","Candler County, GA",0.0484
"cty30103","Treasure County, MT",0.0446
"cty24510","Baltimore city, MD",0.0441
"cty28055","Issaquena County, MS",0.044
"cty48007","Aransas County, TX",0.0433
"cty48315","Marion County, TX",0.0431
"cty48375","Potter County, TX",0.043
"cty51710","Norfolk city, VA",0.0428
"cty51620","Franklin city, VA",0.042
"cty13293","Upson County, GA",0.0418
"cty51540","Charlottesville city, VA",0.0418
"cty22091","St. Helena Parish, LA",0.0418
"cty13265","Taliaferro County, GA",0.0413
"cty12027","DeSoto County, FL",0.0412
"cty46121","Todd County, SD",0.0409
"cty12093","Okeechobee County, FL",0.0408
"cty02185","North Slope Borough, AK",0.0407
"cty13099","Early County, GA",0.0407
"cty28025","Clay County, MS",0.0407
"cty51690","Martinsville city, VA",0.0406
"cty12045","Gulf County, FL",0.0404
"cty13155","Irwin County, GA",0.0404
"cty29133","Mississippi County, MO",0.0401
"cty29155","Pemiscot County, MO",0.0401
"cty29510","St. Louis city, MO",0.04
"cty13017","Ben Hill County, GA",0.04
"cty01037","Coosa County, AL",0.0398
"cty48305","Lynn County, TX",0.0395
"cty13205","Mitchell County, GA",0.0393
"cty13109","Evans County, GA",0.039
"cty51097","King and Queen County, VA",0.0388
"cty02105","Hoonah-Angoon Census Area, AK",0.0388
"cty17003","Alexander County, IL",0.0386
"cty48309","McLennan County, TX",0.0385
"cty48293","Limestone County, TX",0.0384
"cty13283","Treutlen County, GA",0.0383
"cty13051","Chatham County, GA",0.0376
"cty51595","Emporia city, VA",0.0374
"cty51590","Danville city, VA",0.0372
"cty12037","Franklin County, FL",0.0371
"cty05077","Lee County, AR",0.037
"cty02180","Nome Census Area, AK",0.0369
"cty13081","Crisp County, GA",0.0369
"cty12065","Jefferson County, FL",0.0366
"cty05073","Lafayette County, AR",0.0366
"cty22119","Webster Parish, LA",0.0364
"cty13093","Dooly County, GA",0.0359
"cty11001","District of Columbia, DC",0.0356
"cty51800","Suffolk city, VA",0.0355
"cty13267","Tattnall County, GA",0.0355
"cty28119","Quitman County, MS",0.0351
"cty13075","Cook County, GA",0.0347
"cty48169","Garza County, TX",0.0347
"cty47087","Jackson County, TN",0.0346
"cty13243","Randolph County, GA",0.0344
"cty22069","Natchitoches Parish, LA",0.0344
"cty12039","Gadsden County, FL",0.0342
"cty28087","Lowndes County, MS",0.0342
"cty13049","Charlton County, GA",0.0339
"cty12023","Columbia County, FL",0.0338
"cty72075","Juana Diaz Municipio, PR",0.0337
"cty13271","Telfair County, GA",0.0337
"cty48277","Lamar County, TX",0.0334
"cty13055","Chattooga County, GA",0.0334
"cty46017","Buffalo County, SD",0.0333
"cty01113","Russell County, AL",0.0333
"cty51830","Williamsburg city, VA",0.0333
"cty28143","Tunica County, MS",0.0333
"cty42101","Philadelphia County, PA",0.033
"cty51630","Fredericksburg city, VA",0.0328
"cty51770","Roanoke city, VA",0.0326
"cty48235","Irion County, TX",0.0326
"cty13167","Johnson County, GA",0.0325
"cty48447","Throckmorton County, TX",0.0324
"cty13303","Washington County, GA",0.0323
"cty05093","Mississippi County, AR",0.0323
"cty51081","Greensville County, VA",0.0321
"cty13277","Tift County, GA",0.0318
"cty13299","Ware County, GA",0.0318
"cty13061","Clay County, GA",0.0318
"cty13305","Wayne County, GA",0.0318
"cty12079","Madison County, FL",0.0317
"cty48183","Gregg County, TX",0.0316
"cty72141","Utuado Municipio, PR",0.0316
"cty48145","Falls County, TX",0.0315
"cty13031","Bulloch County, GA",0.0314
"cty22017","Caddo Parish, LA",0.0313
"cty47075","Haywood County, TN",0.0313
"cty12107","Putnam County, FL",0.0313
"cty51670","Hopewell city, VA",0.0313
"cty13273","Terrell County, GA",0.0311
"cty13217","Newton County, GA",0.0311
"cty30087","Rosebud County, MT",0.031
"cty21041","Carroll County, KY",0.031
"cty51025","Brunswick County, VA",0.031
"cty05035","Crittenden County, AR",0.031
"cty13269","Taylor County, GA",0.031
"cty08031","Denver County, CO",0.0309
"cty20209","Wyandotte County, KS",0.0309
"cty22071","Orleans Parish, LA",0.0309
"cty48203","Harrison County, TX",0.0309
"cty13263","Talbot County, GA",0.0309
"cty28151","Washington County, MS",0.0309
"cty51680","Lynchburg city, VA",0.0308
"cty21013","Bell County, KY",0.0308
"cty13201","Miller County, GA",0.0306
"cty28027","Coahoma County, MS",0.0306
"cty13189","McDuffie County, GA",0.0306
"cty28105","Oktibbeha County, MS",0.0306
"cty13069","Coffee County, GA",0.0305
"cty13001","Appling County, GA",0.0304
"cty21197","Powell County, KY",0.0304
"cty48455","Trinity County, TX",0.0304
"cty22065","Madison Parish, LA",0.0303
"cty13245","Richmond County, GA",0.0302
"cty48363","Palo Pinto County, TX",0.0302
"cty45053","Jasper County, SC",0.0302
"cty13015","Bartow County, GA",0.0301
"cty48069","Castro County, TX",0.0301
"cty40077","Latimer County, OK",0.0299
"cty22117","Washington Parish, LA",0.0299
"cty13159","Jasper County, GA",0.0299
"cty48349","Navarro County, TX",0.0299
"cty13003","Atkinson County, GA",0.0299
"cty48181","Grayson County, TX",0.0298
"cty21147","McCreary County, KY",0.0298
"cty13063","Clayton County, GA",0.0298
"cty05017","Chicot County, AR",0.0298
"cty48025","Bee County, TX",0.0296
"cty48115","Dawson County, TX",0.0295
"cty28043","Grenada County, MS",0.0295
"cty47097","Lauderdale County, TN",0.0295
"cty13215","Muscogee County, GA",0.0294
"cty13279","Toombs County, GA",0.0294
"cty48507","Zavala County, TX",0.0293
"cty02050","Bethel Census Area, AK",0.0292
"cty48177","Gonzales County, TX",0.0292
"cty72097","Mayaguez Municipio, PR",0.0292
"cty48391","Refugio County, TX",0.0292
"cty48001","Anderson County, TX",0.029
"cty13115","Floyd County, GA",0.029
"cty48445","Terry County, TX",0.029
"cty13173","Lanier County, GA",0.029
"cty72077","Juncos Municipio, PR",0.0289
"cty48217","Hill County, TX",0.0289
"cty72013","Arecibo Municipio, PR",0.0289
"cty51147","Prince Edward County, VA",0.0288
"cty21231","Wayne County, KY",0.0288
"cty28083","Leflore County, MS",0.0288
"cty13285","Troup County, GA",0.0288
"cty02188","Northwest Arctic Borough, AK",0.0287
"cty48423","Smith County, TX",0.0287
"cty48079","Cochran County, TX",0.0287
"cty48213","Henderson County, TX",0.0286
"cty48225","Houston County, TX",0.0286
"cty13317","Wilkes County, GA",0.0286
"cty13131","Grady County, GA",0.0286
"cty12123","Taylor County, FL",0.0285
"cty48155","Foard County, TX",0.0285
"cty13033","Burke County, GA",0.0285
"cty13161","Jeff Davis County, GA",0.0284
"cty12075","Levy County, FL",0.0284
"cty16079","Shoshone County, ID",0.0284
"cty47037","Davidson County, TN",0.0283
"cty05123","St. Francis County, AR",0.0283
"cty51700","Newport News city, VA",0.0282
"cty22025","Catahoula Parish, LA",0.0282
"cty48189","Hale County, TX",0.028
"cty13071","Colquitt County, GA",0.028
"cty72027","Camuy Municipio, PR",0.0279
"cty13127","Glynn County, GA",0.0278
"cty28053","Humphreys County, MS",0.0278
"cty48123","DeWitt County, TX",0.0277
"cty45019","Charleston County, SC",0.0276
"cty13141","Hancock County, GA",0.0276
"cty48107","Crosby County, TX",0.0276
"cty12111","St. Lucie County, FL",0.0275
"cty05107","Phillips County, AR",0.0275
"cty22073","Ouachita Parish, LA",0.0275
"cty22049","Jackson Parish, LA",0.0275
"cty12043","Glades County, FL",0.0274
"cty45043","Georgetown County, SC",0.0274
"cty13059","Clarke County, GA",0.0274
"cty22035","East Carroll Parish, LA",0.0274
"cty37165","Scotland County, NC",0.0273
"cty01067","Henry County, AL",0.0273
"cty28075","Lauderdale County, MS",0.0273
"cty47157","Shelby County, TN",0.0272
"cty48437","Swisher County, TX",0.0271
"cty12047","Hamilton County, FL",0.0271
"cty40095","Marshall County, OK",0.027
"cty28029","Copiah County, MS",0.027
"cty22081","Red River Parish, LA",0.027
"cty31173","Thurston County, NE",0.0269
"cty12031","Duval County, FL",0.0269
"cty13251","Screven County, GA",0.0269
"cty48395","Robertson County, TX",0.0268
"cty51079","Greene County, VA",0.0268
"cty01087","Macon County, AL",0.0268
"cty48303","Lubbock County, TX",0.0267
"cty22067","Morehouse Parish, LA",0.0267
"cty13007","Baker County, GA",0.0267
"cty48237","Jack County, TX",0.0266
"cty48373","Polk County, TX",0.0265
"cty13255","Spalding County, GA",0.0265
"cty05069","Jefferson County, AR",0.0265
"cty21135","Lewis County, KY",0.0265
"cty13165","Jenkins County, GA",0.0264
"cty28135","Tallahatchie County, MS",0.0264
"cty48117","Deaf Smith County, TX",0.0264
"cty51193","Westmoreland County, VA",0.0264
"cty72057","Guayama Municipio, PR",0.0264
"cty51117","Mecklenburg County, VA",0.0264
"cty48245","Jefferson County, TX",0.0263
"cty48041","Brazos County, TX",0.0263
"cty40011","Blaine County, OK",0.0262
"cty13185","Lowndes County, GA",0.0262
"cty05011","Bradley County, AR",0.0262
"cty45009","Bamberg County, SC",0.0262
"cty13191","McIntosh County, GA",0.0262
"cty12005","Bay County, FL",0.0261
"cty28157","Wilkinson County, MS",0.0261
"cty28017","Chickasaw County, MS",0.0261
"cty13229","Pierce County, GA",0.0261
"cty13087","Decatur County, GA",0.0261
"cty08055","Huerfano County, CO",0.0261
"cty45069","Marlboro County, SC",0.026
"cty13133","Greene County, GA",0.026
"cty48073","Cherokee County, TX",0.026
"cty12133","Washington County, FL",0.026
"cty35039","Rio Arriba County, NM",0.0259
"cty55079","Milwaukee County, WI",0.0259
"cty29201","Scott County, MO",0.0259
"cty51071","Giles County, VA",0.0259
"cty12055","Highlands County, FL",0.0258
"cty13179","Liberty County, GA",0.0257
"cty45075","Orangeburg County, SC",0.0257
"cty29069","Dunklin County, MO",0.0257
"cty51139","Page County, VA",0.0257
"cty28133","Sunflower County, MS",0.0257
"cty02070","Dillingham Census Area, AK",0.0256
"cty02158","Kusilvak Census Area, AK",0.0256
"cty18097","Marion County, IN",0.0256
"cty13089","DeKalb County, GA",0.0256
"cty45049","Hampton County, SC",0.0256
"cty18177","Wayne County, IN",0.0256
"cty05139","Union County, AR",0.0255
"cty51089","Henry County, VA",0.0255
"cty12083","Marion County, FL",0.0254
"cty22101","St. Mary Parish, LA",0.0254
"cty12121","Suwannee County, FL",0.0254
"cty13309","Wheeler County, GA",0.0254
"cty22083","Richland Parish, LA",0.0254
"cty01119","Sumter County, AL",0.0254
"cty13253","Seminole County, GA",0.0253
"cty37093","Hoke County, NC",0.0252
"cty51083","Halifax County, VA",0.0252
"cty48351","Newton County, TX",0.0252
"cty47113","Madison County, TN",0.0251
"cty28125","Sharkey County, MS",0.0251
"cty48469","Victoria County, TX",0.0251
"cty48027","Bell County, TX",0.025
"cty13009","Baldwin County, GA",0.025
"cty13105","Elbert County, GA",0.025
"cty51175","Southampton County, VA",0.025
"cty48227","Howard County, TX",0.0249
"cty48347","Nacogdoches County, TX",0.0249
"cty42043","Dauphin County, PA",0.0248
"cty12061","Indian River County, FL",0.0248
"cty45029","Colleton County, SC",0.0248
"cty48083","Coleman County, TX",0.0247
"cty51155","Pulaski County, VA",0.0247
"cty04021","Pinal County, AZ",0.0246
"cty45079","Richland County, SC",0.0246
"cty12119","Sumter County, FL",0.0246
"cty48239","Jackson County, TX",0.0246
"cty05043","Drew County, AR",0.0246
"cty48387","Red River County, TX",0.0246
"cty45027","Clarendon County, SC",0.0246
"cty48319","Mason County, TX",0.0246
"cty21053","Clinton County, KY",0.0246
"cty05091","Miller County, AR",0.0246
"cty01101","Montgomery County, AL",0.0245
"cty48037","Bowie County, TX",0.0245
"cty05147","Woodruff County, AR",0.0245
"cty13297","Walton County, GA",0.0245
"cty45089","Williamsburg County, SC",0.0245
"cty48407","San Jacinto County, TX",0.0245
"cty22085","Sabine Parish, LA",0.0244
"cty48113","Dallas County, TX",0.0244
"cty45017","Calhoun County, SC",0.0244
"cty13175","Laurens County, GA",0.0244
"cty51650","Hampton city, VA",0.0243
"cty22045","Iberia Parish, LA",0.0243
"cty47015","Cannon County, TN",0.0243
"cty13035","Butts County, GA",0.0243
"cty13095","Dougherty County, GA",0.0243
"cty48231","Hunt County, TX",0.0243
"cty05119","Pulaski County, AR",0.0242
"cty13239","Quitman County, GA",0.0242
"cty21075","Fulton County, KY",0.0242
"cty51720","Norton city, VA",0.0242
"cty13005","Bacon County, GA",0.0242
"cty20061","Geary County, KS",0.0242
"cty40015","Caddo County, OK",0.0241
"cty48385","Real County, TX",0.0241
"cty04009","Graham County, AZ",0.024
"cty13233","Polk County, GA",0.024
"cty28021","Claiborne County, MS",0.024
"cty13143","Haralson County, GA",0.024
"cty28091","Marion County, MS",0.024
"cty29095","Jackson County, MO",0.0239
"cty45087","Union County, SC",0.0239
"cty13037","Calhoun County, GA",0.0239
"cty37091","Hertford County, NC",0.0239
"cty46031","Corson County, SD",0.0238
"cty24011","Caroline County, MD",0.0238
"cty47063","Hamblen County, TN",0.0238
"cty13121","Fulton County, GA",0.0237
"cty51159","Richmond County, VA",0.0237
"cty13287","Turner County, GA",0.0237
"cty29187","St. Francois County, MO",0.0237
"cty21077","Gallatin County, KY",0.0237
"cty50009","Essex County, VT",0.0236
"cty48313","Madison County, TX",0.0236
"cty51580","Covington city, VA",0.0236
"cty08121","Washington County, CO",0.0236
"cty38079","Rolette County, ND",0.0235
"cty22107","Tensas Parish, LA",0.0235
"cty45059","Laurens County, SC",0.0235
"cty13193","Macon County, GA",0.0234
"cty51820","Waynesboro city, VA",0.0234
"cty28023","Clarke County, MS",0.0234
"cty22079","Rapides Parish, LA",0.0233
"cty48031","Blanco County, TX",0.0233
"cty48265","Kerr County, TX",0.0233
"cty29173","Ralls County, MO",0.0233
"cty37007","Anson County, NC",0.0233
"cty12001","Alachua County, FL",0.0232
"cty21017","Bourbon County, KY",0.0232
"cty01121","Talladega County, AL",0.0232
"cty72153","Yauco Municipio, PR",0.0232
"cty55001","Adams County, WI",0.0231
"cty40045","Ellis County, OK",0.0231
"cty08011","Bent County, CO",0.0231
"cty51045","Craig County, VA",0.0231
"cty48463","Uvalde County, TX",0.0231
"cty34001","Atlantic County, NJ",0.023
"cty48051","Burleson County, TX",0.023
"cty51029","Buckingham County, VA",0.023
"cty01005","Barbour County, AL",0.0229
"cty13221","Oglethorpe County, GA",0.0229
"cty51183","Sussex County, VA",0.0229
"cty08049","Grand County, CO",0.0229
"cty40099","Murray County, OK",0.0228
"cty13149","Heard County, GA",0.0228
"cty40141","Tillman County, OK",0.0228
"cty10001","Kent County, DE",0.0227
"cty51550","Chesapeake city, VA",0.0227
"cty01109","Pike County, AL",0.0227
"cty48093","Comanche County, TX",0.0227
"cty51036","Charles City County, VA",0.0227
"cty47049","Fentress County, TN",0.0227
"cty10005","Sussex County, DE",0.0226
"cty13079","Crawford County, GA",0.0226
"cty22021","Caldwell Parish, LA",0.0226
"cty48279","Lamb County, TX",0.0226
"cty51111","Lunenburg County, VA",0.0226
"cty29175","Randolph County, MO",0.0225
"cty47121","Meigs County, TN",0.0225
"cty05001","Arkansas County, AR",0.0225
"cty51131","Northampton County, VA",0.0225
"cty48049","Brown County, TX",0.0225
"cty28049","Hinds County, MS",0.0225
"cty08123","Weld County, CO",0.0224
"cty28155","Webster County, MS",0.0224
"cty47041","DeKalb County, TN",0.0224
"cty22043","Grant Parish, LA",0.0224
"cty45041","Florence County, SC",0.0224
"cty13181","Lincoln County, GA",0.0224
"cty48411","San Saba County, TX",0.0224
"cty04012","La Paz County, AZ",0.0223
"cty28099","Neshoba County, MS",0.0222
"cty37129","New Hanover County, NC",0.0222
"cty12081","Manatee County, FL",0.0222
"cty45037","Edgefield County, SC",0.0222
"cty01105","Perry County, AL",0.0221
"cty37123","Montgomery County, NC",0.0221
"cty01035","Conecuh County, AL",0.0221
"cty45025","Chesterfield County, SC",0.0221
"cty28163","Yazoo County, MS",0.0221
"cty01039","Covington County, AL",0.0219
"cty08065","Lake County, CO",0.0219
"cty32023","Nye County, NV",0.0219
"cty28031","Covington County, MS",0.0219
"cty28069","Kemper County, MS",0.0219
"cty05079","Lincoln County, AR",0.0219
"cty13053","Chattahoochee County, GA",0.0219
"cty51167","Russell County, VA",0.0219
"cty08101","Pueblo County, CO",0.0218
"cty01007","Bibb County, AL",0.0218
"cty21213","Simpson County, KY",0.0218
"cty48321","Matagorda County, TX",0.0218
"cty37181","Vance County, NC",0.0218
"cty28081","Lee County, MS",0.0218
"cty51113","Madison County, VA",0.0218
"cty12063","Jackson County, FL",0.0218
"cty26079","Kalkaska County, MI",0.0218
"cty48331","Milam County, TX",0.0218
"cty48081","Coke County, TX",0.0218
"cty48257","Kaufman County, TX",0.0217
"cty48055","Caldwell County, TX",0.0217
"cty20023","Cheyenne County, KS",0.0217
"cty13169","Jones County, GA",0.0217
"cty01053","Escambia County, AL",0.0216
"cty48451","Tom Green County, TX",0.0216
"cty48355","Nueces County, TX",0.0216
"cty47045","Dyer County, TN",0.0216
"cty47095","Lake County, TN",0.0215
"cty13237","Putnam County, GA",0.0215
"cty48409","San Patricio County, TX",0.0215
"cty22105","Tangipahoa Parish, LA",0.0215
"cty47053","Gibson County, TN",0.0215
"cty48459","Upshur County, TX",0.0215
"cty22121","West Baton Rouge Parish, LA",0.0215
"cty51678","Lexington city, VA",0.0214
"cty01057","Fayette County, AL",0.0214
"cty47177","Warren County, TN",0.0214
"cty45091","York County, SC",0.0213
"cty45057","Lancaster County, SC",0.0213
"cty48403","Sabine County, TX",0.0213
"cty01055","Etowah County, AL",0.0213
"cty13315","Wilcox County, GA",0.0213
"cty21095","Harlan County, KY",0.0213
"cty21201","Robertson County, KY",0.0213
"cty48109","Culberson County, TX",0.0213
"cty48223","Hopkins County, TX",0.0213
"cty40109","Oklahoma County, OK",0.0212
"cty29143","New Madrid County, MO",0.0212
"cty45023","Chester County, SC",0.0212
"cty48473","Waller County, TX",0.0212
"cty13125","Glascock County, GA",0.0212
"cty48341","Moore County, TX",0.0212
"cty28113","Pike County, MS",0.0212
"cty12085","Martin County, FL",0.0212
"cty46041","Dewey County, SD",0.0211
"cty40069","Johnston County, OK",0.0211
"cty08001","Adams County, CO",0.0211
"cty12069","Lake County, FL",0.0211
"cty37015","Bertie County, NC",0.0211
"cty37045","Cleveland County, NC",0.0211
"cty22033","East Baton Rouge Parish, LA",0.021
"cty12073","Leon County, FL",0.021
"cty40057","Harmon County, OK",0.021
"cty22111","Union Parish, LA",0.021
"cty48005","Angelina County, TX",0.021
"cty28051","Holmes County, MS",0.021
"cty12013","Calhoun County, FL",0.021
"cty21167","Mercer County, KY",0.021
"cty47013","Campbell County, TN",0.021
"cty02275","Wrangell City and Borough, AK",0.0209
"cty13097","Douglas County, GA",0.0209
"cty16073","Owyhee County, ID",0.0209
"cty48089","Colorado County, TX",0.0209
"cty28097","Montgomery County, MS",0.0209
"cty40133","Seminole County, OK",0.0208
"cty45047","Greenwood County, SC",0.0208
"cty13307","Webster County, GA",0.0208
"cty24045","Wicomico County, MD",0.0208
"cty05065","Izard County, AR",0.0208
"cty13199","Meriwether County, GA",0.0208
"cty40039","Custer County, OK",0.0207
"cty01097","Mobile County, AL",0.0207
"cty48147","Fannin County, TX",0.0207
"cty51021","Bland County, VA",0.0207
"cty12017","Citrus County, FL",0.0207
"cty45005","Allendale County, SC",0.0207
"cty48307","McCulloch County, TX",0.0207
"cty51685","Manassas Park city, VA",0.0207
"cty37115","Madison County, NC",0.0207
"cty48243","Jeff Davis County, TX",0.0207
"cty29021","Buchanan County, MO",0.0207
"cty24033","Prince George's County, MD",0.0206
"cty48353","Nolan County, TX",0.0206
"cty13207","Monroe County, GA",0.0206
"cty51065","Fluvanna County, VA",0.0206
"cty13319","Wilkinson County, GA",0.0206
"cty05081","Little River County, AR",0.0206
"cty30005","Blaine County, MT",0.0205
"cty48453","Travis County, TX",0.0205
"cty48427","Starr County, TX",0.0205
"cty17115","Macon County, IL",0.0205
"cty48401","Rusk County, TX",0.0205
"cty37159","Rowan County, NC",0.0205
"cty48487","Wilbarger County, TX",0.0205
"cty51109","Louisa County, VA",0.0205
"cty40113","Osage County, OK",0.0204
"cty13107","Emanuel County, GA",0.0204
"cty38007","Billings County, ND",0.0204
"cty54047","McDowell County, WV",0.0204
"cty48457","Tyler County, TX",0.0204
"cty48185","Grimes County, TX",0.0204
"cty13021","Bibb County, GA",0.0204
"cty48477","Washington County, TX",0.0204
"cty48441","Taylor County, TX",0.0203
"cty18053","Grant County, IN",0.0203
"cty51185","Tazewell County, VA",0.0203
"cty13077","Coweta County, GA",0.0203
"cty13163","Jefferson County, GA",0.0202
"cty51790","Staunton city, VA",0.0202
"cty51057","Essex County, VA",0.0202
"cty01069","Houston County, AL",0.0202
"cty47055","Giles County, TN",0.0202
"cty27087","Mahnomen County, MN",0.0201
"cty48471","Walker County, TX",0.0201
"cty54023","Grant County, WV",0.0201
"cty51099","King George County, VA",0.0201
"cty48133","Eastland County, TX",0.0201
"cty47029","Cocke County, TN",0.0201
"cty04015","Mohave County, AZ",0.02
"cty37155","Robeson County, NC",0.02
"cty05131","Sebastian County, AR",0.02
"cty12105","Polk County, FL",0.02
"cty40033","Cotton County, OK",0.02
"cty47155","Sevier County, TN",0.02
"cty47133","Overton County, TN",0.02
"cty12007","Bradford County, FL",0.02
"cty13295","Walker County, GA",0.02
"cty18169","Wabash County, IN",0.02
"cty51520","Bristol city, VA",0.02
"cty01073","Jefferson County, AL",0.0199
"cty05067","Jackson County, AR",0.0199
"cty21145","McCracken County, KY",0.0199
"cty54027","Hampshire County, WV",0.0199
"cty45083","Spartanburg County, SC",0.0199
"cty29023","Butler County, MO",0.0199
"cty18039","Elkhart County, IN",0.0198
"cty40107","Okfuskee County, OK",0.0198
"cty47089","Jefferson County, TN",0.0198
"cty37065","Edgecombe County, NC",0.0198
"cty39047","Fayette County, OH",0.0198
"cty01111","Randolph County, AL",0.0198
"cty37095","Hyde County, NC",0.0198
"cty13225","Peach County, GA",0.0198
"cty47003","Bedford County, TN",0.0198
"cty12015","Charlotte County, FL",0.0198
"cty48263","Kent County, TX",0.0198
"cty28035","Forrest County, MS",0.0198
"cty48337","Montague County, TX",0.0198
"cty47081","Hickman County, TN",0.0197
"cty28001","Adams County, MS",0.0197
"cty47137","Pickett County, TN",0.0197
"cty35037","Quay County, NM",0.0197
"cty13227","Pickens County, GA",0.0197
"cty37079","Greene County, NC",0.0197
"cty45065","McCormick County, SC",0.0197
"cty48419","Shelby County, TX",0.0197
"cty37107","Lenoir County, NC",0.0196
"cty51033","Caroline County, VA",0.0196
"cty13129","Gordon County, GA",0.0196
"cty18095","Madison County, IN",0.0196
"cty45021","Cherokee County, SC",0.0196
"cty22041","Franklin Parish, LA",0.0196
"cty48207","Haskell County, TX",0.0196
"cty29127","Marion County, MO",0.0196
"cty24019","Dorchester County, MD",0.0196
"cty48097","Cooke County, TX",0.0195
"cty26021","Berrien County, MI",0.0195
"cty13281","Towns County, GA",0.0195
"cty45081","Saluda County, SC",0.0195
"cty48343","Morris County, TX",0.0195
"cty21225","Union County, KY",0.0195
"cty47107","McMinn County, TN",0.0195
"cty22127","Winn Parish, LA",0.0195
"cty48067","Cass County, TX",0.0195
"cty48379","Rains County, TX",0.0195
"cty38005","Benson County, ND",0.0194
"cty35005","Chaves County, NM",0.0194
"cty16027","Canyon County, ID",0.0194
"cty47025","Claiborne County, TN",0.0194
"cty21165","Menifee County, KY",0.0194
"cty20017","Chase County, KS",0.0194
"cty45011","Barnwell County, SC",0.0194
"cty28065","Jefferson Davis County, MS",0.0194
"cty21109","Jackson County, KY",0.0194
"cty46109","Roberts County, SD",0.0193
"cty28101","Newton County, MS",0.0193
"cty37081","Guilford County, NC",0.0193
"cty18145","Shelby County, IN",0.0193
"cty05003","Ashley County, AR",0.0193
"cty05039","Dallas County, AR",0.0193
"cty51195","Wise County, VA",0.0193
"cty01013","Butler County, AL",0.0193
"cty35009","Curry County, NM",0.0193
"cty48201","Harris County, TX",0.0192
"cty13171","Lamar County, GA",0.0192
"cty48127","Dimmit County, TX",0.0192
"cty51067","Franklin County, VA",0.0192
"cty37141","Pender County, NC",0.0192
"cty48345","Motley County, TX",0.0192
"cty37063","Durham County, NC",0.0191
"cty39145","Scioto County, OH",0.0191
"cty10003","New Castle County, DE",0.0191
"cty47167","Tipton County, TN",0.0191
"cty24039","Somerset County, MD",0.0191
"cty13139","Hall County, GA",0.0191
"cty48465","Val Verde County, TX",0.0191
"cty29181","Ripley County, MO",0.0191
"cty29171","Putnam County, MO",0.0191
"cty53003","Asotin County, WA",0.0191
"cty47057","Grainger County, TN",0.0191
"cty46069","Hyde County, SD",0.0191
"cty13119","Franklin County, GA",0.0191
"cty12101","Pasco County, FL",0.019
"cty48167","Galveston County, TX",0.019
"cty48291","Liberty County, TX",0.019
"cty22029","Concordia Parish, LA",0.019
"cty21001","Adair County, KY",0.019
"cty28093","Marshall County, MS",0.019
"cty48247","Jim Hogg County, TX",0.019
"cty22063","Livingston Parish, LA",0.019
"cty08027","Custer County, CO",0.019
"cty40125","Pottawatomie County, OK",0.0189
"cty40101","Muskogee County, OK",0.0189
"cty01085","Lowndes County, AL",0.0189
"cty47175","Van Buren County, TN",0.0189
"cty01063","Greene County, AL",0.0189
"cty48405","San Augustine County, TX",0.0189
"cty13045","Carroll County, GA",0.0189
"cty40149","Washita County, OK",0.0189
"cty45039","Fairfield County, SC",0.0189
"cty29025","Caldwell County, MO",0.0189
"cty29207","Stoddard County, MO",0.0188
"cty54101","Webster County, WV",0.0188
"cty28063","Jefferson County, MS",0.0188
"cty48467","Van Zandt County, TX",0.0188
"cty08003","Alamosa County, CO",0.0188
"cty21019","Boyd County, KY",0.0188
"cty48179","Gray County, TX",0.0188
"cty18125","Pike County, IN",0.0188
"cty13027","Brooks County, GA",0.0188
"cty48449","Titus County, TX",0.0188
"cty48029","Bexar County, TX",0.0187
"cty40143","Tulsa County, OK",0.0187
"cty48139","Ellis County, TX",0.0187
"cty28095","Monroe County, MS",0.0187
"cty01011","Bullock County, AL",0.0187
"cty51053","Dinwiddie County, VA",0.0187
"cty05103","Ouachita County, AR",0.0187
"cty22019","Calcasieu Parish, LA",0.0186
"cty08089","Otero County, CO",0.0186
"cty51047","Culpeper County, VA",0.0186
"cty51119","Middlesex County, VA",0.0186
"cty18041","Fayette County, IN",0.0186
"cty37051","Cumberland County, NC",0.0185
"cty05041","Desha County, AR",0.0185
"cty18075","Jay County, IN",0.0185
"cty12059","Holmes County, FL",0.0185
"cty45071","Newberry County, SC",0.0185
"cty02290","Yukon-Koyukuk Census Area, AK",0.0184
"cty34013","Essex County, NJ",0.0184
"cty48439","Tarrant County, TX",0.0184
"cty47123","Monroe County, TN",0.0184
"cty37131","Northampton County, NC",0.0184
"cty51197","Wythe County, VA",0.0184
"cty48365","Panola County, TX",0.0184
"cty45067","Marion County, SC",0.0184
"cty35045","San Juan County, NM",0.0183
"cty32003","Clark County, NV",0.0183
"cty47149","Rutherford County, TN",0.0183
"cty48087","Collingsworth County, TX",0.0183
