"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty36115","Washington County, NY",0.8694
"cty20095","Kingman County, KS",0.8693
"cty26075","Jackson County, MI",0.8692
"cty21045","Casey County, KY",0.8692
"cty18075","Jay County, IN",0.8692
"cty34017","Hudson County, NJ",0.8691
"cty27141","Sherburne County, MN",0.8691
"cty37187","Washington County, NC",0.8691
"cty08027","Custer County, CO",0.8691
"cty12129","Wakulla County, FL",0.869
"cty18071","Jackson County, IN",0.869
"cty46009","Bon Homme County, SD",0.8689
"cty39127","Perry County, OH",0.8689
"cty47145","Roane County, TN",0.8688
"cty45027","Clarendon County, SC",0.8688
"cty46015","Brule County, SD",0.8688
"cty55013","Burnett County, WI",0.8687
"cty47059","Greene County, TN",0.8687
"cty22011","Beauregard Parish, LA",0.8687
"cty06083","Santa Barbara County, CA",0.8686
"cty47081","Hickman County, TN",0.8685
"cty26105","Mason County, MI",0.8685
"cty21239","Woodford County, KY",0.8685
"cty39029","Columbiana County, OH",0.8685
"cty18105","Monroe County, IN",0.8685
"cty48191","Hall County, TX",0.8684
"cty21191","Pendleton County, KY",0.8684
"cty27025","Chisago County, MN",0.8684
"cty38011","Bowman County, ND",0.8683
"cty16073","Owyhee County, ID",0.8683
"cty29021","Buchanan County, MO",0.8683
"cty42053","Forest County, PA",0.8683
"cty21097","Harrison County, KY",0.8683
"cty53009","Clallam County, WA",0.8682
"cty42023","Cameron County, PA",0.8682
"cty21093","Hardin County, KY",0.868
"cty31035","Clay County, NE",0.868
"cty16031","Cassia County, ID",0.868
"cty51510","Alexandria city, VA",0.868
"cty54059","Mingo County, WV",0.868
"cty05033","Crawford County, AR",0.8678
"cty47171","Unicoi County, TN",0.8678
"cty38099","Walsh County, ND",0.8678
"cty05131","Sebastian County, AR",0.8677
"cty34001","Atlantic County, NJ",0.8677
"cty48497","Wise County, TX",0.8677
"cty54065","Morgan County, WV",0.8677
"cty39061","Hamilton County, OH",0.8676
"cty40145","Wagoner County, OK",0.8675
"cty39091","Logan County, OH",0.8675
"cty48485","Wichita County, TX",0.8674
"cty06049","Modoc County, CA",0.8674
"cty48043","Brewster County, TX",0.8674
"cty55078","Menominee County, WI",0.8673
"cty30041","Hill County, MT",0.8672
"cty55083","Oconto County, WI",0.8672
"cty46003","Aurora County, SD",0.8672
"cty13247","Rockdale County, GA",0.8672
"cty13053","Chattahoochee County, GA",0.8672
"cty27107","Norman County, MN",0.8672
"cty40073","Kingfisher County, OK",0.8671
"cty39105","Meigs County, OH",0.8671
"cty29049","Clinton County, MO",0.8671
"cty31023","Butler County, NE",0.8671
"cty26095","Luce County, MI",0.867
"cty21127","Lawrence County, KY",0.867
"cty55001","Adams County, WI",0.8669
"cty47009","Blount County, TN",0.8669
"cty21007","Ballard County, KY",0.8669
"cty42081","Lycoming County, PA",0.8669
"cty19139","Muscatine County, IA",0.8668
"cty42121","Venango County, PA",0.8668
"cty47027","Clay County, TN",0.8668
"cty39171","Williams County, OH",0.8668
"cty08047","Gilpin County, CO",0.8667
"cty40013","Bryan County, OK",0.8666
"cty04005","Coconino County, AZ",0.8666
"cty26155","Shiawassee County, MI",0.8666
"cty27077","Lake of the Woods County, MN",0.8666
"cty54029","Hancock County, WV",0.8666
"cty56029","Park County, WY",0.8666
"cty26005","Allegan County, MI",0.8665
"cty13153","Houston County, GA",0.8665
"cty39125","Paulding County, OH",0.8665
"cty27079","Le Sueur County, MN",0.8665
"cty41027","Hood River County, OR",0.8665
"cty21207","Russell County, KY",0.8665
"cty39129","Pickaway County, OH",0.8664
"cty29017","Bollinger County, MO",0.8664
"cty31047","Dawson County, NE",0.8664
"cty39005","Ashland County, OH",0.8664
"cty21123","Larue County, KY",0.8664
"cty39149","Shelby County, OH",0.8664
"cty20171","Scott County, KS",0.8663
"cty51093","Isle of Wight County, VA",0.8663
"cty42093","Montour County, PA",0.8663
"cty47105","Loudon County, TN",0.8663
"cty35035","Otero County, NM",0.8662
"cty23013","Knox County, ME",0.8662
"cty18121","Parke County, IN",0.8662
"cty33013","Merrimack County, NH",0.8661
"cty08125","Yuma County, CO",0.8661
"cty18107","Montgomery County, IN",0.8661
"cty51167","Russell County, VA",0.8661
"cty01031","Coffee County, AL",0.866
"cty22093","St. James Parish, LA",0.866
"cty53073","Whatcom County, WA",0.8658
"cty39089","Licking County, OH",0.8658
"cty20189","Stevens County, KS",0.8658
"cty05103","Ouachita County, AR",0.8658
"cty55077","Marquette County, WI",0.8657
"cty51005","Alleghany County, VA",0.8657
"cty47125","Montgomery County, TN",0.8655
"cty37049","Craven County, NC",0.8655
"cty12045","Gulf County, FL",0.8655
"cty21061","Edmonson County, KY",0.8655
"cty26029","Charlevoix County, MI",0.8654
"cty21087","Green County, KY",0.8654
"cty18089","Lake County, IN",0.8653
"cty05109","Pike County, AR",0.8652
"cty38063","Nelson County, ND",0.8652
"cty42085","Mercer County, PA",0.8652
"cty29029","Camden County, MO",0.8652
"cty39095","Lucas County, OH",0.8651
"cty39035","Cuyahoga County, OH",0.8651
"cty17183","Vermilion County, IL",0.8651
"cty21021","Boyle County, KY",0.8651
"cty01051","Elmore County, AL",0.8651
"cty46103","Pennington County, SD",0.8649
"cty26031","Cheboygan County, MI",0.8649
"cty47131","Obion County, TN",0.8649
"cty30073","Pondera County, MT",0.8648
"cty47189","Wilson County, TN",0.8648
"cty20173","Sedgwick County, KS",0.8647
"cty46123","Tripp County, SD",0.8646
"cty55057","Juneau County, WI",0.8646
"cty16049","Idaho County, ID",0.8645
"cty29117","Livingston County, MO",0.8645
"cty18115","Ohio County, IN",0.8645
"cty13029","Bryan County, GA",0.8644
"cty05021","Clay County, AR",0.8644
"cty51036","Charles City County, VA",0.8644
"cty38001","Adams County, ND",0.8643
"cty21183","Ohio County, KY",0.8643
"cty41033","Josephine County, OR",0.8642
"cty36101","Steuben County, NY",0.8642
"cty33007","Coos County, NH",0.8641
"cty46027","Clay County, SD",0.864
"cty06099","Stanislaus County, CA",0.864
"cty17165","Saline County, IL",0.864
"cty04017","Navajo County, AZ",0.8639
"cty01081","Lee County, AL",0.8639
"cty08071","Las Animas County, CO",0.8639
"cty08085","Montrose County, CO",0.8639
"cty27035","Crow Wing County, MN",0.8639
"cty47035","Cumberland County, TN",0.8639
"cty37079","Greene County, NC",0.8639
"cty08021","Conejos County, CO",0.8638
"cty05063","Independence County, AR",0.8637
"cty18001","Adams County, IN",0.8637
"cty42041","Cumberland County, PA",0.8637
"cty31021","Burt County, NE",0.8636
"cty48421","Sherman County, TX",0.8635
"cty30089","Sanders County, MT",0.8635
"cty19035","Cherokee County, IA",0.8635
"cty27005","Becker County, MN",0.8634
"cty51091","Highland County, VA",0.8634
"cty47163","Sullivan County, TN",0.8634
"cty37021","Buncombe County, NC",0.8633
"cty37067","Forsyth County, NC",0.8633
"cty38053","McKenzie County, ND",0.8632
"cty46045","Edmunds County, SD",0.8632
"cty36011","Cayuga County, NY",0.8632
"cty19155","Pottawattamie County, IA",0.8631
"cty51595","Emporia city, VA",0.8631
"cty47147","Robertson County, TN",0.8631
"cty21217","Taylor County, KY",0.8631
"cty29027","Callaway County, MO",0.8631
"cty05051","Garland County, AR",0.863
"cty06103","Tehama County, CA",0.863
"cty51690","Martinsville city, VA",0.863
"cty26151","Sanilac County, MI",0.863
"cty05121","Randolph County, AR",0.863
"cty48147","Fannin County, TX",0.8629
"cty06087","Santa Cruz County, CA",0.8629
"cty35027","Lincoln County, NM",0.8629
"cty48471","Walker County, TX",0.8628
"cty17007","Boone County, IL",0.8628
"cty47067","Hancock County, TN",0.8628
"cty29045","Clark County, MO",0.8628
"cty31049","Deuel County, NE",0.8627
"cty37197","Yadkin County, NC",0.8627
"cty47073","Hawkins County, TN",0.8627
"cty26015","Barry County, MI",0.8627
"cty21157","Marshall County, KY",0.8627
"cty05081","Little River County, AR",0.8627
"cty41051","Multnomah County, OR",0.8626
"cty29169","Pulaski County, MO",0.8626
"cty26073","Isabella County, MI",0.8625
"cty20079","Harvey County, KS",0.8625
"cty29173","Ralls County, MO",0.8625
"cty20125","Montgomery County, KS",0.8624
"cty45081","Saluda County, SC",0.8624
"cty48059","Callahan County, TX",0.8624
"cty56041","Uinta County, WY",0.8623
"cty18055","Greene County, IN",0.8623
"cty46107","Potter County, SD",0.8622
"cty26147","St. Clair County, MI",0.8621
"cty34011","Cumberland County, NJ",0.8621
"cty42067","Juniata County, PA",0.8621
"cty39025","Clermont County, OH",0.862
"cty48277","Lamar County, TX",0.8619
"cty53041","Lewis County, WA",0.8619
"cty32033","White Pine County, NV",0.8619
"cty29149","Oregon County, MO",0.8619
"cty12115","Sarasota County, FL",0.8618
"cty47087","Jackson County, TN",0.8618
"cty39139","Richland County, OH",0.8618
"cty48333","Mills County, TX",0.8618
"cty37043","Clay County, NC",0.8618
"cty45045","Greenville County, SC",0.8617
"cty13117","Forsyth County, GA",0.8617
"cty05013","Calhoun County, AR",0.8616
"cty16085","Valley County, ID",0.8616
"cty18015","Carroll County, IN",0.8615
"cty40099","Murray County, OK",0.8614
"cty06055","Napa County, CA",0.8614
"cty47113","Madison County, TN",0.8614
"cty37177","Tyrrell County, NC",0.8614
"cty06069","San Benito County, CA",0.8614
"cty47127","Moore County, TN",0.8614
"cty30077","Powell County, MT",0.8614
"cty47019","Carter County, TN",0.8614
"cty18035","Delaware County, IN",0.8614
"cty48209","Hays County, TX",0.8613
"cty47123","Monroe County, TN",0.8612
"cty29007","Audrain County, MO",0.8612
"cty51077","Grayson County, VA",0.8612
"cty31043","Dakota County, NE",0.8611
"cty40129","Roger Mills County, OK",0.8611
"cty47143","Rhea County, TN",0.861
"cty20165","Rush County, KS",0.861
"cty05039","Dallas County, AR",0.8609
"cty35033","Mora County, NM",0.8609
"cty27057","Hubbard County, MN",0.8608
"cty47177","Warren County, TN",0.8608
"cty20155","Reno County, KS",0.8607
"cty42117","Tioga County, PA",0.8606
"cty39119","Muskingum County, OH",0.8606
"cty48225","Houston County, TX",0.8606
"cty22075","Plaquemines Parish, LA",0.8606
"cty47031","Coffee County, TN",0.8605
"cty08017","Cheyenne County, CO",0.8605
"cty18125","Pike County, IN",0.8605
"cty18179","Wells County, IN",0.8605
"cty08015","Chaffee County, CO",0.8605
"cty02013","Aleutians East Borough, AK",0.8604
"cty48367","Parker County, TX",0.8604
"cty08081","Moffat County, CO",0.8604
"cty48473","Waller County, TX",0.8603
"cty26101","Manistee County, MI",0.8603
"cty37167","Stanly County, NC",0.8603
"cty21067","Fayette County, KY",0.8603
"cty31169","Thayer County, NE",0.8602
"cty18163","Vanderburgh County, IN",0.8601
"cty27059","Isanti County, MN",0.8601
"cty33009","Grafton County, NH",0.8601
"cty20113","McPherson County, KS",0.8601
"cty47179","Washington County, TN",0.86
"cty05083","Logan County, AR",0.86
"cty12021","Collier County, FL",0.86
"cty41023","Grant County, OR",0.86
"cty41019","Douglas County, OR",0.8599
"cty26049","Genesee County, MI",0.8599
"cty05089","Marion County, AR",0.8599
"cty26057","Gratiot County, MI",0.8599
"cty13201","Miller County, GA",0.8598
"cty29161","Phelps County, MO",0.8598
"cty47029","Cocke County, TN",0.8598
"cty51165","Rockingham County, VA",0.8598
"cty51081","Greensville County, VA",0.8598
"cty47103","Lincoln County, TN",0.8598
"cty53015","Cowlitz County, WA",0.8597
"cty47161","Stewart County, TN",0.8597
"cty51820","Waynesboro city, VA",0.8597
"cty17101","Lawrence County, IL",0.8597
"cty20115","Marion County, KS",0.8597
"cty31029","Chase County, NE",0.8596
"cty37141","Pender County, NC",0.8596
"cty01071","Jackson County, AL",0.8595
"cty27029","Clearwater County, MN",0.8594
"cty39135","Preble County, OH",0.8594
"cty18061","Harrison County, IN",0.8594
"cty29186","Ste. Genevieve County, MO",0.8594
"cty53011","Clark County, WA",0.8593
"cty21235","Whitley County, KY",0.8593
"cty21133","Letcher County, KY",0.8593
"cty21233","Webster County, KY",0.8593
"cty21177","Muhlenberg County, KY",0.8593
"cty21111","Jefferson County, KY",0.8592
"cty37081","Guilford County, NC",0.8592
"cty05145","White County, AR",0.8592
"cty31077","Greeley County, NE",0.8591
"cty47085","Humphreys County, TN",0.8591
"cty39141","Ross County, OH",0.859
"cty51007","Amelia County, VA",0.859
"cty18141","St. Joseph County, IN",0.8589
"cty18053","Grant County, IN",0.8589
"cty05001","Arkansas County, AR",0.8588
"cty41047","Marion County, OR",0.8587
"cty54013","Calhoun County, WV",0.8587
"cty48379","Rains County, TX",0.8587
"cty49045","Tooele County, UT",0.8586
"cty54025","Greenbrier County, WV",0.8586
"cty30005","Blaine County, MT",0.8585
"cty12017","Citrus County, FL",0.8585
"cty48475","Ward County, TX",0.8585
"cty46061","Hanson County, SD",0.8585
"cty31041","Custer County, NE",0.8585
"cty16045","Gem County, ID",0.8584
"cty55053","Jackson County, WI",0.8583
"cty30057","Madison County, MT",0.8583
"cty06071","San Bernardino County, CA",0.8582
"cty47057","Grainger County, TN",0.8582
"cty40105","Nowata County, OK",0.8581
"cty18077","Jefferson County, IN",0.8581
"cty46109","Roberts County, SD",0.858
"cty40143","Tulsa County, OK",0.858
"cty49023","Juab County, UT",0.858
"cty25025","Suffolk County, MA",0.8579
"cty02198","Prince of Wales-Hyder Census Area, AK",0.8579
"cty39113","Montgomery County, OH",0.8579
"cty27001","Aitkin County, MN",0.8579
"cty01057","Fayette County, AL",0.8579
"cty20027","Clay County, KS",0.8579
"cty04003","Cochise County, AZ",0.8578
"cty51011","Appomattox County, VA",0.8578
"cty26143","Roscommon County, MI",0.8578
"cty16067","Minidoka County, ID",0.8578
"cty48425","Somervell County, TX",0.8578
"cty18009","Blackford County, IN",0.8577
"cty18151","Steuben County, IN",0.8576
"cty26121","Muskegon County, MI",0.8575
"cty18135","Randolph County, IN",0.8575
"cty05119","Pulaski County, AR",0.8574
"cty29099","Jefferson County, MO",0.8574
"cty29013","Bates County, MO",0.8574
"cty18023","Clinton County, IN",0.8574
"cty47053","Gibson County, TN",0.8573
"cty45035","Dorchester County, SC",0.8572
"cty26157","Tuscola County, MI",0.8572
"cty39079","Jackson County, OH",0.8572
"cty37001","Alamance County, NC",0.8571
"cty53025","Grant County, WA",0.857
"cty17071","Henderson County, IL",0.857
"cty48281","Lampasas County, TX",0.857
"cty21145","McCracken County, KY",0.857
"cty29087","Holt County, MO",0.857
"cty08077","Mesa County, CO",0.8569
"cty05127","Scott County, AR",0.8569
"cty18103","Miami County, IN",0.8568
"cty46059","Hand County, SD",0.8568
"cty22005","Ascension Parish, LA",0.8567
"cty37119","Mecklenburg County, NC",0.8566
"cty29135","Moniteau County, MO",0.8566
"cty37025","Cabarrus County, NC",0.8566
"cty05065","Izard County, AR",0.8565
"cty51660","Harrisonburg city, VA",0.8565
"cty21205","Rowan County, KY",0.8565
"cty08029","Delta County, CO",0.8564
"cty48195","Hansford County, TX",0.8563
"cty41045","Malheur County, OR",0.8563
"cty37053","Currituck County, NC",0.8563
"cty37133","Onslow County, NC",0.8562
"cty21221","Trigg County, KY",0.8562
"cty18133","Putnam County, IN",0.8562
"cty18099","Marshall County, IN",0.8562
"cty37179","Union County, NC",0.8561
"cty29111","Lewis County, MO",0.8561
"cty29167","Polk County, MO",0.8561
"cty54021","Gilmer County, WV",0.8561
"cty35006","Cibola County, NM",0.856
"cty42101","Philadelphia County, PA",0.856
"cty21181","Nicholas County, KY",0.856
"cty32007","Elko County, NV",0.8559
"cty51700","Newport News city, VA",0.8559
"cty05067","Jackson County, AR",0.8559
"cty48089","Colorado County, TX",0.8559
"cty17125","Mason County, IL",0.8559
"cty26025","Calhoun County, MI",0.8559
"cty40153","Woodward County, OK",0.8558
"cty12011","Broward County, FL",0.8558
"cty35049","Santa Fe County, NM",0.8557
"cty51678","Lexington city, VA",0.8557
"cty05115","Pope County, AR",0.8557
"cty17181","Union County, IL",0.8557
"cty40059","Harper County, OK",0.8557
"cty48107","Crosby County, TX",0.8557
"cty55105","Rock County, WI",0.8556
"cty40147","Washington County, OK",0.8556
"cty20163","Rooks County, KS",0.8556
"cty39039","Defiance County, OH",0.8556
"cty30029","Flathead County, MT",0.8555
"cty06077","San Joaquin County, CA",0.8555
"cty23017","Oxford County, ME",0.8555
"cty39065","Hardin County, OH",0.8554
"cty31087","Hitchcock County, NE",0.8554
"cty48187","Guadalupe County, TX",0.8553
"cty47155","Sevier County, TN",0.8553
"cty18093","Lawrence County, IN",0.8553
"cty29081","Harrison County, MO",0.8553
"cty32031","Washoe County, NV",0.8552
"cty06047","Merced County, CA",0.8552
"cty40047","Garfield County, OK",0.855
"cty06065","Riverside County, CA",0.855
"cty31135","Perkins County, NE",0.855
"cty39021","Champaign County, OH",0.855
"cty47117","Marshall County, TN",0.855
"cty53017","Douglas County, WA",0.8549
"cty40079","Le Flore County, OK",0.8548
"cty39101","Marion County, OH",0.8548
"cty54091","Taylor County, WV",0.8547
"cty17003","Alexander County, IL",0.8547
"cty18045","Fountain County, IN",0.8547
"cty39145","Scioto County, OH",0.8546
"cty18079","Jennings County, IN",0.8546
"cty48139","Ellis County, TX",0.8545
"cty48505","Zapata County, TX",0.8545
"cty54031","Hardy County, WV",0.8545
"cty06021","Glenn County, CA",0.8543
"cty32027","Pershing County, NV",0.8541
"cty54095","Tyler County, WV",0.8541
"cty26163","Wayne County, MI",0.854
"cty39031","Coshocton County, OH",0.854
"cty31157","Scotts Bluff County, NE",0.8539
"cty22103","St. Tammany Parish, LA",0.8539
"cty01089","Madison County, AL",0.8539
"cty33001","Belknap County, NH",0.8538
"cty24019","Dorchester County, MD",0.8538
"cty53053","Pierce County, WA",0.8537
"cty05017","Chicot County, AR",0.8537
"cty51037","Charlotte County, VA",0.8537
"cty55103","Richland County, WI",0.8537
"cty21173","Montgomery County, KY",0.8536
"cty17051","Fayette County, IL",0.8536
"cty49037","San Juan County, UT",0.8535
"cty40123","Pontotoc County, OK",0.8535
"cty29077","Greene County, MO",0.8535
"cty18021","Clay County, IN",0.8534
"cty47011","Bradley County, TN",0.8534
"cty26091","Lenawee County, MI",0.8533
"cty18083","Knox County, IN",0.8533
"cty29131","Miller County, MO",0.8533
"cty48159","Franklin County, TX",0.8533
"cty31181","Webster County, NE",0.8532
"cty18119","Owen County, IN",0.8532
"cty31145","Red Willow County, NE",0.8532
"cty29227","Worth County, MO",0.8531
"cty48469","Victoria County, TX",0.8531
"cty28085","Lincoln County, MS",0.853
"cty51047","Culpeper County, VA",0.8529
"cty40087","McClain County, OK",0.8528
"cty18169","Wabash County, IN",0.8528
"cty45015","Berkeley County, SC",0.8527
"cty29071","Franklin County, MO",0.8527
"cty26129","Ogemaw County, MI",0.8527
"cty51620","Franklin city, VA",0.8525
"cty21195","Pike County, KY",0.8525
"cty26153","Schoolcraft County, MI",0.8524
"cty22033","East Baton Rouge Parish, LA",0.8524
"cty56043","Washakie County, WY",0.8524
"cty21213","Simpson County, KY",0.8524
"cty29005","Atchison County, MO",0.8524
"cty19133","Monona County, IA",0.8524
"cty29207","Stoddard County, MO",0.8523
"cty51193","Westmoreland County, VA",0.8523
"cty18111","Newton County, IN",0.8523
"cty48083","Coleman County, TX",0.8522
"cty47111","Macon County, TN",0.8522
"cty13039","Camden County, GA",0.8522
"cty53027","Grays Harbor County, WA",0.8521
"cty13179","Liberty County, GA",0.8521
"cty16063","Lincoln County, ID",0.8521
"cty37127","Nash County, NC",0.852
"cty33005","Cheshire County, NH",0.852
"cty55113","Sawyer County, WI",0.8519
"cty26165","Wexford County, MI",0.8519
"cty53057","Skagit County, WA",0.8518
"cty26069","Iosco County, MI",0.8518
"cty10005","Sussex County, DE",0.8517
"cty29097","Jasper County, MO",0.8517
"cty26059","Hillsdale County, MI",0.8516
"cty47041","DeKalb County, TN",0.8516
"cty19021","Buena Vista County, IA",0.8516
"cty36057","Montgomery County, NY",0.8515
"cty41061","Union County, OR",0.8514
"cty29107","Lafayette County, MO",0.8514
"cty28073","Lamar County, MS",0.8514
"cty12041","Gilchrist County, FL",0.8513
"cty06037","Los Angeles County, CA",0.8512
"cty29153","Ozark County, MO",0.8512
"cty01077","Lauderdale County, AL",0.8511
"cty39053","Gallia County, OH",0.851
"cty48503","Young County, TX",0.851
"cty21119","Knott County, KY",0.8509
"cty13251","Screven County, GA",0.8509
"cty21189","Owsley County, KY",0.8509
"cty38075","Renville County, ND",0.8509
"cty20111","Lyon County, KS",0.8508
"cty18139","Rush County, IN",0.8507
"cty55079","Milwaukee County, WI",0.8506
"cty30047","Lake County, MT",0.8505
"cty48289","Leon County, TX",0.8505
"cty41071","Yamhill County, OR",0.8504
"cty48361","Orange County, TX",0.8504
"cty37019","Brunswick County, NC",0.8504
"cty41029","Jackson County, OR",0.8503
"cty20021","Cherokee County, KS",0.8503
"cty48005","Angelina County, TX",0.8503
"cty20019","Chautauqua County, KS",0.8502
"cty26145","Saginaw County, MI",0.8501
"cty01003","Baldwin County, AL",0.85
"cty41059","Umatilla County, OR",0.8499
"cty12019","Clay County, FL",0.8499
"cty40045","Ellis County, OK",0.8499
"cty48285","Lavaca County, TX",0.8499
"cty48331","Milam County, TX",0.8499
"cty22019","Calcasieu Parish, LA",0.8498
"cty37171","Surry County, NC",0.8498
"cty21043","Carter County, KY",0.8498
"cty42055","Franklin County, PA",0.8498
"cty28059","Jackson County, MS",0.8497
"cty39049","Franklin County, OH",0.8497
"cty53007","Chelan County, WA",0.8496
"cty22115","Vernon Parish, LA",0.8496
"cty26137","Otsego County, MI",0.8496
"cty26009","Antrim County, MI",0.8496
"cty12063","Jackson County, FL",0.8496
"cty47055","Giles County, TN",0.8496
"cty05069","Jefferson County, AR",0.8495
"cty48001","Anderson County, TX",0.8493
"cty54047","McDowell County, WV",0.8493
"cty46091","Marshall County, SD",0.8493
"cty21063","Elliott County, KY",0.8493
"cty45003","Aiken County, SC",0.8492
"cty35001","Bernalillo County, NM",0.8491
"cty37199","Yancey County, NC",0.8491
"cty55041","Forest County, WI",0.849
"cty21105","Hickman County, KY",0.849
"cty47069","Hardeman County, TN",0.849
"cty54053","Mason County, WV",0.849
"cty45079","Richland County, SC",0.8489
"cty05113","Polk County, AR",0.8488
"cty37191","Wayne County, NC",0.8488
"cty48293","Limestone County, TX",0.8488
"cty29113","Lincoln County, MO",0.8487
"cty51053","Dinwiddie County, VA",0.8487
"cty48453","Travis County, TX",0.8486
"cty12009","Brevard County, FL",0.8485
"cty06101","Sutter County, CA",0.8484
"cty36041","Hamilton County, NY",0.8484
"cty40031","Comanche County, OK",0.8483
"cty29163","Pike County, MO",0.8483
"cty45055","Kershaw County, SC",0.8483
"cty05101","Newton County, AR",0.8483
"cty39007","Ashtabula County, OH",0.8483
"cty48167","Galveston County, TX",0.8482
"cty26003","Alger County, MI",0.8482
"cty18123","Perry County, IN",0.8482
"cty18049","Fulton County, IN",0.8482
"cty29089","Howard County, MO",0.8481
"cty48439","Tarrant County, TX",0.848
"cty48501","Yoakum County, TX",0.848
"cty13169","Jones County, GA",0.848
"cty08115","Sedgwick County, CO",0.848
"cty12053","Hernando County, FL",0.8479
"cty41001","Baker County, OR",0.8479
"cty29083","Henry County, MO",0.8479
"cty12013","Calhoun County, FL",0.8479
"cty08049","Grand County, CO",0.8479
"cty21083","Graves County, KY",0.8478
"cty48049","Brown County, TX",0.8478
"cty48423","Smith County, TX",0.8477
"cty23009","Hancock County, ME",0.8477
"cty48313","Madison County, TX",0.8477
"cty18117","Orange County, IN",0.8476
"cty12113","Santa Rosa County, FL",0.8475
"cty21009","Barren County, KY",0.8474
"cty29219","Warren County, MO",0.8474
"cty47043","Dickson County, TN",0.8474
"cty26119","Montmorency County, MI",0.8474
"cty47045","Dyer County, TN",0.8474
"cty48325","Medina County, TX",0.8473
"cty13279","Toombs County, GA",0.8472
"cty42075","Lebanon County, PA",0.8472
"cty21141","Logan County, KY",0.8472
"cty48013","Atascosa County, TX",0.8472
"cty38039","Griggs County, ND",0.8471
"cty47173","Union County, TN",0.8471
"cty48081","Coke County, TX",0.8471
"cty35043","Sandoval County, NM",0.847
"cty54027","Hampshire County, WV",0.847
"cty12103","Pinellas County, FL",0.8469
"cty48371","Pecos County, TX",0.8469
"cty04011","Greenlee County, AZ",0.8468
"cty13137","Habersham County, GA",0.8467
"cty33003","Carroll County, NH",0.8466
"cty48193","Hamilton County, TX",0.8466
"cty22057","Lafourche Parish, LA",0.8465
"cty12125","Union County, FL",0.8465
"cty50013","Grand Isle County, VT",0.8465
"cty48303","Lubbock County, TX",0.8464
"cty48087","Collingsworth County, TX",0.8463
"cty20133","Neosho County, KS",0.8463
"cty30087","Rosebud County, MT",0.8462
"cty13315","Wilcox County, GA",0.8462
"cty50017","Orange County, VT",0.8462
"cty18067","Howard County, IN",0.8461
"cty18153","Sullivan County, IN",0.8461
"cty45051","Horry County, SC",0.846
"cty13031","Bulloch County, GA",0.846
"cty48071","Chambers County, TX",0.8459
"cty21159","Martin County, KY",0.8457
"cty37105","Lee County, NC",0.8457
"cty30085","Roosevelt County, MT",0.8456
"cty40005","Atoka County, OK",0.8456
"cty16083","Twin Falls County, ID",0.8456
"cty40137","Stephens County, OK",0.8455
"cty46041","Dewey County, SD",0.8453
"cty05135","Sharp County, AR",0.8453
"cty48299","Llano County, TX",0.8452
"cty16037","Custer County, ID",0.8452
"cty29213","Taney County, MO",0.8452
"cty12071","Lee County, FL",0.8451
"cty48297","Live Oak County, TX",0.8451
"cty47099","Lawrence County, TN",0.8451
"cty40113","Osage County, OK",0.845
"cty21165","Menifee County, KY",0.845
"cty42115","Susquehanna County, PA",0.845
"cty21187","Owen County, KY",0.845
"cty20205","Wilson County, KS",0.845
"cty18167","Vigo County, IN",0.845
"cty41043","Linn County, OR",0.8449
"cty48383","Reagan County, TX",0.8449
"cty48365","Panola County, TX",0.8449
"cty04013","Maricopa County, AZ",0.8448
"cty21175","Morgan County, KY",0.8448
"cty37091","Hertford County, NC",0.8448
"cty48041","Brazos County, TX",0.8447
"cty48317","Martin County, TX",0.8447
"cty37173","Swain County, NC",0.8446
"cty48143","Erath County, TX",0.8446
"cty21107","Hopkins County, KY",0.8446
"cty48441","Taylor County, TX",0.8445
"cty05143","Washington County, AR",0.8445
"cty13147","Hart County, GA",0.8445
"cty32015","Lander County, NV",0.8445
"cty40141","Tillman County, OK",0.8445
"cty05075","Lawrence County, AR",0.8445
"cty37163","Sampson County, NC",0.8444
"cty48039","Brazoria County, TX",0.8444
"cty08083","Montezuma County, CO",0.8443
"cty04019","Pima County, AZ",0.8443
"cty49041","Sevier County, UT",0.8443
"cty21115","Johnson County, KY",0.8443
"cty51540","Charlottesville city, VA",0.8443
"cty36021","Columbia County, NY",0.8443
"cty12089","Nassau County, FL",0.8443
"cty05029","Conway County, AR",0.8442
"cty48251","Johnson County, TX",0.8441
"cty29067","Douglas County, MO",0.8441
"cty30023","Deer Lodge County, MT",0.8441
"cty54087","Roane County, WV",0.8441
"cty13103","Effingham County, GA",0.8441
"cty08011","Bent County, CO",0.844
"cty37097","Iredell County, NC",0.8439
"cty46007","Bennett County, SD",0.8438
"cty46023","Charles Mix County, SD",0.8438
"cty37009","Ashe County, NC",0.8438
"cty22049","Jackson Parish, LA",0.8438
"cty40009","Beckham County, OK",0.8437
"cty17153","Pulaski County, IL",0.8437
"cty38041","Hettinger County, ND",0.8437
"cty45001","Abbeville County, SC",0.8437
"cty16021","Boundary County, ID",0.8437
"cty48101","Cottle County, TX",0.8437
"cty20141","Osborne County, KS",0.8436
"cty47101","Lewis County, TN",0.8436
"cty37159","Rowan County, NC",0.8435
"cty48415","Scurry County, TX",0.8435
"cty41013","Crook County, OR",0.8435
"cty40051","Grady County, OK",0.8434
"cty48183","Gregg County, TX",0.8434
"cty29123","Madison County, MO",0.8434
"cty12127","Volusia County, FL",0.8433
"cty29095","Jackson County, MO",0.8433
