"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty41003","Benton County, OR",0.9156
"cty50003","Bennington County, VT",0.9156
"cty27125","Red Lake County, MN",0.9155
"cty38017","Cass County, ND",0.9153
"cty24029","Kent County, MD",0.9152
"cty31159","Seward County, NE",0.9152
"cty51085","Hanover County, VA",0.9152
"cty30067","Park County, MT",0.9152
"cty24017","Charles County, MD",0.9151
"cty20073","Greenwood County, KS",0.9151
"cty42019","Butler County, PA",0.9149
"cty19089","Howard County, IA",0.9148
"cty27087","Mahnomen County, MN",0.9147
"cty42007","Beaver County, PA",0.9146
"cty06063","Plumas County, CA",0.9146
"cty34005","Burlington County, NJ",0.9145
"cty20011","Bourbon County, KS",0.9144
"cty17097","Lake County, IL",0.9142
"cty17085","Jo Daviess County, IL",0.9142
"cty17061","Greene County, IL",0.9142
"cty34039","Union County, NJ",0.914
"cty24009","Calvert County, MD",0.914
"cty54007","Braxton County, WV",0.914
"cty37039","Cherokee County, NC",0.914
"cty55049","Iowa County, WI",0.914
"cty17197","Will County, IL",0.9139
"cty19135","Monroe County, IA",0.9139
"cty51155","Pulaski County, VA",0.9139
"cty54051","Marshall County, WV",0.9138
"cty19185","Wayne County, IA",0.9138
"cty20135","Ness County, KS",0.9136
"cty55035","Eau Claire County, WI",0.9135
"cty27019","Carver County, MN",0.9135
"cty47187","Williamson County, TN",0.9135
"cty48129","Donley County, TX",0.9135
"cty06061","Placer County, CA",0.9134
"cty51003","Albemarle County, VA",0.9134
"cty42129","Westmoreland County, PA",0.9133
"cty25023","Plymouth County, MA",0.9132
"cty18127","Porter County, IN",0.9132
"cty06005","Amador County, CA",0.9131
"cty51121","Montgomery County, VA",0.9131
"cty17025","Clay County, IL",0.9131
"cty31127","Nemaha County, NE",0.913
"cty38081","Sargent County, ND",0.913
"cty51750","Radford city, VA",0.913
"cty26083","Keweenaw County, MI",0.9128
"cty42125","Washington County, PA",0.9127
"cty39013","Belmont County, OH",0.9127
"cty48393","Roberts County, TX",0.9126
"cty27143","Sibley County, MN",0.9126
"cty55087","Outagamie County, WI",0.9125
"cty27033","Cottonwood County, MN",0.9125
"cty49031","Piute County, UT",0.9125
"cty27083","Lyon County, MN",0.9125
